country,number,name_source,elections_contested_year,elections_contested_number,id,first,last,name_english,name,name_short,comment
AUS,1,Australian Labor Party - ALP,1901 ff,35,AUS-101,1901,1991,Australian Labor Party - ALP,,ALP,
AUS,2,Free Trade Party ,1901-1906,3,AUS-102,1901,1906,Free Trade Party ,,,
AUS,3,Protectionists,1901-1906,3,AUS-103,1901,1906,Protectionists,,,
AUS,4,Western Australia Party ,1906,1,AUS-104,1906,1906,Western Australia Party ,,,
AUS,5,Liberal Party ,1910-1914,3,AUS-105,1910,1914,Liberal Party ,,,
AUS,6,Nationalist Party ,1917-1929,6,AUS-106,1917,1929,Nationalist Party ,,,
AUS,7,Country Party; from 1975 to 1982 the National Country Party; since 1982 the National Party ,1919ff,28,AUS-107,1919,1991,Country Party,,,from 1975 to 1982 the National Country Party; since 1982 the National Party 
AUS,8,Liberal Union ,1922,1,AUS-108,1922,1922,Liberal Union ,,,
AUS,9,Country Progressive Party ,1928-1929,2,AUS-109,1928,1929,Country Progressive Party ,,,
AUS,10,Communist Party ,1931-1937; 1943ff,22,AUS-110,1931,1991,Communist Party ,,,
AUS,11,United Australia Party - UAP ,1931-1943,5,AUS-111,1931,1943,United Australia Party - UAP ,,UAP,
AUS,12,New South Wales Labor Party ,1931-1934,2,AUS-112,1931,1934,New South Wales Labor Party ,,,
AUS,13,Social Credit Party,1934-1937,2,AUS-113,1934,1937,Social Credit Party,,,
AUS,14,Non-Communist Labor Party ,1940,1,AUS-114,1940,1940,Non-Communist Labor Party ,,,
AUS,15,State Labor Party ,1940-1943,2,AUS-115,1940,1943,State Labor Party ,,,
AUS,16,Liberal Democratic Party ,1943,1,AUS-116,1943,1943,Liberal Democratic Party ,,,
AUS,17,One Parliament for Australia Party,1943,1,AUS-117,1943,1943,One Parliament for Australia Party,,,
AUS,18,Liberal Party of Australia ,1946ff,15,AUS-118,1946,1991,Liberal Party of Australia ,,,
AUS,19,Lang Labor Party,1946-1949,2,AUS-119,1946,1949,Lang Labor Party,,,
AUS,20,Services Party of Australia,1946,1,AUS-120,1946,1946,Services Party of Australia,,,
AUS,21,Democratic Labor Party ,1955ff,14,AUS-121,1955,1991,Democratic Labor Party ,,,
AUS,22,Queensland Labor Party ,1958-1961,2,AUS-122,1958,1961,Queensland Labor Party ,,,
AUS,23,Liberal Reform Group/Australia Party ,1966-1975,5,AUS-123,1966,1975,Liberal Reform Group/Australia Party ,,,
AUS,24,Liberal Movement ,1974-1975,2,AUS-124,1974,1975,Liberal Movement ,,,
AUS,25,National Alliance ,1974,1,AUS-125,1974,1974,National Alliance ,,,
AUS,26,Country-Liberal Party ,1975ff,6,AUS-126,1975,1991,Country-Liberal Party ,,,
AUS,27,Australian Democrats ,1977ff,5,AUS-127,1977,1991,Australian Democrats ,,,
AUT,1,Socialists. Initially Sozialdemokratische Arbeiterpartei - SDP ; since 1945 Sozialistische Partei Österreichs – SPÖ,1919ff,18,AUT-101,1919,1991,Socialists,Sozialistische Partei Österreichs – SPÖ,SPÖ,Initially Sozialdemokratische Arbeiterpartei - SDP ; since 1945 Sozialistische Partei Österreichs – SPÖ
AUT,2,Christian Social Party (Christlichsoziale Partei – CSP); since 1945 the Austrian People's Party (Österreichische Volkspartei - ÖVP),1919ff,18,AUT-102,1919,1991,Christian Social Party ,Österreichische Volkspartei - ÖVP,ÖVP,since 1945 the Austrian People's Party (Österreichische Volkspartei - ÖVP)
AUT,3,German Nationalists,1919,1,AUT-103,1919,1919,German Nationalists,,,
AUT,4,Czechs,1919-1923,3,AUT-104,1919,1923,Czechs,,,
AUT,5,Communist Party (Kommunistische Partei Österreichs – KPÖ),1920ff,17,AUT-105,1920,1991,Communist Party ,Kommunistische Partei Österreichs – KPÖ,KPÖ,
AUT,6,Greater German People's Party (Grossdeutsche Volkspartei – GdVP),1920-1930,4,AUT-106,1920,1930,Greater German People's Party ,Grossdeutsche Volkspartei – GdVP,GdVP,
AUT,7,Land League (Landbund),1920-1930,4,AUT-107,1920,1930,Land League,Landbund,,
AUT,8,Carinthian Unity List (Kärntner Einheitsliste),1923,1,AUT-108,1923,1923,Carinthian Unity List ,Kärntner Einheitsliste,,
AUT,9,National Socialist German Workers' Party: Hitler Movement (Nationalsozialistische Deutsche Arbeiterpartei: Hitlerbewegung),1927-1930,2,AUT-109,1927,1930,National Socialist German Workers' Party: Hitler Movement ,Nationalsozialistische Deutsche Arbeiterpartei: Hitlerbewegung,,
AUT,10,Fatherland Front (Heimatblock),1930,1,AUT-110,1930,1930,Fatherland Front ,Heimatblock,,
AUT,11,"League of Independents (Verband der Unabhängigen, VdU); from 1956 the Freedom Party (Freiheitliche Partei Österreichs – FPÖ)",1949ff,12,AUT-111,1949,1991,League of Independents ,Freiheitliche Partei Österreichs – FPÖ,FPÖ,from 1956 the Freedom Party (Freiheitliche Partei Österreichs – FPÖ)
AUT,12,Democratic Progressive Party (Demokratische Fortschrittliche Partei – DFP),1966-1970,2,AUT-112,1966,1970,Democratic Progressive Party ,Demokratische Fortschrittliche Partei – DFP,DFP,
AUT,13,United Greens of Austria (Vereinte Grünen Österreichs – VGÖ),1983,1,AUT-113,1983,1983,United Greens of Austria ,Vereinte Grünen Österreichs – VGÖ,VGÖ,
AUT,14,Alternative List (Alternative Liste Österreichs - ALO),1983,1,AUT-114,1983,1983,Alternative List ,Alternative Liste Österreichs - ALO,ALÖ,
AUT,15,Green Alternative (Die Grüne Alternative) ,1986,1,AUT-115,1986,1986,Green Alternative ,Die Grüne Alternative,,
BEL,1,Catholic Party; since 1945 francophone Christian Social Party (Parti social chretien - PSC) and flemish Christian People's Party (Christelijke Volkspartij – CVP)',1847-1965,51,BEL-101,1847,1965,Catholic Party,Christelijke Volkspartij – CVP/ Parti social chretien - PSC,PSC/CVP,since 1945 francophone Christian Social Party (Parti social chretien - PSC) and flemish Christian People's Party (Christelijke Volkspartij – CVP)'
BEL,2,Liberal Party (Liberale Partij/ Parti liberal). In 1961 renamed Party of Liberty and Progress (Partij voor Vrijheid en Vooruitgang – PVV/Parti de la liberte et du progres – PLP),1847-1971,53,BEL-102,1847,1971,Liberal Party ,Partij voor Vrijheid en Vooruitgang – PVV/Parti de la liberte et du progres – PLP,PVV/PLP,In 1961 renamed Party of Liberty and Progress (Partij voor Vrijheid en Vooruitgang – PVV/Parti de la liberte et du progres – PLP)
