party,pervote_max_year,pervote_max
11110,2010,7.3
11220,1998,12
11320,1968,50.1
11420,1952,24.4
11520,1998,11.8
11620,2010,30.1
11710,2014,12.9
11810,1973,25.1
11951,1991,6.7
12110,2013,2.8
12220,1945,11.9
12221,2001,12.5
12320,1957,48.3
12410,1973,3.4
12420,1949,14.8
12520,1997,13.7
12620,1981,31.7
12810,1993,16.7
12951,2009,22.9
13001,2011,5
13210,1979,3.7
13220,1945,12.5
13221,1987,2.2
13229,2011,6.7
13230,1987,14.6
13320,1960,42.1
13330,1981,8.3
13410,1968,15
13420,2001,31.2
13421,1960,3.3
13422,1966,2.5
13520,1975,5.3
13620,1984,23.4
13720,2007,13.9
13951,1973,15.9
13952,1950,8.2
13953,1945,3.1
14110,2007,8.5
14221,1945,23.5
14222,1987,4.2
14223,1995,11.2
14310,1962,4.4
14320,1995,28.3
14420,1954,7.9
14430,1995,2.8
14520,2003,5.3
14620,1987,23.1
14810,1991,24.8
14820,2011,19.1
14901,1945,8.4
15111,2009,21.7
15220,1978,22.9
15320,1978,22
15321,1983,7.6
15322,1971,8.9
15323,1995,7.2
15328,2003,31
15420,2003,7.4
15430,2009,7.2
15440,2013,8.2
15620,1974,42.7
15621,1987,10.9
15710,1953,6
15810,1963,28.2
15951,1987,10.1
15952,2013,5.1
21111,1999,7.4
21112,1999,7
21221,2003,14.9
21320,1954,39
21321,1987,14.9
21322,1987,15.7
21330,2007,0
21420,1965,21.6
21421,2003,15.4
21422,1985,10.2
21423,1995,10.3
21424,1971,1.3
21425,1999,10.1
21426,2007,12.5
21430,2007,4
21520,1950,47.7
21521,1977,26.2
21522,1968,11.7
21911,1971,6.7
21912,1971,4.5
21913,1971,11.1
21914,2003,11.7
21915,1999,5.6
21916,2010,17.4
21917,2007,12
22110,2017,9.1
22210,1946,10.6
22220,2006,16.6
22230,1986,1.2
22310,1972,4.8
22320,1977,33.8
22321,2017,2.1
22330,1994,15.5
22420,2012,26.6
22430,2002,1.6
22521,1989,35.3
22522,1963,31.9
22523,1948,13.2
22524,1971,5.3
22525,1948,9.2
22526,2006,4
22527,1994,1.3
22528,1998,2
22710,1982,0.8
22711,1994,2.5
22720,2002,17
22722,2010,15.4
22730,2017,1.8
22951,2017,3.2
22952,1948,2.4
22953,2017,3.1
22954,1994,3.6
22955,1994,0.9
23111,1989,3.7
23112,1984,4.2
23113,2009,11.7
23220,1948,14.3
23230,2013,4.9
23320,1948,37.8
23420,1974,23.3
23520,1954,45.2
23951,1999,10.4
31021,2012,6.9
31110,1993,7.8
31111,1997,2.7
31220,1946,28.6
31230,2012,1.7
31240,2017,11
31320,1981,36.6
31421,1956,15
31425,2017,28.2
31430,2017,3
31521,1946,26.3
31522,1967,14.1
31523,1973,3.8
31529,1973,13.3
31621,1968,38
31622,1958,20
31623,1956,11.6
31624,1978,22
31625,1993,20.2
31626,2007,39.5
31630,2012,2.2
31631,2012,0.6
31720,1997,14.9
32021,2013,2.2
32061,2008,37.2
32110,1992,2.8
32111,2001,2.2
32210,1979,1.4
32211,1987,1.7
32212,1996,8.6
32213,2006,2.2
32220,1976,34.4
32221,2006,2.5
32230,2013,3.2
32310,1994,3.5
32320,1946,20.7
32321,1996,4.3
32322,1968,14.5
32329,2006,30.4
32330,1948,7.1
32410,1983,5.1
32420,1963,7
32421,2001,14.5
32440,2008,33.2
32450,2013,0.5
32460,2013,8.3
32520,1948,48.5
32521,1996,0
32522,2001,3.2
32528,1994,4.7
32529,1996,5.8
32530,2006,6.8
32610,2001,29.4
32611,2001,1
32629,2001,0
32630,2013,2
32640,2013,0.2
32710,1996,15.7
32720,1996,10.1
32901,2001,2.4
32902,2008,4.4
32903,2006,0.1
32904,2006,0.5
32906,2013,0
32951,1994,1.9
32952,2006,0.2
32953,2006,1.4
32955,2006,1.1
32956,2013,25.6
33020,2015,3.7
33025,2016,13.4
33091,2011,0.2
33092,2011,1.4
33093,2011,0.5
33095,2015,0.9
33096,2015,3.7
33097,2015,1.6
33098,2016,2.7
33099,2015,2.2
33210,2015,12.6
33220,1979,10.8
33320,1982,48.4
33420,2015,13.9
33430,1979,35
33438,1982,6
33439,1986,2.7
33440,2011,4.8
33512,1986,9.2
33610,2011,45.2
33611,1989,5.1
33612,2011,0.4
33901,1986,0.5
33902,1982,1.9
33903,1989,0.7
33904,1993,0.6
33905,2016,2.6
33906,1979,1.8
33907,2e3,1.1
33908,2e3,1.3
33909,2004,0.4
33910,2004,0.6
33911,2016,2
34020,2012,26.9
34210,1981,10.9
34211,1989,13.1
34212,2015,36.3
34213,2012,6.3
34214,2015,2.9
34313,1981,48.1
34314,1996,4.4
34340,2015,5.9
34410,2015,3.4
34510,1974,20.4
34511,1974,54.4
34512,1993,4.9
34610,1977,6.8
34710,2009,5.6
34720,2012,7
34730,2012,10.6
35060,2015,40
35110,2002,1.2
35120,2015,1.4
35210,1979,2.2
35211,2015,10.6
35220,1979,18.3
35229,1999,9.1
35310,1975,4.4
35311,2005,46.4
35312,1985,18.5
35313,1987,51.3
35315,1987,0.8
35316,1980,1.6
35317,1980,1.6
35520,1976,16.7
35710,1980,2.2
35951,1991,1.7
41111,1987,8.3
41112,1990,1.2
41113,2009,10.7
41220,1949,5.7
41221,1998,5.1
41222,2005,8.7
41223,2009,11.9
41320,1972,45.9
41420,2009,14.6
41521,1957,50.2
41522,1949,3.1
41620,1949,4
41711,1949,2.9
41712,1949,1.8
41911,1949,4.2
41912,1949,0.3
41951,1953,5.9
41952,2013,2.2
41953,2017,12.6
42110,2013,12.4
42120,2017,4.4
42220,2008,0.8
42320,1979,51
42420,1999,26.9
42421,1994,6
42430,2017,5.3
