countryname,party,abbrev,orig_name,partyname,min_year,max_year,pervote_max_year,pervote_max,country,dummy_nir
Sweden,11110,MP,Miljöpartiet de Gröna,Green Ecology Party,1988,2014,2010,7.3,SWE,0
Sweden,11220,SKP,Vänsterpartiet,Left Party,1944,2014,1998,12,SWE,0
Sweden,11320,SAP,Socialdemokratiska Arbetareparti,Social Democratic Labour Party,1944,2014,1968,50.1,SWE,0
Sweden,11420,FP,Liberalerna,Liberals,1944,2014,1952,24.4,SWE,0
Sweden,11520,KDS,Kristdemokratiska Samhällspartiet,Christian Democratic Community Party,1985,2014,1998,11.8,SWE,0
Sweden,11620,,Moderata Samlingspartiet,Moderate Coalition Party,1944,2014,2010,30.1,SWE,0
Sweden,11710,SD,Sverigedemokraterna,Sweden Democrats,2010,2014,2014,12.9,SWE,0
Sweden,11810,,Centerpartiet,Centre Party,1944,2014,1973,25.1,SWE,0
Sweden,11951,NyD,Ny Demokrati,New Democracy,1991,1991,1991,6.7,SWE,0
Norway,12110,MDG,Miljøpartiet De Grønna,Green Party,2013,2013,2013,2.8,NOR,0
Norway,12220,NKP,Norges Kommunistiske Parti,Norwegian Communist Party,1945,1957,1945,11.9,NOR,0
Norway,12221,,Sosialistisk Venstreparti,Socialist Left Party,1961,2013,2001,12.5,NOR,0
Norway,12320,DnA,Arbeiderpartiet,Labour Party,1945,2013,1957,48.3,NOR,0
Norway,12410,,Det Liberale Folkeparti,Liberal People’s Party,1973,1973,1973,3.4,NOR,0
Norway,12420,V,Venstre,Liberal Party,1945,2013,1949,14.8,NOR,0
Norway,12520,KrF,Kristelig Folkeparti,Christian People’s Party,1945,2013,1997,13.7,NOR,0
Norway,12620,H,Høyre,Conservative Party,1945,2013,1981,31.7,NOR,0
Norway,12810,,Senterpartiet,Centre Party,1945,2013,1993,16.7,NOR,0
Norway,12951,ALP,Fremskrittspartiet,Progress Party,1973,2013,2009,22.9,NOR,0
Denmark,13001,NY,Liberal Alliance,Liberal Alliance,2007,2011,2011,5,DNK,0
Denmark,13210,VS,Venstresocialisterne,Left Socialist Party,1968,1984,1979,3.7,DNK,0
Denmark,13220,DKP,Danmarks Kommunistiske Parti,Danish Communist Party,1945,1984,1945,12.5,DNK,0
Denmark,13221,FK,Fælles Kurs,Common Course,1987,1987,1987,2.2,DNK,0
Denmark,13229,EL,Enhedslisten - De Rød-Grønne,Red-Green Unity List,1994,2011,2011,6.7,DNK,0
Denmark,13230,SF,Socialistisk Folkeparti,Socialist People’s Party,1960,2011,1987,14.6,DNK,0
Denmark,13320,SD,Socialdemokratiet,Social Democratic Party,1945,2011,1960,42.1,DNK,0
Denmark,13330,CD,Centrum-Demokraterne,Centre Democrats,1973,2005,1981,8.3,DNK,0
Denmark,13410,RV,Det Radikale Venstre,Danish Social-Liberal Party,1945,2011,1968,15,DNK,0
Denmark,13420,V,Venstre,Liberals,1945,2011,2001,31.2,DNK,0
Denmark,13421,DU,De Uafhængige,Independents’ Party,1953,1968,1960,3.3,DNK,0
Denmark,13422,LC,Liberalt Centrum,Liberal Centre,1966,1968,1966,2.5,DNK,0
Denmark,13520,KrF,Kristeligt Folkeparti,Christian People’s Party,1971,2005,1975,5.3,DNK,0
Denmark,13620,KF,Konservative Folkeparti,Conservative People’s Party,1945,2011,1984,23.4,DNK,0
Denmark,13720,DF,Dansk Folkeparti,Danish People’s Party,1998,2011,2007,13.9,DNK,0
Denmark,13951,FP,Fremkridtspartiet,Progress Party,1973,1998,1973,15.9,DNK,0
Denmark,13952,RF,Retsforbund,Justice Party,1945,1984,1950,8.2,DNK,0
Denmark,13953,DS,Dansk Samling,Danish Union,1945,1945,1945,3.1,DNK,0
Finland,14110,VL,Vihreä Liitto,Green Union,1983,2011,2007,8.5,FIN,0
Finland,14221,SKDL,Suomen Kansan Demokraattinen Liitto,Finnish People’s Democratic Union,1945,1987,1945,23.5,FIN,0
