"country","name_short","name","name_english","year_first","year_last","party_id","partyfacts_id"
"CAN","LP","Liberal Party of Canada","Liberal Party of Canada",1867,,"124001",1739
"CAN","NDP","New Democratic Party","New Democratic Party",1961,,"124002",152
"CAN","PCP","Progressive Conservative Party of Canada","Progressive Conservative Party of Canada",1942,2003,"124003",232
"CAN","CP","Conservative Party","Conservative Party",2003,,"124004",1004
"CAN","RPC","Reform Party of Canada","Reform Party of Canada",1987,2000,"124005",1757
"CAN","CA","Canadian Alliance/Reform","Canadian Alliance/Reform",2000,2003,"124006",
"HRV","ASH","Akcija socijaldemokrata Hrvatske","Social Democratic Action of Croatia",1994,,"191001",
"HRV","BDSH","Bošnjacka demokratska stranka Hrvatske","Bosnian Democratic Party of Croatia",2008,,"191002",
"HRV","DC","Demokratski centar","Democratic Centre",2000,,"191003",
"HRV","HDZ","Hrvatska demokratska zajednica","Croatian Democratic Union",1989,,"191004",
"HRV","HNS","Hrvatska narodna stranka - Liberalni demokrati","Croatian People's Party - Liberal Democrats",1990,,"191005",
"HRV","HSS","Hrvatska seljacka stranka","Croatian Peasant Party",1990,,"191006",
"HRV","HSLS","Hrvatska socijalno-liberalna stranka","Croatian Social-Liberal Party",1989,,"191007",
"HRV","HSP AS","Hrvatska stranka prava dr. Ante Starcevic","Croatian Party of Rights dr. Ante Starcevic",2009,,"191008",
"HRV","HSP","Hrvatska stranka prava","Croatian Party of Rights",1990,,"191009",
"HRV","HCSP","Hrvatska cista stranka prava","Croatian Pure Party of Rights",1992,,"191010",
"HRV","HDSSB","Hrvatski demokratski savez Slavonije I Baranje","Croatian Democratic Alliance of Slavonia and Baranja",2006,,"191011",
"HRV","HL","Hrvatski laburisti - Stranka rada","Croatian Labourists - Labour Party",2010,,"191012",
"HRV","HKDS","Hrvatska kršcanska demokratska stranka","Croatian Christian Democratic Party",1990,,"191013",
"HRV","HSD","Hrvatski Socijaldemokrati","Croatian Social Democrats",2004,,"191014",
"HRV","IDS-DDI","Istarski demokratski sabor","Istrian Democratic Assembly",1990,,"191015",
"HRV","LS","Liberalna stranka","Liberal Party",1998,2006,"191016",
"HRV","MDS","Mecimurski demokratski savez","Democratic Union of Mecimurje",2005,,"191017",
"HRV","PGS","Primorsko goranski savez","Primorje - Gorski Kotar Alliance",1990,,"191018",
"HRV","SDA","Stranka Demokratske Akcije Hrvatske","Party of Democratic Action of Croatia",1990,,"191019",
"HRV","SDSS","Samostalna srpska demokratska stranka","Independent Democratic Serbian Party",1997,,"191020",
"HRV","SDP","Socijaldemokratska partija Hrvatske","Social Democratic Party of Croatia",1990,,"191021",
"HRV","SNS","Srpska narodna stranka","Serb People's Party",1990,,"191022",
"CYP","AKEL",,"Progressive Party of Working People",1941,,"196001",1076
"CYP","DIKO",,"Democratic Party",1976,,"196002",635
"CYP","EDEK",,"Social Democrat Movement United Democratic Union of the Center",1969,,"196003",1028
"CYP","DISY",,"Democratic Rally",1976,,"196004",563
"CYP","KOP",,"Ecological Environmental Movement /Greens",1996,,"196005",858
"CZE","CSSD","Ceska strana socialne demokraticka","Czech Social Democratic Party",1989,,"203001",177
"CZE","ODS","Obcanska demokraticka strana","Civic Democratic Party",1991,,"203002",466
"CZE","TOP09","Tradition, Responsibility, Prosperity 09","Tradition, Responsibility, Prosperity 09",2009,,"203003",
"CZE","KSCM","Komunisticka strana Cech a Moravy","Communist Party of Bohemia and Moravia",1990,,"203004",1728
"CZE","KDU-CSL","Krestansko demokraticka unie - Ceskoslovenska strana lidova","Christian Democratic Union - Czechoslovak People's Party",1990,,"203005",676
"CZE","SZ","Strana zelenych","Green Party",1990,,"203006",1554
"CZE","ODA","Obcanska demokraticka aliance","Civic Democratic Alliance",1989,2007,"203007",1008
"CZE","US-DEU","Unie Svobody - Demokraticka unie","Freedom Union - Democratic Union",1998,2011,"203008",104
"CZE","SZJ","Strana za zivotní jistoty","Party for Life Security",1990,2006,"203009",
"CZE","ANO 2011","Akce nespokojenych obcanu 2011","Action of Dissatisfied Citizens 2011",2011,,"203010",
"CZE","PS","Pirátská strana","The Pirate Party",2009,,"203011",
"DNK","SD","Socialdemokratiet","Social Democrats",1871,,"208001",379
"DNK","DF","Dansk Folkeparti","Danish People's Party",1995,,"208002",1022
"DNK","RV","Det Radikale Venstre","The Danish Social Liberal Party",1905,,"208003",1507
"DNK","SF","Socialistisk Folkeparti","Socialist People Party",1959,,"208004",329
"DNK","EL","Enhedslisten - de rød/grønne","Red-Green Alliance",1989,,"208005",1527
"DNK","LA","Liberal Alliance","Liberal Alliance",2007,,"208006",212
"DNK","KF","Det Konservative Folkeparti","Conservative People's Party",1915,,"208007",536
"DNK","V","Venstre, Danmarks Liberale Parti","Left, Denmark's Liberal Party",1910,,"208008",1204
