partyfacts_id,parlgov_id
777,1935
990,120
1209,751
424,1253
1756,1760
323,1650
1999,2285
134,1922
143,215
410,1933
297,1914
1540,1306
1139,1904
1263,446
303,1913
663,1938
550,1917
754,1903
1997,2258
248,303
1642,1919
1781,1939
1098,1927
285,154
1998,2286
486,1411
1743,184
1244,1925
151,1918
338,1905
1736,2003
5453,2630
1162,386
785,1936
1996,2259
454,1898
782,1928
505,1897
113,1911
672,1908
566,1912
1411,1920
388,1929
1058,1906
599,1536
666,1739
1329,1013
6142,2678
6167,2688
2589,1752
1814,1750
996,769
1934,2689
346,1743
6235,2699
2990,2340
463,50
3679,2675
6140,2676
1935,2672
6169,2673
1917,2674
1708,669
3304,2685
605,955
6138,2652
6168,2679
1936,2684
1970,2255
1678,1744
6137,2651
6170,2681
1384,973
6141,2677
1971,2150
439,1746
1659,1429
1500,1745
2991,2339
6139,2683
1170,1740
528,1594
76,620
780,1181
2289,2422
480,167
826,1335
4541,2564
4542,2486
1892,2423
756,972
1915,2481
2609,119
302,708
1563,161
553,993
622,723
405,1051
633,1192
698,969
3689,2424
1544,470
275,63
382,640
554,454
43,221
191,171
36,501
49,1110
639,438
1424,290
1016,748
789,915
558,1440
1829,2425
1680,1029
1586,1113
500,1378
281,460
1753,256
747,353
3187,2364
1793,535
58,1254
2058,2213
2060,2173
1027,599
1496,364
263,1375
757,982
3188,2362
4095,2595
760,1541
1665,1160
2054,2179
603,1570
2059,2170
1195,57
5860,2639
149,710
2055,2178
1820,1362
2056,2212
222,800
265,566
3200,2379
982,1286
2057,2211
374,544
2021,2176
2022,2180
272,636
661,1161
2023,2177
2024,2214
3189,2363
5862,2640
5848,15
1765,996
709,1149
482,423
2025,2174
2026,2175
1183,784
5863,2637
5861,2638
407,1307
875,556
1004,1255
152,296
931,1259
1941,2427
2638,2085
1739,368
2000,2142
232,794
1930,2566
1428,448
1932,2565
1757,897
1940,2148
1156,1392
973,677
1972,2162
3133,2196
4865,2615
1568,316
2347,2135
2029,2198
1431,276
3138,2185
3143,2182
2062,2134
3142,2199
253,1044
72,1465
2028,2202
6568,2203
799,1384
214,1102
78,1081
3137,2188
4867,2612
2348,2133
513,1627
381,1457
5452,2628
2524,90
2061,2187
4866,2614
3109,2190
1475,1493
3201,2382
3136,2186
4884,2627
3117,2341
635,851
563,1575
108,1779
858,1621
1817,491
1625,1049
697,768
1066,1735
1837,1151
3116,2342
1028,945
1013,1768
1379,1778
1191,6
1510,1776
1076,572
4883,2626
834,1777
321,1523
2141,2263
138,2101
824,440
676,1245
1008,1123
466,829
1349,743
1796,574
2142,2220
1728,1173
1041,665
1813,29
2139,2219
2047,2261
177,789
2049,2262
1171,1616
165,1454
980,2102
6125,2654
104,688
1554,196
1425,653
2140,2221
2138,2224
936,1218
1127,2042
1707,2024
952,19
2143,2223
1272,406
254,363
2137,2222
670,77
1202,336
1657,872
904,2033
751,1532
293,1613
223,2
805,795
800,1324
53,1331
1676,367
277,1239
2660,1891
536,590
1022,1418
1507,211
637,412
1901,2428
112,797
932,538
1912,2429
1421,1450
1134,1606
1136,189
1118,1478
1204,1605
1914,2430
1913,2431
1900,2432
212,376
333,749
1601,978
1527,306
1200,812
379,1629
329,1644
4070,2567
18,1590
1973,2267
533,1137
790,609
1319,1064
1556,486
814,1516
175,1796
1040,219
5850,2631
3692,2416
1299,552
850,1792
821,113
3271,2409
429,1794
1361,25
908,243
83,1395
110,417
331,450
779,846
491,428
1975,2266
1150,1448
831,1553
685,1597
5523,2568
5524,1894
1062,66
6128,1649
901,94
703,1463
1928,2433
414,1389
166,229
1096,1292
3684,2434
1689,200
1573,1576
372,139
806,920
479,1062
1259,979
488,1109
495,1118
249,1219
5859,2645
1962,2293
725,957
250,638
1164,1108
1303,395
1229,585
856,1009
2536,2400
3207,2399
288,885
3155,2265
3156,2143
4626,2589
1473,1297
2470,2280
399,1491
1273,650
1251,686
4862,2617
1083,1094
1108,873
1313,259
3108,2585
1246,59
2688,2590
3160,2587
3105,2593
364,1101
1629,1414
433,270
1634,1263
1255,1058
1898,2249
1594,2083
452,2079
126,177
1776,285
1383,670
3157,2260
3107,2583
737,1086
4627,2586
1783,1492
14,401
1898,2271
509,138
1662,890
167,213
3181,2358
4628,2592
3102,2594
3159,2581
1506,442
3024,2264
1478,1539
2536,2618
5857,2643
5858,2644
912,516
1595,658
213,509
1580,898
2537,2269
3229,2273
617,1176
1010,1507
1031,1701
845,238
1816,772
865,255
1976,2253
749,301
61,1131
2068,2701
1825,2697
1798,137
1375,808
211,1727
1831,2709
1895,2713
2070,2700
1731,1180
1135,649
2702,1720
1828,2698
735,1420
2702,1235
2702,2703
573,543
1152,358
1090,41
1826,2691
1883,2696
1830,2692
1502,912
24,633
1827,2693
695,1506
1287,865
1151,187
2072,2705
1884,2690
1723,1537
1893,2695
270,1718
2107,2710
2702,2704
383,558
1652,292
86,791
6126,2649
720,524
1130,2096
274,2124
516,1441
301,1592
48,614
334,1311
1284,2094
1160,2093
648,1374
1682,720
3211,2408
378,1280
95,2097
1276,2164
3120,2347
1651,2091
1269,1059
207,2125
3212,2407
943,1027
2414,2230
231,1162
794,47
2511,2169
1468,1338
1030,252
2508,2167
1298,463
1660,2092
312,1412
965,1179
4512,2596
619,2123
471,2095
2509,2166
3118,2346
3119,2348
2510,2165
82,489
5535,74
1132,1183
910,1426
1412,434
469,1970
3115,2349
184,1203
NA,437
1691,921
1697,546
1597,95
1408,1591
6129,2660
859,1202
1294,870
42,600
859,2659
1323,198
1650,403
3795,2588
1726,418
854,988
264,817
2517,2204
1074,2111
1433,828
224,587
1769,2004
1881,2437
2518,2206
1951,2439
1958,2440
2519,2207
1070,2598
2514,2208
125,2115
363,1342
1954,2561
196,1800
457,210
1224,506
1890,2441
122,2114
1071,2116
673,1172
1249,1360
494,205
5852,2632
2048,2205
964,1455
2515,2210
77,2005
5454,2633
2516,2209
1396,1006
1325,228
1517,53
1208,1319
525,147
1316,1323
4556,2523
1172,1580
3209,2371
2292,2563
1055,280
1288,1393
1775,1573
2533,2326
2735,2370
2735,2328
4555,2526
562,318
880,1199
2443,2442
1391,156
2115,2443
2053,2218
187,523
1024,923
242,1804
924,651
4869,2620
1354,92
4,2217
208,433
4870,2619
1448,1014
2442,2447
3152,1835
1491,1832
615,244
3273,2410
447,1150
3153,2357
942,249
3148,1862
1061,1863
557,1850
1417,387
1616,1839
555,61
745,976
1149,1829
3144,1824
1380,1471
3131,1419
3122,2309
3123,1845
484,1870
219,1889
1655,1204
1489,1472
3129,2323
425,31
3192,2361
1664,980
434,188
1053,277
235,1816
396,767
1398,1343
678,765
3132,2355
613,1828
3190,2360
1358,305
1734,588
2740,2354
1663,805
770,1841
1447,214
953,1357
907,732
3149,2312
640,615
1394,106
3121,1873
3126,1838
1722,1834
784,390
712,1822
1786,1837
638,1660
22,1831
455,788
2740,2043
1167,1833
3146,2322
1036,678
3700,2421
3127,2320
3128,2321
729,279
597,938
1561,1969
3274,2411
999,1269
641,265
1337,1846
3151,2311
909,1821
1075,1303
169,1168
3125,2324
920,2310
1560,1827
817,1330
3956,712
2415,927
2280,2154
1737,1048
365,67
1767,99
962,627
934,1633
2281,2156
34,1088
1404,1321
643,961
279,1005
802,382
445,397
878,809
630,350
1327,488
851,910
1101,176
2046,2155
878,2666
1498,409
1626,596
851,1304
1371,1702
1126,242
750,1278
1461,487
1701,142
259,630
742,1475
1696,831
768,693
1212,465
773,1050
1045,1040
131,366
813,373
1482,1713
1464,1714
939,613
2052,2268
888,1287
1221,1436
1635,1661
772,502
3956,1528
684,421
3956,840
1429,1424
598,968
1449,1296
99,325
394,93
877,335
688,827
327,323
1505,1593
1369,1030
2279,2158
1372,1246
1758,226
115,399
734,1145
763,128
548,974
718,1080
6135,2657
436,1738
136,1734
1804,439
2750,163
867,1053
736,1540
778,1722
1435,1726
88,1327
1109,547
2080,2136
3,940
1515,837
423,1736
239,1723
1746,1193
348,1165
13,462
935,1755
1304,1733
702,1382
282,1136
1524,170
2750,247
692,1175
392,1146
3215,2404
6134,2656
1100,2069
352,4
91,1724
492,86
65,1737
1777,1124
506,801
304,239
415,445
600,1260
944,1351
837,384
19,759
860,928
1702,1368
393,1667
671,203
176,1520
3193,2365
701,466
1056,1100
3965,2418
3194,2366
3213,2392
461,662
1296,1001
1789,1557
741,1656
373,1042
1043,526
1778,1043
75,1083
367,500
404,956
1704,521
1719,32
6355,2717
1000,1294
1531,1518
1632,550
1654,267
1755,811
900,1163
3214,2393
871,278
1315,42
1476,1942
87,1608
680,257
588,309
627,962
6357,2716
3690,2417
3195,2367
852,1666
6356,2715
1197,2036
1185,887
52,709
776,493
105,676
1587,1446
546,519
556,28
193,1045
102,581
1193,983
1744,482
1357,378
5455,2635
1063,675
341,1144
5456,2634
1407,21
612,1782
1410,1562
377,432
330,2037
21,1632
1490,191
168,863
64,1277
738,1408
1747,1261
636,1783
347,1502
1800,856
237,1421
51,2026
1409,2039
1291,2025
1250,1056
74,2121
753,1447
2501,2007
1806,2122
1026,383
1114,1582
539,1234
1213,1130
552,202
1647,151
2401,2448
300,967
493,315
1501,2027
475,1158
2066,2146
2399,2450
2067,2139
2400,2451
1228,1339
4535,2531
