id,country,name_short,name_english,name,comment,first,last,country_short
1,DENMARK,SOCD,Social Democrats,Socialdemokratiet,,1919,1973,DNK
2,DENMARK,RAD,Radicals,Det radikale Venstre,,1919,1973,DNK
3,DENMARK,LIB,Liberals,Venstre,,1919,1973,DNK
4,DENMARK,CONS,Conservatives,Dee konservative Folkparti,,1919,1973,DNK
5,DENMARK,COMM,Communists,Danmarks kommunistiske Parti,,1945,1973,DNK
6,DENMARK,LS,Left Socialists,Venstresocialisterne,post-1968,1945,1973,DNK
7,DENMARK,SOCL,Socialists,Socislistisk Folkepartiet,,1945,1973,DNK
10,DENMARK,LC,Liberal Center,Liberalt Centrum,post-1966,1945,1973,DNK
12,DENMARK,JUST,Justice Party,Retsforbundet,,1945,1973,DNK
14,FINLAND,SKDL,Communists,,,1919,1939,FIN
15,FINLAND,SOCD,Social Democrats,,,1919,1973,FIN
16,FINLAND,PROG,National Progressives,,,1919,1939,FIN
17,FINLAND,AGR,Agrarian Union,,,1919,1939,FIN
18,FINLAND,SWPP,Swedish People's Party,,,1919,1973,FIN
19,FINLAND,CONS,Finhish Conservative Party,,,1919,1973,FIN
20,FINLAND,NPF,Finnish Patriotic Movement,,,1919,1939,FIN
21,FINLAND,PDEM,Democratic League for People of Finland,,,1945,1973,FIN
22,FINLAND,SDWS,Workers' & Smallholders Social Democratic League,,,1945,1973,FIN
24,FINLAND,CENT,Center-Party,,,1945,1973,FIN
25,FINLAND,FRP,Finnish Rural Party,,,1945,1973,FIN
26,FINLAND,LIB,Finnish People's Party (FPP)/Liberal League,,,1945,1973,FIN
29,ICELAND,COMM,Communist People's Alliance,Alpthydubandalgi,,1919,1973,ISL
30,ICELAND,SOCD,Socvial Democratic Party,Alpthyduflokkurinn,,1919,1973,ISL
31,ICELAND,PROG,Progressive/Farmers' Party,Framsoknarflokkurinn,,1919,1973,ISL
32,ICELAND,LIB,Liberal Party,,1918-1929,1919,1939,ISL
33,ICELAND,INDP,Independence Party,Sjalfstaedisflokkurinn,post-1929,1919,1973,ISL
34,ICELAND,CONS,Conservative Party,,1918-1929,1919,1939,ISL
36,ICELAND,LLIB,Liberal Left,,splinter group of COMM,1945,1973,ISL
40,NORWAY,LAB,Labor Party,,+ SOCD post-1927,1919,1973,NOR
41,NORWAY,LIB,Liberal Party,,,1919,1973,NOR
42,NORWAY,AGR,Agrarian Party,,,1919,1939,NOR
43,NORWAY,CONS,Conservative Party,,,1919,1973,NOR
44,NORWAY,COMM,Communist Party,CP,,1945,1973,NOR
45,NORWAY,SOCL,Socialist People's Party,SF,,1945,1973,NOR
48,NORWAY,CHPP,Christian People's Party,KF,,1945,1973,NOR
49,NORWAY,CENT,Center Party,,pre-1959: Agrarians,1945,1973,NOR
51,SWEDEN,COMM,Communist Party,,,1919,1973,SWE
52,SWEDEN,SOCD,Social Democratic Party,,,1919,1973,SWE
53,SWEDEN,AGR,Agrarian Party,,,1919,1939,SWE
54,SWEDEN,LIB,Liberal Party,,,1919,1973,SWE
55,SWEDEN,CONS,Conservative Party,,,1919,1973,SWE
58,SWEDEN,CENT,Agrarian Party,Centerpartiet,,1945,1973,SWE
61,NETHERLANDS,CPN,Communist Party,,,1919,1973,NLD
62,NETHERLANDS,SOCD,Social Democratic Party,SDAP,,1919,1939,NLD
63,NETHERLANDS,RAD,Radical Party,,,1919,1939,NLD
64,NETHERLANDS,KVP,Catholic Party,,,1919,1973,NLD
65,NETHERLANDS,CHU,Christian Historical Party,,,1919,1973,NLD
66,NETHERLANDS,ULIB,United Liberal Party,,1918-1922,1919,1939,NLD
67,NETHERLANDS,FLIB,Free Liberal Party,,1918-1922,1919,1939,NLD
68,NETHERLANDS,LIB,Liberal Party,,,1919,1939,NLD
69,NETHERLANDS,ARP,Anti-Revolutionary Party,,,1919,1973,NLD
70,NETHERLANDS,ECUM,Ecumenical Party,,1918-1922,1919,1939,NLD
71,NETHERLANDS,SGP,Political Reformed Party,,,1919,1973,NLD
72,NETHERLANDS,NSB,National Social Movement,,1930s,1919,1939,NLD
74,NETHERLANDS,PSP,Pacifist Socialist Party,,,1945,1973,NLD
75,NETHERLANDS,PPR,Political Radicals,,1972-1973,1945,1973,NLD
76,NETHERLANDS,PVDA,Labor Party,Partij van der Arbeid,,1945,1973,NLD
77,NETHERLANDS,D'66,Radical Democrats,,,1945,1973,NLD
78,NETHERLANDS,DS70,1971 Social Democratic splinter party,,,1945,1973,NLD
