country,name_short,name,year_first,year_last,party_id
ALB,BK,Balli Kombëtar,1991,,ALB-BK-1991
ALB,PDD,Partia Demokratike e Djahte,1994,,ALB-PDD-1994
ALB,PUK,Partia e Unitetit Kombëtar,1991,,ALB-PUK-1991
AUT,BZÖ,Bündnis Zukunft Österreich,2005,,AUT-BZÖ-2005
AUT,FPÖ,Freiheitliche Partei Österreichs,1986,,AUT-FPÖ-1986
BLR,BPS,Belarusskaya partiya svobody,,,BLR-BPS-NA
BLR,LDPB,Liberalno-demokraticheskaya partiya Belarusa,,,BLR-LDPB-NA
BEL,,Agir,1989,1994,BEL-NA-1989
BEL,FNb,Front National (Belge),1985,,BEL-FNb-1985
BEL,FNB,Front Nouveau de Belgique,1995,,BEL-FNB-1995
BEL,VB,Vlaams Blok,1979,2004,BEL-VB-1979
BEL,VB,Vlaams Belang,2004,,BEL-VB-2004
BIH,HDZBiH,Hrvatska demokratska zajednica Bosne i Hercegovine,1990,,BIH-HDZBiH-1990
BIH,SDS,Srpska demokratska stranka,1990,1998,BIH-SDS-1990
BIH,SRS RS,Srpska radikalna stranka Republike Srpske,1991,,BIH-SRS RS-1991
BIH,SDA,Stranka demokratska akcije,1990,,BIH-SDA-1990
BGR,BChP,Bălgarska Christijandemokratičeska partija,1990,,BGR-BChP-1990
BGR,BNRP,Bălgarska nacionalna radikalna partija,1989,,BGR-BNRP-1989
BGR,NSA,Nacionalen sayuz Ataka,2005,,BGR-NSA-2005
BGR,Ataka,Partiya Ataka,2005,,BGR-Ataka-2005
BGR,VMRO-SMD,Vătrešna makedonska revoljucionna organizacija–Săjuz na makedonskite družestva,1990,,BGR-VMRO-SMD-1990
HRV,HB,Hrvatski blok,2000,,HRV-HB-2000
HRV,HDZBiH,Hrvatska demokratska zajednica,1989,2000,HRV-HDZBiH-1989
HRV,HIP,Hrvatski istinski preporod,2001,,HRV-HIP-2001
HRV,HSP,Hrvatska stranka prava,1990,,HRV-HSP-1990
HRV,HSP 1861,Hrvatska stranka prava-1861,1995,,HRV-HSP 1861-1995
CYP,YDP,Yeni Doğuş Partisi,1984,,CYP-YDP-1984
CZE,NSA,Národni strana,1998,,CZE-NSA-1998
CZE,RMS,Republikáni Miroslava Sládka,2001,,CZE-RMS-2001
CZE,SPR-RSC,Sdruženi pro republiku–Republikánská strana Československa,1989,2001,CZE-SPR-RSC-1989
DNK,DFP,Dansk Folkeparti,1995,,DNK-DFP-1995
EST,EIP,Eesti Iseseisvuspartei,1999,,EST-EIP-1999
EST,EK,Eesti Kodanik,1992,1995,EST-EK-1992
