countrycode,party_abbr,party_id,year_first,year_last,seat_share,year
HRV,HDZ,300017,1990,2020,68.8,1990
ROU,FSN,270005,1990,1990,66.4,1990
GBR,Lab,170006,1945,2019,63.4,1997
FRA,G,50010,1958,2022,63.3,2002
GBR,Con,170009,1945,2019,61.1,1983
PRT,PSD,140009,1976,2022,59.2,1987
HUN,Fidesz,220008,1990,2022,59.1,2022
GRC,ND,70016,1977,2023,57.7,1977
ESP,PSOE,150008,1977,2019,57.7,1982
GRC,PASOK,70010,1977,2023,57.3,1981
IRL,FF,90008,1944,2020,56.8,1977
NOR,A,130003,1945,2021,56.7,1949
SVK,Smer-SD,280005,2002,2020,55.3,2012
FRA,S,50005,1958,2022,55.2,1981
FRA,LREM,50007,2017,2022,55.2,2017
DEU,CDU-CSU,60007,1949,2021,54.5,1957
HUN,MSzP,220010,1990,2022,54.1,1994
SWE,S,160003,1944,2022,53.6,1968
ITA,DC,100012,1946,1992,53.1,1948
ESP,PP,150019,1977,2019,52.9,2011
BGR,BSP,180001,1990,2023,52.8,1990
PRT,PS,140007,1976,2022,52.6,2005
LTU,LDDP,240002,1992,1996,52.5,1992
AUT,SPÖ,10004,1945,2019,51.9,1979
AUT,ÖVP,10005,1945,2019,51.5,1945
BGR,SDS,180014,1990,2013,51.2,1997
LTU,TS-LKD,240014,1992,2020,51.1,1996
BEL,CVP-PSC,20010,1946,1965,50.9,1950
LUX,CSV,110001,1945,2018,50,1954
BGR,NDSV,180011,2001,2009,50,2001
GRC,SYRIZA,70006,2004,2023,49.7,2015
SVK,ĽS-HZDS,280008,1992,2006,49.3,1992
ITA,PD,100029,2006,2022,49,2013
BGR,GERB,180013,2009,2023,48.3,2009
ESP,UCD,150017,1977,1982,48,1979
ROU,PSD,270007,1992,2020,46.8,2016
SVN,GS,290024,2022,2022,46.6,2022
DEU,SPD,60005,1949,2021,46.4,1972
IRL,FG,90009,1944,2020,45.8,2011
POL,PO,260024,2001,2019,45.8,2011
POL,PiS,260005,2001,2019,45.3,2015
SVN,SMC,290020,2014,2018,44.4,2014
PRT,PàF,140013,2015,2015,44.3,2015
ITA,FI-PdL,100020,1994,2022,43.7,2008
POL,AWS,260010,1997,2001,43.7,1997
POL,SLD,260009,1991,2019,43.5,2001
DNK,S,30006,1945,2022,43,1960
HUN,MDF,220011,1990,2010,42.7,1990
SVN,LDS,290013,1990,2008,42,2000
ISL,IP,80015,1942,2021,41.7,1974
