"party_id","country_name_short","party_name_short","party_name_english","party_name","family_name_short","url","first","last","vote_share_max_year","vote_share_max","wikipedia"
1760,"AUS","AP","Australia Party","Australia Party","lib","http://www.parlgov.org/explore/aus/party/1760/","1972","1974","1972",2.4,"http://en.wikipedia.org/wiki/Australia_Party"
1935,"AUS","ACP-V","Australian Country Party (Vic)","Australian Country Party (Vic)","con","http://www.parlgov.org/explore/aus/party/1935/","1934","1934","1934",2.2,"http://en.wikipedia.org/wiki/Australian_Country_Party"
120,"AUS","AD","Australian Democrats","Australian Democrats","soc","http://www.parlgov.org/explore/aus/party/120/","1977","2004","1990",11.3,"http://en.wikipedia.org/wiki/Australian_Democrats"
751,"AUS","AG","Australian Greens","Australian Greens","eco","http://www.parlgov.org/explore/aus/party/751/","1990","2013","2010",11.8,"http://en.wikipedia.org/wiki/Australian_Greens"
1253,"AUS","ALP","Australian Labor Party","Australian Labor Party","soc","http://www.parlgov.org/explore/aus/party/1253/","1901","2013","1914",50.9,"http://en.wikipedia.org/wiki/Australian_Labor_Party"
1650,"AUS","CDP","Christian Democratic Party","Christian Democratic Party","chr","http://www.parlgov.org/explore/aus/party/1650/","1990","1990","1990",1,"http://en.wikipedia.org/wiki/Christian_Democratic_Party_%28Australia%29"
1428,"AUS","C","Coalition","Coalition","con","http://www.parlgov.org/explore/aus/party/1428/",,,,,"http://en.wikipedia.org/wiki/Coalition_%28Australia%29"
2285,"AUS","CLP","Commonwealth Liberal Party","Commonwealth Liberal Party","con","http://www.parlgov.org/explore/aus/party/2285/","1910","1914","1913",48.9,"http://en.wikipedia.org/wiki/Commonwealth_Liberal_Party"
1922,"AUS","CPA","Communist Party of Australia","Communist Party of Australia","com","http://www.parlgov.org/explore/aus/party/1922/","1934","1946","1943",2,"http://en.wikipedia.org/wiki/Communist_Party_of_Australia"
215,"AUS","CouLP","Country Liberal Party","Country Liberal Party","lib","http://www.parlgov.org/explore/aus/party/215/","1975","2013","1996",0.4,"http://en.wikipedia.org/wiki/Country_Liberal_Party"
1914,"AUS","CPP-V","Country Progressive Party (Vic)","Country Progressive Party (Vic)","con","http://www.parlgov.org/explore/aus/party/1914/","1928","1929","1928",1.6,"http://en.wikipedia.org/wiki/Country_Progressive_Party"
1933,"AUS","CN-QLD","Country-National Party (Qld)","Country-National Party (Qld)","con","http://www.parlgov.org/explore/aus/party/1933/","1943","1943","1943",4,"http://en.wikipedia.org/wiki/Country_Party_of_Australia"
1306,"AUS","DLP","Democratic Labour Party","Democratic Labour Party","soc","http://www.parlgov.org/explore/aus/party/1306/","1955","1977","1958",9.4,"http://en.wikipedia.org/wiki/Democratic_Labor_Party"
1904,"AUS","EC-SA","Emergency Committee (SA)","Emergency Committee (SA)","lib","http://www.parlgov.org/explore/aus/party/1904/","1931","1931","1931",5.5,"http://en.wikipedia.org/wiki/Emergency_Committee_of_South_Australia"
446,"AUS","FFP","Family First Party","Family First Party","con","http://www.parlgov.org/explore/aus/party/446/","2004","2013","2010",2.2,"http://en.wikipedia.org/wiki/Family_First_Party"
1913,"AUS","FS-NSW","Farmers and Settlers (NSW)","Farmers and Settlers (NSW)","agr","http://www.parlgov.org/explore/aus/party/1913/","1919","1919","1919",1,""
1938,"AUS","FTP","Free Trade Party","Free Trade Party","lib","http://www.parlgov.org/explore/aus/party/1938/","1901","1906","1906",38.2,"http://en.wikipedia.org/wiki/Anti-Socialist_Party"
1917,"AUS","IPP-V","Independent Protectionist Party (Vic)","Independent Protectionist Party (Vic)","con","http://www.parlgov.org/explore/aus/party/1917/","1906","1906","1906",4.8,""
1903,"AUS","INAT","Independet Nationalist","Independet Nationalist","code","http://www.parlgov.org/explore/aus/party/1903/","1919","1929","1929",3.9,""
2258,"AUS","Katter","Katter's Australian Party","Katter's Australian Party","soc","http://www.parlgov.org/explore/aus/party/2258/","2013","2013","2013",1,"http://en.wikipedia.org/wiki/Katter%27s_Australian_Party"
303,"AUS","LLP","Lang Labour Party","Lang Labour Party","soc","http://www.parlgov.org/explore/aus/party/303/","1931","1946","1934",14.4,"http://en.wikipedia.org/wiki/Lang_Labour_Party"
1919,"AUS","LCL","Liberal and Country League","Liberal and Country League","soc","http://www.parlgov.org/explore/aus/party/1919/","1934","1946","1946",4.4,"http://en.wikipedia.org/wiki/Liberal_and_Country_League"
1939,"AUS","LCP-V","Liberal Country Party (Vic)","Liberal Country Party (Vic)","agr","http://www.parlgov.org/explore/aus/party/1939/","1940","1940","1940",1.3,""
1927,"AUS","LD-NSW","Liberal Democratic Party (New South Wales)","Liberal Democratic Party (New South Wales)","lib","http://www.parlgov.org/explore/aus/party/1927/","1943","1943","1943",1,"http://en.wikipedia.org/wiki/Liberal_Democrat_Party_%28Australia%29"
154,"AUS","LNPQ","Liberal National Party of Queensland","Liberal National Party of Queensland","lib","http://www.parlgov.org/explore/aus/party/154/","2010","2013","2010",9.1,"http://en.wikipedia.org/wiki/Liberal_National_Party_of_Queensland"
2286,"AUS","LP","Liberal Party","Liberal Party","con","http://www.parlgov.org/explore/aus/party/2286/","1922","1922","1922",4.7,"http://en.wikipedia.org/wiki/Liberal_Party_%281922%29"
1411,"AUS","LPA","Liberal Party of Australia","Liberal Party of Australia","con","http://www.parlgov.org/explore/aus/party/1411/","1946","2013","1975",41.8,"http://en.wikipedia.org/wiki/Liberal_Party_of_Australia"
184,"AUS","NCP|NPA","National (Country) Party | National Party of Australia","National (Country) Party | National Party of Australia","con","http://www.parlgov.org/explore/aus/party/184/","1919","2013","1922",12.6,"http://en.wikipedia.org/wiki/National_Party_of_Australia"
2003,"AUS","NL","National Labor","National Labor","soc","http://www.parlgov.org/explore/aus/party/2003/",,,,,"http://en.wikipedia.org/wiki/National_Labor_Party"
1925,"AUS","NAT-WA","Nationalist","Nationalist","con","http://www.parlgov.org/explore/aus/party/1925/","1934","1934","1934",1,""
1918,"AUS","NF-NSW","Nationalist and Farmers (NSW)","Nationalist and Farmers (NSW)","code","http://www.parlgov.org/explore/aus/party/1918/","1919","1919","1919",2.4,""
1905,"AUS","NAT","Nationalist Party of Australia","Nationalist Party of Australia","right","http://www.parlgov.org/explore/aus/party/1905/","1917","1929","1917",54.2,"http://en.wikipedia.org/wiki/Nationalist_Party_of_Australia"
386,"AUS","ONP","One Nation Party","One Nation Party","right","http://www.parlgov.org/explore/aus/party/386/","1998","2004","1998",8.4,"http://en.wikipedia.org/wiki/Pauline_Hanson%27s_One_Nation"
1936,"AUS","OPA","One Parliament for Australia","One Parliament for Australia","code","http://www.parlgov.org/explore/aus/party/1936/","1943","1943","1943",2.1,"http://en.wikipedia.org/wiki/One_Parliament_for_Australia"
2259,"AUS","PUP","Palmer United Party","Palmer United Party","lib","http://www.parlgov.org/explore/aus/party/2259/","2013","2013","2013",5.5,"http://en.wikipedia.org/wiki/Palmer_United_Party"
1898,"AUS","PP","Protectionist Party","Protectionist Party","con","http://www.parlgov.org/explore/aus/party/1898/","1901","1906","1901",44.4,"http://en.wikipedia.org/wiki/Protectionist_Party"
1928,"AUS","QC","Queensland Country Party","Queensland Country Party","con","http://www.parlgov.org/explore/aus/party/1928/","1943","1943","1943",1.5,""
1897,"AUS","SPA","Services Party of Australia","Services Party of Australia","code","http://www.parlgov.org/explore/aus/party/1897/","1946","1946","1946",1.2,"http://en.wikipedia.org/wiki/Services_Party_of_Australia"
1911,"AUS","SCP","Social Credit Party","Social Credit Party","spec","http://www.parlgov.org/explore/aus/party/1911/","1934","1937","1934",4.7,"http://en.wikipedia.org/wiki/Social_Credit_Party_%28Australia%29"
1908,"AUS","SL-NSW","State Labor Party (NSW)","State Labor Party (NSW)","com","http://www.parlgov.org/explore/aus/party/1908/","1940","1940","1940",2.6,"http://en.wikipedia.org/wiki/State_Labor_Party"
1912,"AUS","UAP","United Australia Party","United Australia Party","con","http://www.parlgov.org/explore/aus/party/1912/","1931","1943","1931",36.4,"http://en.wikipedia.org/wiki/United_Australia_Party"
1920,"AUS","VCP","Victorian Country Party","Victorian Country Party","con","http://www.parlgov.org/explore/aus/party/1920/","1937","1937","1937",3.4,""
1929,"AUS","VFU-V","Victorian Farmers' Union","Victorian Farmers' Union","agr","http://www.parlgov.org/explore/aus/party/1929/","1919","1919","1919",4.2,"http://en.wikipedia.org/wiki/Victorian_Farmers_Union"
1906,"AUS","WAP","Western Australian Party","Western Australian Party","lib","http://www.parlgov.org/explore/aus/party/1906/","1906","1906","1906",2.3,"http://en.wikipedia.org/wiki/Western_Australian_Party"
1739,"AUT","ALO","Alternative List Austria","Alternative Liste Österreichs","eco","http://www.parlgov.org/explore/aut/party/1739/","1983","1983","1983",1.4,"http://de.wikipedia.org/wiki/Alternative_Liste_%C3%96sterreichs"
1536,"AUT","BZO","Alliance for the Future of Austria","Bündnis Zukunft Österreich","right","http://www.parlgov.org/explore/aut/party/1536/","2006","2013","2008",10.7,"http://en.wikipedia.org/wiki/Alliance_for_the_Future_of_Austria"
1746,"AUT","Fritz","The Citizens' Forum Austria","Bürgerforum Österreich – Liste Fritz Dinkhauser","soc","http://www.parlgov.org/explore/aut/party/1746/","2008","2008","2008",1.8,"http://en.wikipedia.org/wiki/Citizens'_Forum_Austria"
1752,"AUT","CSA","Christian social alliance (Karl Habsburg List)","Christlich Soziale Allianz (Liste Karl Habsburg)","chr","http://www.parlgov.org/explore/aut/party/1752/","1999","1999",,,""
1743,"AUT","DFP","Democratic Progressive Party","Demokratische Fortschrittliche Partei","spec","http://www.parlgov.org/explore/aut/party/1743/","1966","1966","1966",3.3,"http://de.wikipedia.org/wiki/Demokratische_Fortschrittliche_Partei"
1429,"AUT","Gruene","The Greens -- The Green Alternative","Die Grünen – Die Grüne Alternative","eco","http://www.parlgov.org/explore/aut/party/1429/","1986","2014","2013",12.4,"http://en.wikipedia.org/wiki/The_Greens_%E2%80%93_The_Green_Alternative"
