iso3country,party,speaker,date_first,date_last,party.facts.id
AUS,ÖVP,Adelheid Irina Fürntrath-Moretti,2007-01-17,2013-07-06,1329
AUS,ÖVP,Adolfine Herta Mikesch,2007-03-07,2008-01-31,1329
AUS,Grüne,Albert Steinhauser,2007-07-04,2017-10-13,1659
AUS,Grüne,Alev Korun,2008-12-03,2017-10-04,1659
AUS,Grüne,Alexander Van der Bellen,1996-01-31,2012-07-05,1659
AUS,SPÖ,Alexander Zach,2007-01-17,2008-04-10,1384
AUS,ÖVP,Alfred Brader,1996-03-21,2006-07-13,1329
AUS,ÖVP,Alfred Finz,2008-09-12,2008-09-12,1329
AUS,SPÖ,Alfred Gusenbauer,1996-03-21,2006-12-15,1384
AUS,Jetzt – Liste PILZ,Alfred J. Noll,2017-12-13,2018-12-13,6137
AUS,ÖVP,Alfred Schöls,2003-05-08,2006-07-13,1329
AUS,PILZ,Alma Zadic,2017-12-13,2018-10-25,6137
AUS,JETZT,Alma Zadic,2018-11-21,2018-12-13,6137
AUS,FPÖ,Alois Gradauer,2007-01-30,2013-07-06,463
AUS,FPÖ,Alois Kainz,2018-04-19,2018-11-21,463
AUS,ÖVP,Alois Mock,1996-01-31,1999-07-16,1329
AUS,FPÖ,Alois Pumberger,1996-03-21,2002-09-20,463
AUS,ÖVP,Alois Rosenberger,2018-01-31,2018-12-13,1329
AUS,SPÖ,Alois Stöger,2017-12-21,2018-12-13,1384
AUS,ÖVP,Andrea Eder-Gitschthaler,2006-12-15,2008-07-09,1329
AUS,SPÖ,Andrea Gessl-Ranftl,2009-01-21,2017-06-28,1384
AUS,SPÖ,Andrea Kuntzl,2000-01-26,2018-12-13,1384
AUS,FPÖ,Andrea Michaela Schartel,2018-06-14,2018-11-21,463
AUS,ÖVP,Andrea Wolfmayr,2000-01-26,2006-06-21,1329
AUS,ÖVP,Andreas Hanger,2014-02-25,2018-12-11,1329
AUS,FPÖ,Andreas Karlsböck,2008-12-03,2017-06-28,463
AUS,ÖVP,Andreas Khol,1996-01-15,2006-09-21,1329
AUS,SPÖ,Andreas Kollross,2018-01-31,2018-12-11,1384
AUS,ÖVP,Andreas Kühberger,2018-01-31,2018-12-13,1329
AUS,ÖVP,Andreas Ottenschläger,2014-01-29,2018-12-13,1329
AUS,SPÖ,Andreas Schieder,2007-01-17,2018-12-11,1384
AUS,FPÖ,Andreas Sodian,2000-04-27,2002-07-11,463
AUS,Grüne,Andreas Wabl,1996-01-15,1999-07-16,1659
AUS,ÖVP,Andreas Zakostelsky,2013-11-20,2017-10-13,1329
AUS,ÖVP,Angela Baumgartner,2018-02-28,2018-11-22,1329
AUS,ÖVP,Angela Fichtinger,2014-02-25,2018-12-13,1329
AUS,SPÖ,Angela Lueger,2008-01-31,2018-12-13,1384
AUS,ÖVP,Angelika Kuss-Bergner,2018-01-31,2018-12-13,1329
AUS,LIF,Angelika Rosa Mlinar,2013-10-29,2014-06-13,605
AUS,ÖVP,Angelika Winzig,2013-12-17,2018-12-13,1329
AUS,SPÖ,Anita Fleckl,2003-06-04,2008-06-07,1384
AUS,FPÖ,Anna Elisabeth Achatz,2000-10-19,2002-07-11,463
AUS,FPÖ,Anna Elisabeth Aumayr,1996-02-29,2000-09-20,463
AUS,ÖVP,Anna Franz,2003-06-04,2013-07-06,1329
AUS,ÖVP,Anna Höllerer,2003-02-26,2013-07-06,1329
AUS,SPÖ,Anna Huber,1996-02-29,2002-07-11,1384
AUS,FPÖ,Anneliese Kitzmüller,2008-12-03,2017-12-21,463
AUS,FPÖ,Anneliese Klein,1998-06-17,1999-07-15,463
AUS,SPÖ,Annemarie Reitsamer,1996-03-14,2001-02-02,1384
AUS,FPÖ,Anton Blünegger,1996-01-31,1999-07-16,463
AUS,ÖVP,Anton Doppler,2004-06-16,2006-07-13,1329
AUS,SPÖ,Anton Gaál,1996-02-29,2007-07-05,1384
AUS,SPÖ,Anton Heinzl,1998-07-09,2017-06-29,1384
AUS,FPÖ,Anton Knerzl,2000-04-27,2002-07-09,463
AUS,SPÖ,Anton Leikam,1996-02-29,2002-03-21,1384
AUS,FPÖ,Anton Wattaul,1999-12-15,2006-04-27,463
AUS,BZÖ,Anton Wattaul,2006-05-23,2006-07-13,599
AUS,SPÖ,Arnold Grabner,1996-03-20,2001-12-13,1384
AUS,ÖVP,Asdin El Habbassi,2013-12-17,2017-10-04,1329
AUS,ÖVP,Astrid Stadler,2000-11-23,2008-07-09,1329
AUS,ÖVP,August Wöginger,2003-06-04,2018-12-13,1329
AUS,FPÖ,Axel Kassegger,2014-01-29,2018-12-13,463
AUS,Grüne,Aygül Berivan Aslan,2013-12-17,2017-10-13,1659
AUS,ÖVP,Barbara Krenn,2017-12-21,2018-12-13,1329
AUS,Grüne,Barbara Neuroth,2017-06-07,2017-06-29,1659
AUS,SPÖ,Barbara Prammer,2000-02-10,2013-04-26,1384
AUS,ÖVP,Barbara Riener,2003-04-29,2009-02-27,1329
AUS,FPÖ,Barbara Rosenkranz,2003-02-26,2017-06-29,463
