party_id,country,party,year_first,year_last,partyfacts_id
AUT-BZÖ,AUT,BZÖ,2004,2013,599
AUT-FPÖ,AUT,FPÖ,1996,2018,463
AUT-Grüne,AUT,Grüne,1996,2017,1659
AUT-independent,AUT,independent,1996,2018,
AUT-JETZT,AUT,JETZT,2018,2018,6137
AUT-Jetzt – Liste PILZ,AUT,Jetzt – Liste PILZ,2017,2018,6137
AUT-LIF,AUT,LIF,1996,2014,605
AUT-NEOS,AUT,NEOS,2013,2018,1970
AUT-ÖVP,AUT,ÖVP,1996,2018,1329
AUT-PILZ,AUT,PILZ,2017,2018,6137
AUT-SPÖ,AUT,SPÖ,1996,2018,1384
AUT-STRONACH,AUT,STRONACH,2012,2017,1971
CZE-ANO,CZE,ANO,2013,2016,2141
CZE-ČMSS,CZE,ČMSS,1994,1994,
CZE-ČMUS,CZE,ČMUS,1993,1996,
CZE-ČSSD,CZE,ČSSD,1993,2016,
CZE-HSD-SMS,CZE,HSD-SMS,1993,1994,952
CZE-HSDMS,CZE,HSDMS,1993,1993,952
CZE-KDS,CZE,KDS,1993,1996,824
CZE-KDU-ČSL,CZE,KDU-ČSL,1993,2016,
CZE-KSČM,CZE,KSČM,1994,2016,
CZE-LB,CZE,LB,1993,1996,2138
CZE-LSNS,CZE,LSNS,1993,1996,
CZE-LSU,CZE,LSU,1993,1994,936
CZE-Nez.-SZ,CZE,Nez.-SZ,2006,2006,
CZE-Nezařazení,CZE,Nezařazení,1993,2016,
CZE-ODA,CZE,ODA,1993,1998,1008
CZE-ODS,CZE,ODS,1993,2016,466
CZE-ONH,CZE,ONH,1996,1996,
CZE-other,CZE,other,1993,2016,
CZE-SPR-RSČ,CZE,SPR-RSČ,1993,1998,
CZE-SZ,CZE,SZ,2007,2010,1554
CZE-TOP 09 a Starostové,CZE,TOP 09 a Starostové,2013,2016,
CZE-TOP09,CZE,TOP09,2010,2013,223
CZE-US,CZE,US,1998,2002,905
CZE-US-DEU,CZE,US-DEU,2002,2006,104
CZE-Úsvit,CZE,Úsvit,2013,2016,2049
CZE-VV,CZE,VV,2010,2013,1202
DEU-AfD,DEU,AfD,2017,2018,1976
DEU-CDU/CSU,DEU,CDU/CSU,1991,2018,211
DEU-FDP,DEU,FDP,1991,2018,573
DEU-GRUENE,DEU,GRUENE,1991,2018,1816
DEU-independent,DEU,independent,1993,2018,
DEU-PDS/LINKE,DEU,PDS/LINKE,1991,2018,1545
DEU-SPD,DEU,SPD,1991,2018,383
DNK-ALT,DNK,ALT,2015,2018,4070
DNK-CD,DNK,CD,1997,2001,800
DNK-DF,DNK,DF,1997,2018,1022
DNK-EL,DNK,EL,1997,2018,1527
DNK-FF,DNK,FF,2005,2007,
DNK-FP,DNK,FP,1997,2000,1601
DNK-FRI,DNK,FRI,1999,2001,
DNK-IA,DNK,IA,2001,2018,
DNK-JF,DNK,JF,2018,2018,
DNK-KD,DNK,KD,2003,2011,53
DNK-KF,DNK,KF,1997,2018,536
DNK-KRF,DNK,KRF,1998,2003,53
DNK-LA,DNK,LA,2008,2018,212
DNK-LH,DNK,LH,2000,2000,
DNK-NQ,DNK,NQ,2018,2018,
DNK-NY,DNK,NY,2007,2008,212
DNK-RV,DNK,RV,1997,2018,1507
DNK-S,DNK,S,1997,2018,379
DNK-SF,DNK,SF,1997,2018,329
DNK-SIU,DNK,SIU,2001,2016,6651
DNK-SP,DNK,SP,2008,2015,
DNK-T,DNK,T,2001,2018,
DNK-UFG,DNK,UFG,2004,2018,
DNK-UP,DNK,UP,1997,2001,
DNK-V,DNK,V,1997,2018,1204
ESP-GC-CiU,ESP,GC-CiU,1996,2015,
ESP-GC-DL,ESP,GC-DL,2016,2017,
ESP-GCC,ESP,GCC,1996,2003,81
ESP-GCC-NC,ESP,GCC-NC,2004,2007,
ESP-GCs,ESP,GCs,2016,2018,3217
ESP-GCUP-EC-EM,ESP,GCUP-EC-EM,2016,2018,3203
ESP-GER,ESP,GER,2016,2018,848
ESP-GER-ERC,ESP,GER-ERC,2004,2008,
ESP-GER-IU-ICV,ESP,GER-IU-ICV,2008,2011,
ESP-GIP,ESP,GIP,2011,2015,
ESP-GIU,ESP,GIU,1996,2003,247
ESP-GIU-ICV,ESP,GIU-ICV,2004,2008,
ESP-GMX,ESP,GMX,1996,2018,
ESP-GPP,ESP,GPP,1996,2018,441
ESP-GPSOE,ESP,GPSOE,1996,2018,1338
ESP-GUPyD,ESP,GUPyD,2011,2015,
ESP-GV EAJ-PNV,ESP,GV EAJ-PNV,2004,2018,
ESP-GV-PNV,ESP,GV-PNV,1996,2016,
GBR-APNI,GBR,APNI,2010,2015,1477
GBR-Birkenhead Social Justice,GBR,Birkenhead Social Justice,2019,2019,
GBR-Change UK,GBR,Change UK,2019,2019,7365
GBR-Con,GBR,Con,1988,2019,1567
GBR-DUP,GBR,DUP,1988,2019,335
GBR-GPEW,GBR,GPEW,2010,2019,1794
GBR-Independent,GBR,Independent,1990,2019,
GBR-Lab,GBR,Lab,1988,2019,1516
GBR-LibDem,GBR,LibDem,1988,2019,1388
GBR-other,GBR,other,1988,2014,
GBR-PlaidCymru,GBR,PlaidCymru,1988,2019,1002
GBR-Referendum,GBR,Referendum,1997,1997,825
GBR-Respect,GBR,Respect,2005,2015,1082
GBR-SDLP,GBR,SDLP,1988,2017,762
GBR-SDP,GBR,SDP,1988,1991,957
GBR-SNP,GBR,SNP,1988,2019,986
GBR-The Independents,GBR,The Independents,2019,2019,
GBR-UKIP,GBR,UKIP,2008,2017,601
GBR-UKUP,GBR,UKUP,1995,2001,
GBR-UPUP,GBR,UPUP,1988,1995,
GBR-UUP,GBR,UUP,1988,2017,1366
NLD-50PLUS,NLD,50PLUS,2015,2019,714
NLD-CDA,NLD,CDA,1994,2019,1157
NLD-CU,NLD,CU,2000,2019,1459
NLD-D66,NLD,D66,1994,2019,45
NLD-DENK,NLD,DENK,2017,2019,5856
NLD-FvD,NLD,FvD,2017,2019,5855
NLD-GL,NLD,GL,1994,2019,1537
NLD-GPV,NLD,GPV,1994,2000,1602
NLD-LPF,NLD,LPF,2002,2006,1528
NLD-other,NLD,other,1994,2019,
NLD-PvdA,NLD,PvdA,1994,2019,1234
NLD-PvdD,NLD,PvdD,2006,2019,1467
NLD-PVV,NLD,PVV,2006,2019,298
NLD-RPF,NLD,RPF,1994,2001,172
NLD-SGP,NLD,SGP,1994,2019,1178
NLD-SP,NLD,SP,1994,2019,1363
NLD-VVD,NLD,VVD,1994,2019,828
NZL-ACT,NZL,ACT,1988,2019,752
NZL-Alliance,NZL,Alliance,1988,2002,716
NZL-Christian Democrat Party,NZL,Christian Democrat Party,1995,1996,1486
NZL-Christian Heritage Party,NZL,Christian Heritage Party,1999,1999,590
NZL-Conservative Party,NZL,Conservative Party,1994,1996,1014
NZL-Future,NZL,Future,1994,1995,
NZL-Green,NZL,Green,1999,2019,1099
NZL-Independent,NZL,Independent,1993,2019,
NZL-Labour,NZL,Labour,1987,2019,1049
NZL-Liberal,NZL,Liberal,1992,1992,
NZL-Mana,NZL,Mana,2011,2014,1427
NZL-Mana Wahine,NZL,Mana Wahine,1998,1999,
NZL-Maori,NZL,Maori,2004,2017,1716
NZL-Mauri Pacific,NZL,Mauri Pacific,1998,1999,
NZL-National,NZL,National,1987,2019,1824
NZL-NewLabour,NZL,NewLabour,1989,1991,1119
NZL-NZ First,NZL,NZ First,1988,2019,591
NZL-Progressive,NZL,Progressive,2002,2011,150
NZL-Te Tawharau,NZL,Te Tawharau,1998,1999,
NZL-United Future,NZL,United Future,2000,2017,940
NZL-United NZ,NZL,United NZ,1995,1999,1631
SWE-C,SWE,C,1990,2018,199
SWE-FP,SWE,FP,1990,2018,1274
SWE-KD,SWE,KD,1991,2018,651
SWE-M,SWE,M,1990,2018,690
SWE-MP,SWE,MP,1990,2018,456
SWE-NYD,SWE,NYD,1991,2003,343
SWE-S,SWE,S,1990,2018,487
SWE-SD,SWE,SD,2010,2018,409
SWE-V,SWE,V,1990,2018,830
