dataset_party_id,name_english,partyfacts_id
75810,Agrarian Party of Albania,840
75722,Albanian Republican Party,819
75220,Albanian Socialist Party,1729
75421,Democratic Alliance Party,594
75624,Democratic Party of Albania,190
75623,Legality Movement Party,732
75622,Party of National Unity,2571
75621,People’s Party,2571
75320,Social Democratic Party of Albania,838
75951,Union for Human Rights Party,1636
75721,United Albanian Right,674
150601,Action for the Republic,6112
150032,"Aliance for Work, Justice, and Education",6116
150061,Alliance Union-PRO,1790
150210,Alternative for a Republic of Equals,1215
150031,An Advanced Union,3889
150026,Broad Progressive Front,3889
150040,Center Alliance,3889
150023,Civic Coalition,NA
150301,Civic Radical Union,1724
150027,Federal Commitment,1863
150202,Front for a Country in Solidarity,5553
150022,Front for Loyalty and Union of the Democratic Centre,4182
150025,Front for Victory,2530
150205,Front of the popular movement,3889
150222,It is possible,2580
150028,Justicialist Coalition for Change,3889
150201,Justicialist Party,623
150029,Justicialist Party of Popular Unity,3889
150221,Neuquén People's Movement,868
150220,New Encounter,6088
150230,Popular Front,5086
150401,Recreate for Growth,1116
150024,Social and Civic Agreement,3889
76041,Armenian National Congress,4539
76321,Armenian Revolutionary Federation,2020
76222,Communist Party of Armenia,2018
76430,Heritage,3783
76421,Justice,2008
76712,National Democratic Union,2009
76521,National Self-Determination Union,2010
76904,National Unity Party,2011
76620,Prosperous Armenia,4205
76711,Republic,2012
76610,Republican Party of Armenia,2013
76902,Right and Unity,3890
76420,Rule of Law,2007
76901,Semiramis (Women’s Movement),2015
76322,United Labour Party,2016
76903,Unity,2013
63321,Australian Democrats,990
63110,Australian Greens,1209
63320,Australian Labor Party,424
63622,Country Liberal Party,143
63330,Democratic Labor Party,1540
63710,Katter's Australian Party,1997
63621,Liberal National Party of Queensland,285
63620,Liberal Party of Australia,486
63810,National Party of Australia,1743
63901,Nick Xenophon Team,5453
63410,Palmer United Party,1996
42710,Alliance for the Future of Austria,599
42220,Austrian Communist Party,996
42420,Austrian Freedom Party,463
42520,Austrian People’s Party,1329
42320,Austrian Social Democratic Party,1384
42421,Liberal Forum,605
42120,Peter Pilz List,6137
42951,Team Stronach for Austria,1971
42110,The Greens,1659
42430,The New Austria and Liberal Forum,1970
77430,Azerbaijan Democratic Entrepeneurs Party,1990
77710,Azerbaijan National Independence Party,1991
77420,Azerbaijan Popular Front,1992
77221,Azerbaijan United Communist Party,1993
77951,Civil Solidarity Party,1994
77220,New Azerbaijan Party,1995
78212,Agrarian Party of Belarus,2037
78214,Belarusan Patriotic Movement,2036
78213,Belarusan Peasants' Party,2606
78710,Belarusian Social-Democratic Party ‘Hramada’,2035
78211,Party of Communists of Belarus,2030
78410,Party of People’s Consent,2606
78901,Party of Women ‘Nadzeja’,2606
78430,United Democratic Party of Belarus,2033
21320,Belgian Socialist Party,480
21521,Christian Democratic and Flemish,622
21522,Christian Social Party,633
21111,Ecologists,1563
21914,Flemish Bloc,553
21917,Flemish Interest,1968
21520,Francophone Christian Social Party and Flemish Christian People’s Party,405
21912,Francophone Democratic Front of Francophones,698
21322,Francophone Socialist Party,500
21112,Green!,528
21424,Liberal Party,382
21422,Liberal Reformation Party,554
21423,Liberal Reformation Party - Francophone Democratic Front,698
