country,name_short,name_english,year_first,year_last,party_id,partyfacts_id
AUS,,Australian Democrats,1978,2010,63321,990
AUS,,Australian Greens,1990,2016,63110,1209
AUS,ALP,Australian Labor Party,1945,2016,63320,424
AUS,,Democratic Labor Party,1956,2013,63330,1540
AUS,,Katter's Australian Party,2013,2016,63710,1997
AUS,LIB,Liberal Party of Australia,1946,2016,63620,486
AUS,CNT,National Party of Australia,1946,2016,63810,1743
AUS,,Palmer United Party,2013,2016,63410,1996
AUT,BZÖ,Alliance for the Future of Austria,2005,2016,42710,599
AUT,KPÖ,Austrian Communist Party,1945,2016,42220,996
AUT,FPÖ,Austrian Freedom Party,1949,2016,42420,463
AUT,ÖVP,Austrian People’s Party,1945,2016,42520,1329
AUT,SPÖ,Austrian Social Democratic Party,1945,2016,42320,1384
AUT,,Liberal Forum,1994,2013,42421,605
AUT,,Team Stronach for Austria,2013,2016,42951,1971
AUT,,The Greens,1983,2016,42110,1659
AUT,,The New Austria and Liberal Forum,2013,2016,42430,1970
BEL,BSP/PSB,Belgian Socialist Party,1945,1977,21320,480
BEL,CD&V,Christian Democratic and Flemish,1968,2016,21521,622
BEL,CD&V,Christian Social Party,1968,2016,21522,633
BEL,ECOLO,Ecologists,1977,2016,21111,1563
BEL,,Flemish Bloc,1979,2016,21914,553
BEL,PSC/CVP,Francophone Christian Social Party and Flemish Christian People’s Party,1945,1968,21520,405
BEL,FDF,Francophone Democratic Front of Francophones,1965,2016,21912,698
BEL,PS,Francophone Socialist Party,1977,2016,21322,500
BEL,AGALEV,Green!,1977,2016,21112,528
BEL,,Liberal Party,1971,1981,21424,382
BEL,PRL,Liberal Reformation Party,1971,1995,21422,554
BEL,,List Dedecker,2007,2016,21430,43
BEL,N-VA,New Flemish Alliance,2003,2016,21916,36
BEL,Open VLD,Open Flemish Liberals and Democrats,1971,2016,21421,49
BEL,LP/PL,Party of Liberty and Progress,1945,1971,21420,275
BEL,VU,Peoples’ Union,1954,2003,21913,36
BEL,MR,Reform Movement,1995,2016,21426,789
BEL,SP,Socialist Party Different,1977,2016,21321,1680
BEL,RW,Walloon Rally,1968,1991,21911,281
BEL,KPB,,1945,1991,21001,
BEL,DU,,1945,2016,21999,
BGR,ABV,Alternative for Bulgarian Revival,2014,2016,80330,3187
BGR,,Bulgaria without Censorship,2014,2016,80630,3188
BGR,BZNS,Bulgarian Agrarian National Union,1990,1994,80810,2060
BGR,AZ-BZNS,Bulgarian Agrarian People’s Union - Alexandar Stambolijski,1995,1996,80812,2635
BGR,,Bulgarian Business Bloc,1991,2005,80901,1027
BGR,,Bulgarian People's Union,2005,2009,80813,263
BGR,BCP,Bulgarian Socialist Party,1989,2016,80220,757
BGR,GERB,Citizens for European Development of Bulgaria,2009,2016,80510,760
BGR,,Democrats for a Strong Bulgaria,2005,2014,80610,1195
BGR,,Euroleft Coalition,1997,2005,80320,149
BGR,DPS,Movement for Rights and Freedoms,1990,2016,80951,982
BGR,NDSV,National Movement Simeon the Second,2001,2013,80902,374
BGR,,National Union Attack,2005,2016,80710,1793
BGR,,"Order, Law and Justice",2009,2014,80620,272
BGR,,Patriotic Front - NFSB and VMRO,2013,2016,80062,5649
BGR,,People’s Union,1995,1997,80811,747
BGR,Ecoglasnost party,Political Club ‘Ekoglasnost',1995,2001,80110,820
BGR,RB,Reformist bloc,2014,2016,80061,3189
BGR,UDF,United Democratic Forces,1990,2014,80411,1183
CAN,CON,Conservative Party of Canada,2004,2016,62623,1004
CAN,,Green Party,2004,2016,62110,931
CAN,LIB,Liberal Party of Canada,1945,2016,62420,1739
CAN,,New Democratic Party,1945,2016,62320,152
CAN,CON,Progressive Conservative Party,1945,2004,62620,232
CAN,,Quebec Bloc,1993,2016,62901,1428
CAN,,Reform Party of Canada,1993,2004,62621,1757
CAN,,Social Credit,1945,1983,62951,1156
CHE,,Christian Social Party,1991,2015,43540,1122
CHE,CVP,Conservative Christian Social Party,1944,2016,43520,1808
CHE,BDP,Conservative Democratic Party of Switzerland,2008,2016,43811,1415
CHE,FDP,FDP.The Liberals,1944,2016,43420,360
CHE,,Federal Democratic Union,1991,2015,43711,631
CHE,,Federation of Green Parties,1979,2016,43110,1006
CHE,,Freedom Party of Switzerland,1987,2007,43951,1311
CHE,,Geneva Citizens' Movement,2011,2016,43902,2939
CHE,,Green Liberal Party,2007,2016,43120,1759
CHE,,Independents’ Alliance,1947,2003,43321,1194
CHE,,Liberal Party of Switzerland,1947,2011,43531,444
CHE,,Protestant People’s Party of Switzerland,1947,2016,43530,1123
CHE,SPS,Social Democratic Party of Switzerland,1944,2016,43320,29
CHE,,Swiss Democrats,1967,2015,43710,1819
CHE,,Swiss Labour Party,1947,2016,43220,669
CHE,SVP,Swiss People’s Party,1944,2016,43810,308
CHE,,Ticino League,1991,2016,43901,1661
CYP,DISY,Democratic Coalition,1970,2016,55711,563
CYP,DIKO,Democratic Party,1976,2016,55422,635
CYP,,European Party,2006,2016,55430,1817
CYP,,Free Democrats Movement,1996,2006,55423,321
CYP,,Movement of Ecologists - Citizens' Cooperation,1996,2016,55110,858
CYP,AKEL,Progressive Party of the Working People,1960,2016,55321,1076
CYP,,United Democratic Union of Cyprus,1970,2016,55322,321
CZE,ANO,ANO 2011,2013,2016,82430,2141
CZE,,Association for the Republic – Republican Party of Czechoslovakia,1990,2006,82710,1657
CZE,CSL,Christian and Democratic Union - Czech People's Party,1989,2016,82523,676
CZE,ODA,Civic Democratic Alliance,1992,2006,82412,1008
CZE,ODS,Civic Democratic Party,1992,2016,82413,466
CZE,Civic Forum,Civic Forum,1990,1992,82410,1349
CZE,KSCS,Communist Party of Bohemia and Moravia,1989,2016,82220,1728
CZE,CSSD,Czech Social Democratic Party,1990,2016,82320,177
CZE,US,Freedom Union,1998,2006,82421,104
CZE,SZ,Green Party,1990,2016,82110,1554
CZE,,Liberal Social Union,1992,1996,82420,936
CZE,,Movement for an Autonomous Democracy - Society for Moravia-Silesia,1990,1996,82951,952
CZE,VV,Public Affairs,2010,2013,82952,1202
CZE,,Tomio Okamura's Dawn of Direct Democracy,2013,2016,82720,2049
CZE,TOP 09,"Tradition, Responsibility, Prosperity 09",2010,2016,82530,223
CZE,ex-ODS,,1989,2016,82999,
DEU,GREENS,Alliance‘90/Greens,,,41113,1816
DEU,,Alternative for Germany,,,41953,1976
DEU,,Bavarian Party,1949,1953,41911,61
DEU,,Centre Party,1949,1957,41522,1798
DEU,CDU/CSU,Christian Democratic Union/Christian Social Union,,,41521,211
DEU,,Communist Party of Germany,1949,1953,41220,1135
DEU,,Economic Reconstruction League,1949,1953,41711,735
DEU,FDP,Free Democratic Party,,,41420,573
DEU,DP,German Party,1949,1961,41620,1502
