"ctrynm","party_id","party","hog_first","first","last","share_max","share_year","country"
"ADO",1002,"Andorra for Change",,2010,2011,10.7,2009,"AND"
"ADO",1003,"Canillo-Massana Grouping",,1994,1997,14.3,1993,"AND"
"ADO",1007,"Democrats for Andorra",,2012,2012,71.4,2011,"AND"
"ADO",1009,"Liberal",,1994,2009,57.1,1997,"AND"
"ADO",1012,"National Andorran Coalition",,1994,1997,14.3,1993,"AND"
"ADO",1014,"National Democratic Grouping",,1991,2005,25,1993,"AND"
"ADO",1017,"New Democracy",,1994,2001,17.9,1993,"AND"
"ADO",1021,"Social Democrat",,2002,2012,50,2009,"AND"
"AFG",1033,"Islamic Society",,1994,1994,23.7,1993,"AFG"
"AFG",1046,"People's Democratic Party",,1979,1992,100,1988,"AFG"
"ALB",1055,"Democratic Party",1993,1993,2012,65.7,1992,"ALB"
"ALB",1069,"Party of Labour",1945,1943,1992,100,1959,"ALB"
"ALB",1070,"Republican",,1993,2012,7.9,2005,"ALB"
"ALB",1073,"Social Democratic Party",,1993,2009,5.2,1997,"ALB"
"ALB",1074,"Socialist",1998,1993,2012,64.7,1997,"ALB"
"ALB",1078,"Union for Victory",,2002,2005,32.9,2001,"ALB"
"ALG",1090,"Movement for National Renewal",,2003,2012,11.3,2002,"DZA"
"ALG",1094,"Movement of the Islamic Renaissance",,1998,2012,8.9,1997,"DZA"
"ALG",1095,"Movement of the Society for Peace",,1998,2012,18.2,1997,"DZA"
"ALG",1098,"National Liberation Front",1962,1962,2012,100,1961,"DZA"
"ALG",1100,"National Rally for Democracy",1995,1995,2012,41.1,1997,"DZA"
"ALG",1108,"Rally for Culture and Democracy",,1998,2012,5,1997,"DZA"
"ALG",1110,"Socialist Forces Front",,1998,2007,5.3,1997,"DZA"
"ALG",1114,"Workers' Party",,1998,2012,6.7,2007,"DZA"
"ANG",1118,"MPLA-PT",1975,1975,2012,100,1974,"AGO"
"ANG",1125,"UNITA",,1991,2012,31.8,1990,"AGO"
"ARG",1158,"Alliance",,1998,2003,48.2,1999,"ARG"
"ARG",1190,"Concordancia (consists of Nati",,1943,1946,43,1942,"ARG"
"ARG",1191,"Conservador",,1916,1931,25.3,1927,"ARG"
"ARG",1194,"Democrata",,1916,1924,12,1920,"ARG"
"ARG",1206,"Federal Peronist",,2010,2012,11.3,2009,"ARG"
"ARG",1218,"Front for a Country in Solidarity",,1996,2005,9.7,1995,"ARG"
"ARG",1220,"Front for Victory",,2004,2012,50.2,2007,"ARG"
"ARG",1243,"Justicialist",,1973,2012,53.9,1972,"ARG"
"ARG",1247,"Justicialist-Peronist",,1973,2007,52.1,1995,"ARG"
"ARG",1264,"National Democratic",,1932,1946,40.5,1931,"ARG"
"ARG",1304,"Peronista",,1947,1957,90.6,1951,"ARG"
"ARG",1316,"Popular Union",,1966,1966,27.1,1965,"ARG"
"ARG",1321,"Progresista Dissidente UCR",,1916,1922,6.7,1918,"ARG"
"ARG",1324,"Progressive Democratic",,1932,1938,8.9,1933,"ARG"
"ARG",1332,"Radical (Antipersonalista)",,1934,1942,15.2,1938,"ARG"
"ARG",1339,"Radical Civic Union",,1916,2012,63.3,1930,"ARG"
"ARG",1346,"Republican Action",,1992,2005,6.6,2001,"ARG"
"ARG",1358,"Socialist",,1916,2012,28,1932,"ARG"
"ARG",1378,"UCRI",,1923,1966,71.1,1958,"ARG"
"ARM",1393,"Armenian Revolutionary Federation",,2000,2012,12.2,2007,"ARM"
"ARM",1394,"Communist",1992,1991,2003,100,1990,"ARM"
"ARM",1402,"Justice",,2004,2007,10.7,2003,"ARM"
"ARM",1412,"Prosperous Armenia",,2008,2012,19.1,2007,"ARM"
"ARM",1415,"Republican Movement",2001,1996,2008,62.6,1995,"ARM"
"ARM",1416,"Republican Party of Armenia",2009,2008,2012,49.6,2007,"ARM"
"ARM",1417,"Rule of Law Country",,2000,2007,14.5,2003,"ARM"
"ARM",1420,"Unity Bloc",,2000,2003,22.5,1999,"ARM"
"ATG",1423,"Antigua Labor Party",1981,1981,2012,94.1,1984,"ATG"
"ATG",1424,"Barbuda People's Movement",,1990,2012,5.9,1989,"ATG"
"ATG",1431,"United Progressive Party",2005,1995,2012,70.6,2004,"ATG"
"AUH",9002,"All German Men",,1898,1913,5.1,1901,"AUT"
"AUH",9003,"Christian Socialist",1921,1898,1938,49.7,1923,"AUT"
"AUH",9009,"German Conservatives",,1898,1911,10.1,1897,"AUT"
"AUH",9010,"German Farmer",,1908,1913,5.1,1911,"AUT"
"AUH",9011,"German Liberal",,1898,1907,7.1,1897,"AUT"
"AUH",9013,"German People's Party",,1898,1930,12.3,1901,"AUT"
"AUH",9015,"Jungruthian",,1908,1913,5.4,1911,"AUT"
"AUH",9016,"Jungtschechen",,1898,1913,14.9,1897,"AUT"
"AUH",9017,"Liberal Agrarian",,1902,1913,8.6,1911,"AUT"
"AUH",9018,"Polish Club",,1898,1907,15,1901,"AUT"
"AUH",9021,"Polish People's Party",,1908,1913,5.6,1911,"AUT"
"AUH",9026,"Social Democratic",1919,1898,2012,43.6,1930,"AUT"
"AUH",9027,"Strong German",,1898,1913,11.1,1897,"AUT"
"AUH",9028,"Sudslaeishcher Club",,1898,1907,6.8,1897,"AUT"
"AUL",1451,"Country Party",,1918,2007,21.3,1931,"AUS"
"AUL",1458,"Free Trade",,1901,1910,37.3,1900,"AUS"
"AUL",1465,"Labor",1909,1901,2012,65.3,1943,"AUS"
"AUL",1472,"Liberal and Country Parties",,1950,1959,62.1,1958,"AUS"
"AUL",1476,"Liberal-Country",,1946,2012,54,1977,"AUS"
"AUL",1479,"Nationalist",1914,1911,2012,70.7,1917,"AUS"
"AUL",1486,"Protectionists",1901,1901,1910,41.3,1900,"AUS"
"AUL",1490,"United Australia Party",1932,1932,1945,52,1931,"AUS"
"AUS",1506,"Alliance for the Future of Austria",,2007,2012,11.5,2008,"AUT"
