"country","country_code","party_name","party_name_long","party_name_long_org","party_epgroup","year","share","party_id"
"HU","HUN","DK","Democratic Coalition","Demokratikus Koalíció","S&D",2022,,"HU-DK"
"HU","HUN","Fidesz","Fidesz - Hungarian Civic Union & KDNP","Fidesz - Magyar Polgári Szövetség","NI",2022,54.010000000000005,"HU-FideszKDNP"
"HU","HUN","Jobbik","Movement for a Better Hungary","Jobbik Magyarországért Mozgalom","NI",2022,,"HU-Jobbik"
"HU","HUN","LMP","LMP – Hungary's Green Party","LMP – Magyarország Zöld Pártja","Greens/EFA",2022,,"HU-LMP"
"HU","HUN","MH","Our Home Movement","Mi Hazánk Mozgalom","New/Unaffiliated",2022,6.0600000000000005,"HU-MH"
"HU","HUN","MKKP","MKPP Hungarian Party of the two-tailed dog","Magyar Kétfarkú Kutya Párt","New/Unaffiliated",2022,3.2300000000000004,"HU-MKKP"
"HU","HUN","MM","Momentum Movement","Momentum Mozgalom","RE",2022,,"HU-MM"
"HU","HUN","MSZP","Hungarian Socialist Party","Magyar Szocialista Párt","S&D",2022,,"HU-MSZP"
"HU","HUN","PM","Dialogue for Hungary","Párbeszéd Magyarországért","Greens/EFA",2022,,"HU-PM"
"CZ","CZE","ANO","ANO- YES 2011","ANO 2011","RE",2017,29.64,"CZ-ANO"
"CZ","CZE","KSČM","Communist Party of Bohemia and Moravia","Komunistická strana Čech a Moravy","GUE/NGL",2013,14.899999999999999,"CZ-KSCM"
"CZ","CZE","SPOLU","We Go Into It Together — Electoral alliance ODS, KDU-ČSL and TOP 09","Jdeme do toho spolu","EPP/ECR",2021,27.800000000000004,"CZ-ODScoal"
"CZ","CZE","P","Promise","Přísaha","New/Unaffiliated",2021,4.7,"CZ-P"
"CZ","CZE","Piráti+STAN","Pirates and Mayors","Piráti a Starostové","Coalition",2021,15.6,"CZ-PPStan"
"CZ","CZE","SPD","Freedom and Direct Democracy","Svoboda a přímá demokracie","ID",2021,9.6,"CZ-SPD"
"CZ","CZE","T+S","Tricolour & Svobodní electoral alliance","Trikolóra+Soukromníci+Svobodní","New/Unaffiliated",2021,2.8000000000000003,"CZ-THOcoal"
"CZ","CZE","Zelení","Green Party","Strana zelených","Greens/EFA",2013,3.2,"CZ-ZELENI"
"ES","ESP","BNG","Galician Nationalist Bloc","Bloque Nacionalista Galego","Greens/EFA",2019,0.5,"ES-BNG"
"ES","ESP","CC-PNC","Canarian Coalition","Coalición Canaria","RE",2019,0.52,"ES-CC"
"ES","ESP","CUP","Popular Unity Candidacy","Candidatura d'Unitat Popular","New/Unaffiliated",2019,1,"ES-CUP"
"ES","ESP","Cs","Citizens-Party of the Citizenry","Ciudadanos","RE",2019,15.85,"ES-Cs"
"ES","ESP","EH Bildu","Basque Country Unite","Euskal Herria Bildu","GUE/NGL",2019,1.2,"ES-EHBildu"
"ES","ESP","ERC-S","Esquerra Republicana de Catalunya–Sobiranistes","Republican Left of Catalonia–Sovereigntists","Greens/EFA",2019,3.9,"ES-ERC"
"ES","ESP","JuntsxCat","Together for Catalonia","Junts per Catalunya","NI",2019,2.1999999999999997,"ES-JuntsxCat"
"ES","ESP","Más País","More Country","Más País","New/Unaffiliated",2019,2.4,"ES-MP"
"ES","ESP","Na+","Sum Navarre","Navarra Suma","New/Unaffiliated",2019,0.4,"ES-Naplus"
"ES","ESP","PACMA","Animalist Party Against Mistreatment of Animals","Partido Animalista Contra el Maltrato Animal","New/Unaffiliated",2019,,"ES-PACMA"
"ES","ESP","EAJ/PNV","Basque Nationalist Party","Euzko Alderdi Jeltzalea","RE",2019,1.6,"ES-PNVEAJ"
"ES","ESP","PP","People's Party","Partido Popular","EPP",2016,33,"ES-PP"
"ES","ESP","PSOE","Spanish Socialist Workers' Party","Partido Socialista Obrero Español","S&D",2019,28.68,"ES-PSOE"
"ES","ESP","Podemos","United We Can","Unidas Podemos","GUE/NGL",2016,21.2,"ES-Podemos"
"ES","ESP","VOX","Vox","Vox","ECR",2019,15.1,"ES-VOX"
"FR","FRA","DIV","Miscellaneous","Miscellaneous",,2022,2.13,"FR-DIV"
"FR","FRA","DLF","Stand Up France","Debout la France","NI",2017,1.7000000000000002,"FR-DLF"
"FR","FRA","LO/NPA","Lutte Ouvrière New Anticapitalist Party Far-left politics",,"GUE/NGL",2022,1.17,"FR-LONPA"
"FR","FRA","LR","The Republicans","Les Républicains","EPP",2012,27.1,"FR-LR"
"FR","FRA","LREM","Ensemble","La République En Marche!/Ensemble/Renaissance","RE",2022,25.75,"FR-LREM"
"FR","FRA","NUPES","Nouvelle Union Populaire écologiste et sociale","Nouvelle Union Populaire écologiste et sociale","GUE/NGL",2022,25.66,"FR-NUPES"
"FR","FRA","REC","Reconquest","Reconquête","New/Unaffiliated",2022,4.24,"FR-REC"
"FR","FRA","RN","National Rally","Rassemblement national","ID",2022,18.68,"FR-RN"
"DE","DEU","AfD","Alternative for Germany","Alternative für Deutschland","ID",2021,10.299999999999999,"DE-AfD"
"DE","DEU","FDP","Free Democratic Party","Freie Demokraten","RE",2009,14.6,"DE-FDP"
"DE","DEU","Greens","Alliance '90/The Greens","Bündnis 90/Die Grünen","Greens/EFA",2021,14.799999999999999,"DE-GRUENE"
"DE","DEU","Left","The Left","Die Linke","GUE/NGL",2009,11.899999999999999,"DE-LINKE"
"DE","DEU","SPD","Social Democratic Party of Germany","Sozialdemokratische Partei Deutschlands","S&D",2021,25.7,"DE-SPD"
"DE","DEU","CDU/CSU","Christian Democratic Union of Germany","Christlich Demokratische Union Deutschlands","EPP",2013,41.5,"DE-Union"
"AT","AUT","FPÖ","Freedom Party of Austria","Freiheitliche Partei Österreichs","ID",2017,25.97,"AT-FPOE"
"AT","AUT","GRÜNE","Austrian Greens","Die Grünen – Die Grüne Alternative","Greens/EFA",2019,13.8,"AT-GRUENE"
"AT","AUT","MFG","People Freedom Fundamental Rights","Menschen Freiheit Grundrechte","New/Unaffiliated",2019,,"AT-MFG"
"AT","AUT","NEOS","NEOS – The New Austria","NEOS – Das Neue Österreich","RE",2019,8.1,"AT-NEOS"
"AT","AUT","ÖVP","Austrian People's Party","Österreichische Volkspartei","EPP",2019,37.5,"AT-OEVP"
"AT","AUT","SPÖ","Social Democratic Party of Austria","Sozialdemokratische Partei Österreichs","S&D",2017,26.86,"AT-SPOE"
"GB","GBR","Reform","Reform UK","Brexit Party (relaunched as Reform UK in 2021)",,2019,2,"GB-BP"
"GB","GBR","ChangeUK","Change UK","Change UK","NA",2019,0,"GB-ChUK"
"GB","GBR","Con","Conservative and Unionist Party","Conservative and Unionist Party",,2019,43.6,"GB-Con"
"GB","GBR","Greens","The Green Party of England and Wales","The Green Party of England and Wales",,2015,3.8,"GB-Green"
"GB","GBR","Lab","Labour Party","Labour Party",,2017,41,"GB-Lab"
"GB","GBR","Lib Dems","Liberal Democrats","Liberal Democrats",,2010,23.599999999999998,"GB-LibDem"
"GB","GBR","Plaid","Plaid Cymru – The Party of Wales","Plaid Cymru",,2019,0.5,"GB-PLPW"
"GB","GBR","SNP","Scottish National Party","Scottish National Party",,2015,4.9,"GB-SNP"
"GB","GBR","UKIP","UK Independence Party","UK Independence Party",,2015,12.9,"GB-UKIP"
"SE","SWE","C","Centre Party","Centerpartiet","RE",1973,25.1,"SE-C"
"SE","SWE","KD","Christian Democrats","Kristdemokraterna","EPP",2018,6.3,"SE-KD"
