country,party_id,party_abbreviation,party_name,party_name_english
Austria,101,SPÖ,Sozialdemokratische Partei Österreichs,Social Democratic Party of Austria
Austria,102,ÖVP,Österreichische Volkspartei,Austrian People's Party
Austria,103,FPÖ,Freiheitliche Partei Österreichs,Freedom Party of Austria
Austria,104,Grüne,Die Grünen,The Greens
Austria,105,NEOS,Das Neue Österreich und Liberales Forum,The New Austria
Austria,106,Pilz,Liste Peter Pilz,List Peter Pilz
Belgium Flanders,201,N-VA,Nieuw-Vlaamse Alliantie,New Flemish Alliance
Belgium Flanders,202,CD&V,Christen-Democratisch en Vlaams,Christian Democrats & Flemish
Belgium Flanders,203,O-VLD,Open Vlaamse Liberalen en Democraten,Open Flemish Liberals
Belgium Flanders,204,SPa,Socialistische Partij Anders,Socialist Party -- Different
Belgium Flanders,205,GROEN,Groen,Green!
Belgium Flanders,206,VB,Vlaams Belang,Flemish Interest
Belgium Flanders,207,PVDA-PTB,Partij van de Arbeid van België/Parti du travail de Belgique,Workers' Party of Belgium
Belgium Wallonia,301,PS,Parti Socialiste,Socialist Party
Belgium Wallonia,302,MR,Mouvement Réformateur,Reformist Movement
Belgium Wallonia,303,CDH,Centre Démocrate Humaniste,Humanist Democratic Centre
Belgium Wallonia,304,Ecolo,Ecolo,Francophone Ecologists
Belgium Wallonia,305,FDF,Fédéralistes Démocrates Francophones,Francophone Democratic Front
Belgium Wallonia,306,PP,Parti Populaire,People’s Party
Bulgaria,401,GERB,Граждани за европейско развитие на България / Grazhdani za Evropeysko Razvitie na Balgariya,Citizens for European Development
Bulgaria,402,BSP; KzB,Българската левица / Bǎlgarskata levitsa; Коалиция за България / Koalitsiya za Bulgaria,Bulgarian Socialist Party; Coalition for Bulgaria
Bulgaria,403,NSFB,Национален фронт за спасение на България / Natzionalen Front za Spasenie na Bulgaria,National Front for the Salvation of Bulgaria
Bulgaria,404,DPS,Движение за права и свободи / Dvizhenie za prava i svobodi,Movement for Rights and Freedoms
Bulgaria,405,Volya,Воля / Volya,Will
Bulgaria,406,RB,Реформаторски блок / Reformatorski blok,Reformist Bloc
Bulgaria,407,BBZ,Презареди България / Prezaredi Balgariya,Reload Bulgaria/ Bulgaria Without Censorship
Bulgaria,408,VMRO,Българско Национално Движение / Bulgarsko Natsionalno Dvizhenie,Bulgarian National Movement
Bulgaria,409,Ataka,Атака / Ataka,Attack
Bulgaria,410,ABV,Алтернатива за българско възраждане / Alternativa za balgarsko vazrazhdane,Alternative for Bulgarian Revival
Croatia,501,HDZ,Hrvatska demokratska zajednica,Croatian Democratic Union
Croatia,502,HSLS,Hrvatska socijalno-liberalna stranka,Croatian Social Liberal Party
Croatia,503,SDP,Socijaldemokratska partija Hrvatske,Social Democratic Party of Croatia
Croatia,504,HNS,Hrvatska narodna stranka - liberalni demokrati,Croatian  People's  Party  –  Liberal Democrats
Croatia,505,HSU,Hrvatska stranka umirovljenika,Croatian Party of Pensioners
Croatia,506,HSS,Hrvatska seljačka stranka,Croatian Peasant Party
Croatia,507,P,Pametno,Intelligently
Croatia,508,ŽZ,Živi zid,Human Shield
Croatia,509,BM 365,M 365 - Stranka rada i solidarnosti,Milan Bandic 365 -- The Party of Labour and Solidarity
Croatia,510,IDS,Istarski demokratski sabor,Istrian Democratic Assembly
Croatia,511,Most,Most nezavisnih lista,Bridge of Independent Lists
Croatia,512,HDSSB,Hrvatski demokratski savez Slavonije i Baranje,Croatian   Democratic   Alliance   of Slavonia and Baranja
Croatia,513,NHR,Bruna Esih - Zlatko Hasanbegović: Neovisni za Hrvatsku,Bruna  Esih  -  Zlatko  Hasanbegović: Independent for Croatia
Croatia,514,GLAS,GLAS - Građansko-liberalni savez,GLAS - Civic Liberal Alliance
Cyprus,601,DISY,Δημοκρατικός Συναγερμός,Democratic Rally
Cyprus,602,AKEL,Ανορθωτικό Κόμμα Εργαζόμενου Λαού,Progressive Party of Working People
Cyprus,603,DIKO,Δημοκρατικό Κόμμα,Democratic Party
Cyprus,604,EDEK,Κινήμα Σοσιαλδημοκρατών,Movement for Social Democracy
Cyprus,605,SYPOL,Κινήμα Σοσιαλδημοκρατών,Citizen's Alliance
Cyprus,606,KA,Κίνημα Αλληλεγγύη,Solidarity Movement
Cyprus,607,KOP,Κίνημα Οικολόγων - Συνεργασία Πολιτών,Ecological     and     Environmental Movement
Cyprus,608,ELAM,Εθνικό Λαϊκό Μέτωπο,National Popular Front
Czech Republic,701,ČSSD,Česká strana sociálně demokratická,Czech Social Democratic Party
Czech Republic,702,ANO,ANO 2011,YES 2011
Czech Republic,703,KSČM,Komunistická strana Čech a Moravy,Communist  Party  of  Bohemia  and Moravia
Czech Republic,704,TOP 09,TOP 09,TOP 09
Czech Republic,705,KDU-ČSL,Křesťanská   a   demokratická   unie   – Československá strana lidová,Christian and Democratic Union - Czechoslovak People's Party
Czech Republic,706,SPD,Svoboda  a  přímá  demokracie    –  Tomio Okamura,Freedom and Direct Democracy – Tomio Okamura
Czech Republic,707,STAN,Starostové a nezávislí,Mayors and Independents
Czech Republic,708,Piráti,Česká pirátská strana,Czech Pirate Party
Czech Republic,709,SZ,Strana zelených,Green Party
Czech Republic,710,ODS,Občanská demokratická strana,Civic Democratic Party
Czech Republic,711,SPO,Strana Práv Občanů,Party of Civic Rights
Czech Republic,712,Svobodni,Strana svobodných občanů,Party of Free Citizens
Denmark,801,SD,Socialdemokraterne,Social Democrats
Denmark,802,DF,Dansk Folkeparti,Danish People's Party
Denmark,803,V,"Venstre, Danmarks liberale parti",Venstre - Liberal Party of Denmark
Denmark,804,EL,Enhedslisten,Red-Green Alliance
Denmark,805,LA,Liberal Alliance,Liberal Alliance
Denmark,806,A,Alternativet,The Alternative
Denmark,807,RV,Det Radikale Venstre,Danish Social Liberal Party
Denmark,808,SF,Socialistisk Folkeparti,Socialist Peoples Party
Denmark,809,KF,Det Konservative Folkeparti,Conservative People's Party
Denmark,810,D,Nye Borgerlige,The New Right
Estonia,901,Ref,Eesti Reformierakond,Estonian Reform Party
Estonia,902,K,Eesti Keskerakond,Estonian Centre Party
Estonia,903,SDE,Sotsiaaldemokraatlik Erakond,Social Democratic Party
Estonia,904,IRL,Isamaa ja Res Publica Liit,Union of Pro Patria and Res Publica
Estonia,905,EVA,Eesti Vabaerakond,Free Party
Estonia,906,EKRE,Eesti Konservatiivne Rahvaerakond,Conservative People’s Party
Estonia,907,EER,Erakond Eestimaa Rohelised,Estonian Greens
Finland,1001,KESK,Keskusta Centern,Finnish Centre
Finland,1002,PS,Perussuomalaiset / Sannfinländarna,Finns Party
Finland,1003,KOK,Kansallinen kokoomus / Samlingspartiet,National Coalition Party
Finland,1004,SDP,Sosialidemokraattinen       puolue       / Socialdemokratiska parti,Social Democratic Party of Finland
Finland,1005,VIHR,Vihreä liitto / Gröna förbundet,Green League
Finland,1006,VAS,Vasemmistoliitto / Vänsterförbundet,Left Alliance
Finland,1007,KD,Kristillisdemokraatit / Kristdemokraterna,Christian Democrats
Finland,1008,SFP-RKP,Svenska    folkpartiet    /    Ruotsalainen kansanpuolue,Swedish People's Party
Finland,1009,SIN,Sininen tulevaisuus / Blå framtid,Blue Reform
France,1101,PS,Parti socialiste,Socialist Party
France,1102,EELV,Europe Écologie Les Verts,Greens
France,1103,PCF,Parti communiste français,French Communist Party
France,1104,Rad,Mouvement radical,Radical  Movement  (Radical  Party  & Radical Party of the Left)
France,1105,MoDem,Mouvement démocrate,Democratic Movement
France,1106,FN,Front National / Rassemblement National,National Front / National Rally
France,1107,LaREM,La République En Marche!,The Republic Onwards!
France,1108,LR,Les Républicains,The Republicans
France,1109,UDI,Union des démocrates et indépendants,Union of Democrats and Independents
France,1110,LFI,La France insoumise,Unbowed France
France,1111,DLF,Debout la France,France Arise
France,1112,NPA,Nouveau Parti anticapitaliste,New Anti-Capitalist Party
France,1113,LP,Les Patriotes,The Patriots
Germany,1201,CDU,Christlich Demokratische Union Deutschlands,Christian Democratic Union
Germany,1202,SPD,Sozialdemokratische Partei Deutschlands,Social Democratic Party of Germany
Germany,1203,CSU,Christlich-Soziale Union in Bayern,Christian Social Union
Germany,1204,Linke,Die Linke,The Left
Germany,1205,AfD,Alternative für Deutschland,Alternative for Germany
