country,party_id,party_abbreviation,party_name,party_name_english,country_short,partyfacts_id
Austria,101,SPÖ,Sozialdemokratische Partei Österreichs,Social Democratic Party of Austria,AUT,1384
Austria,102,ÖVP,Österreichische Volkspartei,Austrian People's Party,AUT,1329
Austria,103,FPÖ,Freiheitliche Partei Österreichs,Freedom Party of Austria,AUT,463
Austria,104,Grüne,Die Grünen,The Greens,AUT,1659
Austria,105,NEOS,Das Neue Österreich und Liberales Forum,The New Austria,AUT,1970
Austria,106,Pilz,Liste Peter Pilz,List Peter Pilz,AUT,6137
Belgium Flanders,201,N-VA,Nieuw-Vlaamse Alliantie,New Flemish Alliance,BEL,36
Belgium Flanders,202,CD&V,Christen-Democratisch en Vlaams,Christian Democrats & Flemish,BEL,622
Belgium Flanders,203,O-VLD,Open Vlaamse Liberalen en Democraten,Open Flemish Liberals,BEL,49
Belgium Flanders,204,SPa,Socialistische Partij Anders,Socialist Party -- Different,BEL,1680
Belgium Flanders,205,GROEN,Groen,Green!,BEL,528
Belgium Flanders,206,VB,Vlaams Belang,Flemish Interest,BEL,553
Belgium Flanders,207,PVDA-PTB,Partij van de Arbeid van België/Parti du travail de Belgique,Workers' Party of Belgium,BEL,1753
Belgium Wallonia,301,PS,Parti Socialiste,Socialist Party,BEL,500
Belgium Wallonia,302,MR,Mouvement Réformateur,Reformist Movement,BEL,789
Belgium Wallonia,303,CDH,Centre Démocrate Humaniste,Humanist Democratic Centre,BEL,633
Belgium Wallonia,304,Ecolo,Ecolo,Francophone Ecologists,BEL,1563
Belgium Wallonia,305,FDF,Fédéralistes Démocrates Francophones,Francophone Democratic Front,BEL,698
Belgium Wallonia,306,PP,Parti Populaire,People’s Party,BEL,639
Bulgaria,401,GERB,Граждани за европейско развитие на България / Grazhdani za Evropeysko Razvitie na Balgariya,Citizens for European Development,BGR,760
Bulgaria,402,BSP; KzB,Българската левица / Bǎlgarskata levitsa; Коалиция за България / Koalitsiya za Bulgaria,Bulgarian Socialist Party; Coalition for Bulgaria,BGR,1665
Bulgaria,403,NSFB,Национален фронт за спасение на България / Natzionalen Front za Spasenie na Bulgaria,National Front for the Salvation of Bulgaria,BGR,2057
