party_name,country_name,party_name_english,party_name_short,partyfacts_id,country_short,party_id
Bündnis Zukunft Österreich,Austria,Alliance for the Future of Austria,BZÖ,599,AUT,aut-bzö
Freiheitliche Partei Österreichs,Austria,Freedom Party of Austria,FPÖ,463,AUT,aut-fpö
Liste Dr. Hans-Peter Martin,Austria,Hans-Peter Martin's List,Martin,1708,AUT,aut-mar
Team Stronach,Austria,Team Stronach,TS,1971,AUT,aut-ts
Front National,Belgium,National Front,FN,191,BEL,bel-fn
"Lijst Dedecker | Libertair, Direct, Democratisch",Belgium,"Libertarian, Direct, Democratic",LDD,43,BEL,bel-ldd
Parti populaire,Belgium,People's Party,Pp,639,BEL,bel-pp
Partij van de Arbeid – Parti du Travail de Belgique,Belgium,Workers' Party of Belgium,PVDA/PTB,1753,BEL,bel-pvd
Vlaams Blok,Belgium,Flemish Interest,VB,553,BEL,bel-vb
Ataka,Bulgaria,Attack,Ataka,1793,BGR,bgr-ata
Balgarija bes Zensura,Bulgaria,Reload Bulgaria / Bulgaria Without Censorship,BBZ/BBT,3188,BGR,bgr-bbz
Balgarski Biznes Blok,Bulgaria,Bulgarian Business Bloc,BBB,1027,BGR,bgr-bbb
Grazhdani za Evropeysko Razvitie na Balgariya,Bulgaria,Citizens for European Development of Bulgaria,GERB,760,BGR,bgr-ger
Natsionalen Front za Spasenie na Balgariya,Bulgaria,National Front for the Salvation of Bulgaria,NFSB,2057,BGR,bgr-nfs
Natsionalno Dvizhenie Simeon Vtori,Bulgaria,National Movement Simeon II,NDSV,374,BGR,bgr-nds
"Red, zakonnost i spravedlivost",Bulgaria,"Order, Law and Justice",RZS,272,BGR,bgr-rzs
VMRO – Balgarsko Natsionalno Dvizhenie,Bulgaria,IMRO - National Bulgarian Movement,IMRO,2056,BGR,bgr-imr
Volya,Bulgaria,Will,Volya,5863,BGR,bgr-vol
Hrvatska gradanska stranka,Croatia,Croatian Civic Party,HGS,,HRV,hrv-hgs
Hrvatska stranka prava,Croatia,Croatian Party of Rights,HSP,253,HRV,hrv-hsp
Hrvatska stranka prava dr. Ante Starcevic,Croatia,Croatian Party of Rights -- Dr. Ante Starcevic,HSP-AS,,HRV,hrv-hsp-1
Hrvatski demokratski savez Slavonije i Baranje,Croatia,Croatian Democratic Alliance of Slavonia and Baranja,HDSSB,2347,HRV,hrv-hds
Hrvatski laburisti – Stranka rada,Croatia,Croatian Labourists - Labour Party,HL-SR/CL-LP,3143,HRV,hrv-hls
Hrvatski rast,Croatia,Croatian Growth,Hrast,3138,HRV,hrv-hra
Most nezavisnih lista,Croatia,Bridge of Independent Lists,MOST,4865,HRV,hrv-mos
Živi zid,Croatia,Human Shield,Zivi Zid,4867,HRV,hrv-ziv
Anorthotikó Kómma Ergazómenou Laoú,Cyprus,Progressive Party of Working People,AKEL,1076,CYP,cyp-ake
Ethniko Laiko Metopo,Cyprus,National Popular Front,ELAM,1013,CYP,cyp-ela
Symmaxia,Cyprus,Citizens' Alliance,SYM / SYPOL,3117,CYP,cyp-sym
Akce nespokojených obcanu,Czech Republic,Action of Dissatisfied Citizens,ANO,2141,CZE,cze-ano
Komunistická strana Cech a Moravy,Czech Republic,Communist Party of Bohemia and Moravia,KSCM,1728,CZE,cze-ksc
