countrycode,name_short,name_english,name,year_first,year_last,share,share_year,party_id,partyfacts_id
AUT,BZÖ,Alliance for the Future of Austria,Bündnis Zukunft Österreich,2009,2014,4.6,2009,AUT-BZÖ,599
AUT,Martin,Hans-Peter Martin's List,Liste Dr. Hans-Peter Martin,2004,2009,17.7,2009,AUT-Martin,1708
AUT,DNA,Democratic – Neutral – Authentic,Demokratisch – Neutral – Authentisch,2024,2024,2.7,2024,AUT-DNA,
AUT,FPÖ,Freedom Party of Austria,Freiheitliche Partei Österreichs,1999,2024,25.4,2024,AUT-FPÖ,463
BEL,FN,National Front,Front National,1994,2009,3,1994,BEL-FN,191
BEL,LDD,"List Dedecker - Libertarian, Direct, Democratic","Lijst Dedecker – Libertair, Direct, Democratisch",2009,2009,4.5,2009,BEL-LDD,43
BEL,DLB,Belgium Arise,Debout les Belges !,2014,2014,1.1,2014,BEL-DLB,
BEL,PP,People's Party,Parti Populaire,2014,2019,2.2,2014,BEL-PP,639
BEL,VB,Flemish Block / Flemish Interest,Vlaams Blok / Vlaams Belang,1984,2024,14.5,2024,BEL-VB,553
BGR,Ataka,Attack,Ataka,2009,2019,12,2009,BGR-Ataka,1793
BGR,NDSV,National Movement Simeon II / National Movement for Stability and Progress,Natsionalno Dvizhenie Simeon Vtori / Nacionalno dviženie za stabilnost i văzhod,2009,2009,8,2009,BGR-NDSV,374
BGR,RZS,"Order, Lawfulness and Justice","Red, zakonnost i spravedlivost",2009,2009,4.7,2009,BGR-RZS,272
BGR,BBZ/BBT + IMRO + et al.B,Bulgaria without censorship + IMRO + others,Balgarija bes Zensura + VMRO + ZNS + Gergiovden,2014,2014,10.7,2014,BGR-BBZ/BBT + IMRO + et al.BND + et al.,3188
BGR,NFSB,National Front for the Salvation of Bulgaria,Natsionalen Front za Spasenie na Balgariya,2014,2019,3.1,2014,BGR-NFSB,2057
BGR,NDSV + others,National Movement Simeon II / National Movement for Stability and Progress + Coalition United Democrats (KOD),Natsionalno Dvizhenie Simeon Vtori / Nacionalno dviženie za stabilnost i văzhod + others (KOD coalition),2014,2014,0.9,2014,BGR-NDSV + others,374
BGR,BBZ/BBT,Bulgaria without censorship / Reload Bulgaria,Balgarija bes Zensura / Prezaredi Balgariya,2019,2019,0.2,2019,BGR-BBZ/BBT,3188
BGR,GERB,Citizens for European Development of Bulgaria,Grazhdani za Evropeysko Razvitie na Balgariya,2009,2019,31.1,2019,BGR-GERB,760
BGR,NDSV + NV,National Movement Simeon II / National Movement for Stability and Progress + NV,Natsionalno Dvizhenie Simeon Vtori / Nacionalno dviženie za stabilnost i văzhod + Novoto Vreme,2019,2019,1.1,2019,BGR-NDSV + NV,374
BGR,IMRO,IMRO – Bulgarian National Movement,VMRO – Bulgarsko Natsionalno Dvizhenie,2019,2024,7.4,2019,BGR-IMRO,2056
BGR,Volya,Volya,Volya,2019,2019,3.6,2019,BGR-Volya,5863
BGR,GERB - SD,Citizens for European Development of Bulgaria - Union of Democratic Forces,Grazhdani za Evropeysko Razvitie na Balgariya - Sayuz na demokratichnite sili,2024,2024,23.6,2024,BGR-GERB - SD,760
BGR,ITN,There is Such a People,Ima takav narod,2024,2024,6,2024,BGR-ITN,8992
BGR,MEČ/Sword,"Morality, unity, honor","Moral, edinstvo, chest",2024,2024,2.5,2024,BGR-MEČ/Sword,
BGR,Revival,Revival,Vazrazhdane,2019,2024,14,2024,BGR-Revival,5862
BGR,Velichie,Greatness,Velichie,2024,2024,4.1,2024,BGR-Velichie,
HRV,HL-SR,Croatian Labourists -- Labour Party,Hrvatski laburisti – Stranka rada,2014,2014,3.4,2014,HRV-HL-SR,3143
HRV,SzH,Alliance for Croatia (Croatian Democratic Alliance of Slavonia and Baranja and others),Savez za Hrvatsku (Hrvatski demokratski savez Slavonije i Baranje et al.),2014,2014,6.9,2014,HRV-SzH,2347
HRV,HS,Croatian Sovereignists Coalition,Coalition Hrvatski suverenisti ,2019,2019,8.5,2019,HRV-HS,9086
HRV,BM365,Milan Bandic 365 -- The Party of Labour and Solidarity,Milan Bandić 365 – Stranka rada i solidarnosti,2019,2019,2,2019,HRV-BM365,5452
HRV,Most,Bridge of Independent Lists,Most nezavisnih lista,2019,2019,4.7,2019,HRV-Most,4865
HRV,ZZ,Alliance for Change/ Human Shield,Savez za promjene/ Živi zid,2014,2019,5.7,2019,HRV-ZZ,4867
HRV,DP,Homeland Movement,Domovinski pokret,2024,2024,8.8,2024,HRV-DP,8981
HRV,Most - HS - HSP,The Bridge - Croatian Sovereignists - Croatian Party of Rights,Most - Hrvatski suverenisti - Hrvatska stranka prava,2024,2024,4,2024,HRV-Most - HS - HSP,4865
HRV,Možemo!,We Can! – Political Platform,Možemo! – politička platforma,2024,2024,5.9,2024,HRV-Možemo!,8980
HRV,PiP,Law and Justice,Pravo i Pravda,2024,2024,3,2024,HRV-PiP,
CYP,NO,New Horizons,Neoi Orizontes,2004,2004,1.7,2004,CYP-NO,1191
CYP,SYM-SYPOL,Citizens' Alliance,Symmaxia,2014,2014,6.8,2014,CYP-SYM-SYPOL,3117
CYP,KEKK,Active Citizens – Movement of Cypriot United Hunters,Kinima Enomenon Kyprion Kinigon,2024,2024,1.3,2024,CYP-KEKK,9315
CZE,CS/VB,Czech Sovereignty/Sovereignty/Free Bloc,Česká Suverenita/Suverenita / Volný Blok,2009,2024,4.3,2009,CZE-CS/VB,980
CZE,VV,Public Affairs,Věci veřejné,2009,2009,2.4,2009,CZE-VV,1202
CZE,Usvit,Dawn of Direct Democracy / Dawn – National Coalition,Úsvit – Národní koalice / Úsvit Přímé Demokracie,2014,2014,3.1,2014,CZE-Usvit,2049
CZE,SPD,Freedom and Direct Democracy Tomio Okamura,Svoboda a přímá demokracie Tomio Okamura,2019,2019,9.1,2019,CZE-SPD,6125
CZE,ANO,ANO 2011,ANO 2011,2014,2024,26.1,2024,CZE-ANO,2141
CZE,PRO,Law Respect Expertise ,Právo Respekt Odbornost,2024,2024,2.2,2024,CZE-PRO,
CZE,PaM,Oath and Motorists,Přísaha a Motoristé,2024,2024,10.3,2024,CZE-PaM,9002
CZE,SPD - Trikolora,Freedom and Direct Democracy and Tricolour,Svoboda a přímá demokracie a Trikolora,2024,2024,5.7,2024,CZE-SPD - Trikolora,6125
DNK,FrP,Progress Party,Fremskridtspartiet,1979,1999,5.8,1979,DNK-FrP,1601
DNK,DF,Danish People's Party,Dansk Folkeparti,1999,2024,26.6,2014,DNK-DF,1022
DNK,DD,Denmark Democrats,Danmarksdemokraterne - Inger Støjberg,2024,2024,7.4,2024,DNK-DD,9062
EST,ERP,Res Publica Party,Erakond Res Publica,2004,2004,6.7,2004,EST-ERP,491
EST,EKRE,Conservative People's Party of Estonia,Eesti Konservatiivne Rahvaerakond,2014,2024,14.8,2024,EST-EKRE,110
FIN,PS,True Finns / Finns Party,Perussuomalaiset,1999,2024,13.8,2019,FIN-PS,1689
FRA,MNR,National Republican Movement,Mouvement National Républicain,1999,2004,3.3,1999,FRA-MNR,1634
FRA,DLR/DLF,Republic Arise / France Arise,Debout la république / Debout la France,2009,2019,3.8,2014,FRA-DLR/DLF,3207
FRA,Reconq,France Fierce (Reconquest and Conservative Movement),La France fière (Reconquête & Mouvement Conservateur),2024,2024,5.5,2024,FRA-Reconq,9064
FRA,LFI,Unsubmissive France,La France Insoumise,2019,2024,9.9,2024,FRA-LFI,5858
FRA,FN/RN,National Front / National Rally,Front National / Rassemblement National,1984,2024,31.4,2024,FRA-FN/RN,433
DEU,REP,The Republicans,Die Republikaner,1989,2014,7.1,1989,DEU-REP,720
DEU,PDS,Party of Democratic Socialism,Partei des Demokratischen Sozialismus,1994,2004,6.1,2004,DEU-PDS,86
DEU,AfD,Alternative for Germany,Alternative für Deutschland,2014,2024,15.9,2024,DEU-AfD,1976
DEU,BSW,Sahra Wagenknecht Alliance – Reason and Justice,Bündnis Sahra Wagenknecht - Für Vernunft und Gerechtigkeit,2024,2024,6.2,2024,DEU-BSW,
GRC,SYN,"Coalition of the Left, of Movements and Ecology",Synaspismós tīs Aristerás tōn Kinīmátōn kai tīs Oikologías,1989,1999,14.3,1989,GRC-SYN,516
GRC,DIKKI,Democratic Social Movement,Dimokratiko Koinoniko Kinima,1999,1999,6.9,1999,GRC-DIKKI,1682
GRC,LAOS,Popular Orthodox Rally,Laïkós Orthódoxos Synagermós,2004,2014,7.2,2009,GRC-LAOS,965
GRC,ANEL,Independent Greeks,Anexartitoi Ellines,2014,2019,3.5,2014,GRC-ANEL,1651
GRC,SYRIZA,The Coalition of the Radical Left,Synaspismós Rizospastikís Aristerás,2004,2024,26.6,2014,GRC-SYRIZA,301
GRC,LAOS + PATRIE,Popular Orthodox Rally + Patriotic Radical Union,Laïkós Orthódoxos Synagermós + PATRIE,2019,2019,1.2,2019,GRC-LAOS + PATRIE,965
GRC,MeRA25,European Realistic Disobedience Front,Métopo Evropaikís Realistikís Anypakoís,2019,2024,3,2019,GRC-MeRA25,7348
GRC,NIKI,"Democratic Patriotic Movement “Niki""",Dimokratikó Patriotikó Kínima “Níki”,2024,2024,4.4,2024,GRC-NIKI,9126
GRC,EL,Greek Solution,Elliniki Lisi,2019,2024,9.3,2024,GRC-EL,7347
GRC,FL,Voice of Reason,Foní Logikís,2024,2024,3,2024,GRC-FL,
GRC,P-PE,Patriotic Force – Prodromos Emfietzoglou ,Patriotikí Dínami – Pródromos Emfietzóglou,2024,2024,1.4,2024,GRC-P-PE,
GRC,PE,Course of Freedom,Plefsi Eleftherias,2019,2024,3.4,2024,GRC-PE,9088
HUN,Fidesz,Fidesz - Hungarian Civic Union,Fidesz - Magyar Polgári Szövetség,2004,2004,47.4,2004,HUN-Fidesz,1691
HUN,MIÉP,Hungarian Justice and Life Party,Magyar Igazság és Élet Pártja,2004,2004,2.4,2004,HUN-MIÉP,1597
HUN,Fidesz+KDNP,Fidesz - Hungarian Civic Party / Christian Democratic People's Party,Fidesz - Magyar Polgári Szövetség / Kereszténydemokrata Néppárt,2009,2024,56.4,2009,HUN-Fidesz+KDNP,1691
HUN,Jobbik,Jobbik Movement for a Better Hungary,Jobbik Magyarországért Mozgalom,2009,2024,14.8,2009,HUN-Jobbik,42
IRL,SF,We Ourselves,Sinn Féin,1984,2024,19.5,2014,IRL-SF,4
IRL,IF,Ireland First,Ireland First,2024,2024,1.9,2024,IRL-IF,
IRL,IFP,Irish Freedom Party,Irish Freedom Party,2024,2024,1.7,2024,IRL-IFP,
ITA,FI,Forza Italia,Forza Italia,1994,2019,30.6,1994,ITA-FI,1626
ITA,Rete,The Network - Movement for Democracy,La Rete - Movimento per la Democrazia,1994,1994,1.1,1994,ITA-Rete,131
ITA,IdV,Di Pietro’s list - Italy of Values,Lista Di Pietro - Italia dei Valori,2004,2014,8,2009,ITA-IdV,768
ITA,M5S,Five Star Movement,Movimento 5 Stelle,2014,2024,21.2,2014,ITA-M5S,2046
ITA,Lega,Lombard League/Northern League/League for Salvini Premier,Lega Lombarda/Lega Nord/Lega per Salvini Premier,1989,2024,34.3,2019,ITA-Lega,1221
ITA,FdI,Brothers of Italy,Fratelli d'Italia,2014,2024,28.8,2024,ITA-FdI,2280
LVA,JL,New Era,Jaunais Laiks,2004,2009,19.7,2004,LVA-JL,1531
LVA,TB/LNNK,For Fatherland and Freedom,Tēvzemei un Brīvībai / LNNK,2004,2009,29.8,2004,LVA-TB/LNNK,671
LVA,AJ,Alliance of Young Latvians,Apvienība Jaunlatvieši,2024,2024,2.1,2024,LVA-AJ,
LVA,SV,Sovereign Power Coalition,"Coalition Suverēnā vara (Suverēnā vara, Partija 'Vienoti Latvijai')",2024,2024,2.6,2024,LVA-SV,9138
LVA,LPV,Latvia First,Latvija pirmajā vietā,2024,2024,6.2,2024,LVA-LPV,9078
LTU,DP,Labour Party,Darbo partija,2004,2004,30.2,2004,LTU-DP,102
LTU,TPP,National Resurrection Party,Tautos Prisikėlimo partija,2009,2009,1,2009,LTU-TPP,347
LTU,TT,Order and Justice,Tvarka ir teisingumas,2004,2019,14.3,2014,LTU-TT,237
LTU,LCP,Lithuanian Centre Party,Lietuvos Centro Partija,2019,2019,5.1,2019,LTU-LCP,5455
LTU,TTS,"People and Justice Union (Centrists, Nationalists)","Tautos ir teisingumo sąjunga (centristai, tautininkai))",2024,2024,5.5,2024,LTU-TTS,
LUX,ADR,Action Committee for Democracy and Pensions Justice' / Alternative Democratic Reform Party,Aktiounskomitee fir Demokratie an Rentengerechtigkeet / Alternativ Demokratesch Reformpartei,1994,2024,11.8,2024,LUX-ADR,1114
NLD,CP,Centre Party,Centrumpartij,1984,1984,2.5,1984,NLD-CP,960
NLD,CD,Centre Democrats,Centrum Democraten,1989,1999,1,1994,NLD-CD,1472
NLD,SP,Socialist Party,Socialistiese Partij,1989,1999,5,1999,NLD-SP,1363
NLD,LPF,Fortuyn List,Lijst Pim Fortuyn,2004,2004,2.6,2004,NLD-LPF,1528
NLD,PVV,Party for Freedom,Partij voor de Vrijheid,2009,2024,17,2009,NLD-PVV,298
NLD,FvD,Forum for Democracy,Forum voor Democratie,2019,2019,11,2019,NLD-FvD,5855
NLD,BBB,Farmer–Citizen Movement,BoerBurgerBeweging,2024,2024,5.4,2024,NLD-BBB,9010
POL,LPR,League of Polish Families,Liga Polskich Rodzin,2004,2004,15.9,2004,POL-LPR,1768
POL,SRP,Self-Defense of the Republic Poland,Samoobrona Rzeczypospolitej Polskiej,2004,2009,10.8,2004,POL-SRP,727
POL,SP,United Poland,Solidarna Polska,2014,2014,4,2014,POL-SP,328
POL,Kukiz'15,Kukiz'15,Kukiz'15,2019,2019,3.7,2019,POL-Kukiz'15,4631
POL,PiS,Law and Justice,Prawo i Sprawiedliwość,2019,2024,45.4,2019,POL-PiS,1565
PRT,ADN,National Democratic Alternative,Alternativa Democrática Nacional,2024,2024,1.4,2024,PRT-ADN,
PRT,Chega,Enough,Chega,2019,2024,10,2024,PRT-Chega,8182
ROU,PRM,Greater Romania Party,Partidul România Mare,2009,2024,8.7,2009,ROU-PRM,1305
ROU,PMP,People's Movement Party,Partidul Mișcarea Populară,2014,2019,6.2,2014,ROU-PMP,3210
ROU,PP-DD,People's Party - Dan Diaconescu,Partidul Poporului – Dan Diaconescu,2014,2014,3.7,2014,ROU-PP-DD,2474
ROU,AUR,Alliance for the Union of Romanians,Alianța pentru Unirea Românilor,2024,2024,14.9,2024,ROU-AUR,8983
SVK,ANO,Alliance of the New Citizen,Aliancia nového občana,2004,2004,4.7,2004,SVK-ANO,217
SVK,HZDS / ĽS-HZDS,Movement for a Democratic Slovakia,Hnutie za Demokratické Slovensko,2004,2009,17,2004,SVK-HZDS / ĽS-HZDS,560
SVK,SNS + PSNS,Slovak National Party + Real Slovak National Party,Slovenská národná strana + Pravá Slovenská národná strana,2004,2004,2,2004,SVK-SNS + PSNS,730
SVK,SNS,Slovak National Party,Slovenská národná strana,2009,2024,5.6,2009,SVK-SNS,730
SVK,Smer – SD,Direction - Social Democracy,Smer – Sociálna Demokracia,2004,2024,32,2009,SVK-Smer – SD,311
SVK,OL'aNO,Ordinary People and Independent,Obyčajní ľudia a nezávislé osobnosti,2014,2019,7.5,2014,SVK-OL'aNO,2130
SVK,SR,We are family - Boris Kollár,Sme Rodina – Boris Kollár,2019,2019,3.2,2019,SVK-SR,4873
SVK,S-ZL,Slovakia − For the People,"Coalition S-ZL (Slovensko, Za ľudí)",2024,2024,2,2024,SVK-S-ZL,2130
SVN,SJN,Slovenia Is Ours,Slovenija Je Naša,2004,2004,4.1,2004,SVN-SJN,740
SVN,SNS,Slovenian National Party,Slovenska Nacionalna Stranka,2004,2019,5,2004,SVN-SNS,96
SVN,N.Si + SLS,New Slovenia – Christian Democrats + Slovenian People's Party,Nova Slovenija – Krščanski Demokrati + Slovenska ljudska stranka,2014,2014,16.6,2014,SVN-N.Si + SLS,1618
SVN,ZL,United Left,Združena Levica,2014,2014,5.5,2014,SVN-ZL,1403
SVN,Levica,The Left,Levica,2019,2024,6.4,2019,SVN-Levica,6131
