ctryid,country,ptyid,ptyname,share_year_first,year_first,year_last,country_short
1,Australia,1001,Labor Party,47,2011,2014,AUS
1,Australia,1002,Liberal Party,43,2011,2014,AUS
1,Australia,1003,National Party,5,2011,2014,AUS
1,Australia,1004,The Greens,1,2011,2014,AUS
2,Austria,2001,Social Democratic Party,,2008,2014,AUT
2,Austria,2002,People's Party,,2008,2014,AUT
2,Austria,2003,Freedom Party,,2008,2014,AUT
2,Austria,2004,The Greens,,2008,2014,AUT
2,Austria,2005,Alliance for the Future,,2008,2014,AUT
3,Belgium,3001,New Flemish Alliance,18,2011,2014,BEL
3,Belgium,3002,Socialist Party,17,2011,2014,BEL
3,Belgium,3003,Christian-Democrat and Flemish,,2010,2014,BEL
3,Belgium,3004,Reform Movement,10,2011,2014,BEL
3,Belgium,3005,Socialist Party Alternative,9,2011,2014,BEL
3,Belgium,3006,Open Flemish Liberals and Democrats,9,2011,2014,BEL
3,Belgium,3007,Flemish Interest,,2008,2014,BEL
3,Belgium,3008,Democrat Humanist Centre,,2009,2014,BEL
3,Belgium,3009,Ecolo,5,2011,2014,BEL
3,Belgium,3010,Green,,2009,2014,BEL
3,Belgium,3013,"Federalists, Democrats, Francophone",,2009,2014,BEL
3,Belgium,3014,"Libertarian, Direct, Democratic",0.7,2011,2014,BEL
4,Canada,4001,Liberal Party,11,2011,2014,CAN
4,Canada,4002,New Democratic Party,33,2011,2014,CAN
4,Canada,4003,Bloc Québécois,1,2011,2014,CAN
4,Canada,4004,Conservative Party,,2004,2014,CAN
4,Canada,4005,Green Party,,2006,2014,CAN
5,Czech Republic,5001,Social Democratic Party,,2011,2014,CZE
5,Czech Republic,5002,Civic Democratic Party,,2011,2014,CZE
5,Czech Republic,5003,TOP 09,,2011,2014,CZE
5,Czech Republic,5004,Communist Party,,2011,2014,CZE
5,Czech Republic,5005,Christian Democratic Union,,2011,2014,CZE
6,Denmark,6001,Social Democrats,,2005,2014,DNK
6,Denmark,6002,Danish People's Party,13,2011,2014,DNK
6,Denmark,6003,Social Liberal Party,,2007,2014,DNK
6,Denmark,6004,Socialist People's Party,,2010,2014,DNK
6,Denmark,6005,Red-Green Alliance,7,2011,2014,DNK
6,Denmark,6006,Liberal Alliance,,2009,2014,DNK
6,Denmark,6007,Conservatives,5,2011,2014,DNK
