Country,Party,PartyName,Vote_Share,Election_Date,id,country_short,dummy_nir
AL,PAD,Party of the Democratic Alliance,2.4,2001,AL-PAD,ALB,0
AL,PBDNJ,Human Rights' Union Party,2.6,2001,AL-PBDNJ,ALB,0
AL,PD,Democratic Party,19.36,2001,AL-PD,ALB,0
AL,PDr,Reformed Democrat Party,5.1,2001,AL-PDr,ALB,0
AL,PLL,Movement of Legality Party,4.03,2001,AL-PLL,ALB,0
AL,PR,Republican Party,4.83,2001,AL-PR,ALB,0
AL,PS,Socialist Party of Albania,42,2001,AL-PS,ALB,0
AL,PSD,Social Democratic Party,3.6,2001,AL-PSD,ALB,0
AT,FPO,Freedom Party of Austria,10,2002,AT-FPO,AUT,0
AT,Gru,The Greens,9.5,2002,AT-Gru,AUT,0
AT,OVP,Austrian People's Party,42.3,2002,AT-OVP,AUT,0
AT,SPO,Austrian Social Democratic Party,36.5,2002,AT-SPO,AUT,0
AU,AD,Australian Democrats,5.4,2001,AU-AD,AUS,0
AU,ALP,Australian Labor Party,37.8,2001,AU-ALP,AUS,0
AU,GRN,Australian Greens,5,2001,AU-GRN,AUS,0
AU,LPA,Liberal Party of Australia,36.8,2001,AU-LPA,AUS,0
AU,NP,National Party of Australia,5.6,2001,AU-NP,AUS,0
AU,ON,Pauline Hanson's One Nation,4.3,2001,AU-ON,AUS,0
BA,HDZ,Croatian Democratic Community,9.5,2002,BA-HDZ,BIH,0
BA,PDP,Party for Democratic Progress,4.6,2002,BA-PDP,BIH,0
BA,SBiH,Party for Bosnia and Hercegovina,10.5,2002,BA-SBiH,BIH,0
BA,SDA,Party of Democratic Action,21.9,2002,BA-SDA,BIH,0
BA,SDP,Social Democratic Party of Bosnia and Hercegovina,10.4,2002,BA-SDP,BIH,0
BA,SDS,Serbian Democratic Party,14,2002,BA-SDS,BIH,0
BA,SNSD,Party of Independent Social Democrats,9.8,2002,BA-SNSD,BIH,0
BA,SPRS,Socialist Party of Republic of Srpska,1.9,2002,BA-SPRS,BIH,0
BE,CD&V,Christian Democratic & Flemish,13.2,2003,BE-CD&V,BEL,0
BE,CDH,Humanist Democratic Centre,5.5,2003,BE-CDH,BEL,0
BE,Eco,Ecolo,3.1,2003,BE-Eco,BEL,0
BE,FN,National Front,2,2003,BE-FN,BEL,0
BE,Gro!,Groen!,2.5,2003,BE-Gro!,BEL,0
BE,MR,Reformist Movement,11.4,2003,BE-MR,BEL,0
BE,N-VA,New Flemish Alliance,3.1,2003,BE-N-VA,BEL,0
BE,PS,Socialist Party,13,2003,BE-PS,BEL,0
BE,SPSp,SP.A-Spirit,14.9,2003,BE-SPSp,BEL,0
BE,VB,Flemish Block,11.6,2003,BE-VB,BEL,0
BE,VLD,Flemish Liberals and Democrats,15.4,2003,BE-VLD,BEL,0
BG,BBB,Bulgarian Business Bloc,0,2003,BG-BBB,BGR,0
BG,BKP,Bulgarian Communist Party,0.2,2003,BG-BKP,BGR,0
BG,BNDP,Bulgarian national democratic party,0,2003,BG-BNDP,BGR,0
BG,BSDP,Bulgarian social-democratic party,22.05,2003,BG-BSDP,BGR,0
BG,BSP,Bulgarian Socialist Party,22.05,2003,BG-BSP,BGR,0
BG,BZNS,Bulgarian Agricultural National Union,2.7,2003,BG-BZNS,BGR,0
BG,CPB,Citizens' Party for Bulgaria,0.5,2003,BG-CPB,BGR,0
BG,DPS,Movement for Rights and Freedoms,10.4,2003,BG-DPS,BGR,0
BG,G,St.George Day Movement,1.25,2003,BG-G,BGR,0
BG,NDST,National movement 'Simeon II',9.6,2003,BG-NDST,BGR,0
BG,ODS,Union of Democratic Forces,20.6,2003,BG-ODS,BGR,0
BG,UFD,Union of Free Democrats,1.7,2003,BG-UFD,BGR,0
BG,VMRO,VMRO - Bulgarian National Movement,1.25,2003,BG-VMRO,BGR,0
BY,APB,Agrarian Party Belarusian,5,2003,BY-APB,BLR,0
BY,BPF,Belarusian People's Front,2.6,2003,BY-BPF,BLR,0
BY,BSDH,Belarusian Social-Democratic Hramada,3.5,2003,BY-BSDH,BLR,0
BY,BSDP-NH,Belarusian Social-Democratic Party 'Narodnaya Hramada',2.3,2003,BY-BSDP-NH,BLR,0
BY,CCP-BPF,Conservative-Christian Party of Belarusian People's Front,5.5,2003,BY-CCP-BPF,BLR,0
BY,KPB,Communist Party of Belarus,2.6,2003,BY-KPB,BLR,0
BY,LDPB,Liberal-Democratic Party of Belarus,0,2003,BY-LDPB,BLR,0
BY,LP,Labour Party,2.2,2003,BY-LP,BLR,0
BY,PKB,Party of Communists Belarusian,1.8,2003,BY-PKB,BLR,0
BY,UCP,United Civic Party,0.5,2003,BY-UCP,BLR,0
BY,WP,Women's Party,7.7,2003,BY-WP,BLR,0
CA,BQ,Bloc Québécois,10.7,2000,CA-BQ,CAN,0
CA,CA,Canadian Alliance,25.5,2000,CA-CA,CAN,0
CA,GPC,Green Party of Canada,0.8,2000,CA-GPC,CAN,0
CA,LPC,Liberal Party of Canada,40.8,2000,CA-LPC,CAN,0
CA,NDP,New Democratic Party,8.5,2000,CA-NDP,CAN,0
CA,PC,Progressive Conservative Party of Canada,12.2,2000,CA-PC,CAN,0
CH,CVP,Christlich-Demokratische Volkspartei der Schweiz,14.4,2003,CH-CVP,CHE,0
CH,EDU,Eidgenšssische Demokratische Union,1.3,2003,CH-EDU,CHE,0
CH,EVP,Evangelische Volkspartei der Schweiz,2.3,2003,CH-EVP,CHE,0
CH,FDP,Freisinnig-Demokratische Partei der Schweiz,17.3,2003,CH-FDP,CHE,0
CH,GPS,GrŸne Partei der Schweiz,7.4,2003,CH-GPS,CHE,0
CH,LPS,Liberale Partei der Schweiz,2.2,2003,CH-LPS,CHE,0
CH,PdA,Partei der Arbeit der Schweiz,0.7,2003,CH-PdA,CHE,0
CH,SD,Schweizer Demokraten,1,2003,CH-SD,CHE,0
CH,SPS,Sozialdemokratische Partei der Schweiz,23.4,2003,CH-SPS,CHE,0
CH,SVP,Schweizerische Volkspartei,26.6,2003,CH-SVP,CHE,0
CY,ADIK,Agonistiko Dimokratiko Kinima,2.2,2001,CY-ADIK,CYP,0
CY,AKEL,Anorthotikon Komma Ergazemenou Laou,34.7,2001,CY-AKEL,CYP,0
CY,DIKO,Dimokratikon Komma,14.8,2001,CY-DIKO,CYP,0
CY,DISI,Dimokratikos Sinagermos,34,2001,CY-DISI,CYP,0
CY,EDEK,Kinima Sosialdimokraton EDEK,6.5,2001,CY-EDEK,CYP,0
CY,EDI,Enomeni Dimokrates,2.6,2001,CY-EDI,CYP,0
CY,KOP,Kinima Oikologon Perivallontiston,2,2001,CY-KOP,CYP,0
CY,NEO,Neoi Orizontes,3,2001,CY-NEO,CYP,0
CZ,CSSD,Czech Social Democratic Party,30.2,2002,CZ-CSSD,CZE,0
CZ,KDU,Christian and Democratic Union-Czechoslovak People,10.13,2002,CZ-KDU,CZE,0
