country,party,party_name,year_first,year_last,party_id
ALB,PAD,Party of the Democratic Alliance,2006,2006,ALB-PAD
ALB,PBDNJ,Human Rights' Union Party,2006,2006,ALB-PBDNJ
ALB,PD,Democratic Party,2006,2006,ALB-PD
ALB,PDr,Reformed Democrat Party,2006,2006,ALB-PDr
ALB,PLL,Movement of Legality Party,2006,2006,ALB-PLL
ALB,PR,Republican Party,2006,2006,ALB-PR
ALB,PS,Socialist Party of Albania,2006,2006,ALB-PS
ALB,PSD,Social Democratic Party,2006,2006,ALB-PSD
ARG,ARI-Lilita,Afirmación para una República Igualitaria - Lilita Carrio,2009,2009,ARG-ARI-Lilita
ARG,AyL-Zamora,Autodeterminación y Libertad - Luis Zamora,2009,2009,ARG-AyL-Zamora
ARG,CPC - Macri,Compromiso para el cambio - Mauricio Macri,2009,2009,ARG-CPC - Macri
ARG,FrePoBo,Frente Popular Bonaerense,2009,2009,ARG-FrePoBo
ARG,Lavagna,Roberto Lavagna,2009,2009,ARG-Lavagna
ARG,MPN-Sobisch,Movimiento Popular Neuquino - Jorge Sobisch,2009,2009,ARG-MPN-Sobisch
ARG,MST,Movimiento Socialista de los Trabajadores,2009,2009,ARG-MST
ARG,PC,Partido Comunista,2009,2009,ARG-PC
ARG,PJ-Duhalde,Partido Justicialista - Eduardo Duhalde,2009,2009,ARG-PJ-Duhalde
ARG,PJ-Menem,Partido Justicialista - Carlos Menem,2009,2009,ARG-PJ-Menem
ARG,Pres,Partido Justicialista - Frente para la Victoria - Néstor Kirchner,2009,2009,ARG-Pres
ARG,PS-Binner,Partido Socialista - Hermes Binner,2009,2009,ARG-PS-Binner
ARG,Recrear-Lopez,Recrear para el Crecimiento - Ricardo Lopez Murphy,2009,2009,ARG-Recrear-Lopez
ARG,UCR-Alfonsin,Unión Cívica Radical - Raul Alfonsin,2009,2009,ARG-UCR-Alfonsin
ARG,UCR-Stolbizr,Unión Cívica Radical - Margarita Stolbizer,2009,2009,ARG-UCR-Stolbizr
AUS,AD,Australian Democrats,1992,2006,AUS-AD
AUS,ALP,Australian Labor Party,1992,2006,AUS-ALP
AUS,GRN,Australian Greens,2006,2006,AUS-GRN
AUS,LPA,Liberal Party of Australia,1992,2006,AUS-LPA
AUS,NP,National Party of Australia,1992,2006,AUS-NP
AUS,ON,Pauline Hanson's One Nation,2006,2006,AUS-ON
AUT,FPO,Freedom Party of Austria,1992,2006,AUT-FPO
AUT,Gru,The Greens,1992,2006,AUT-Gru
AUT,KPO,Communist Party of Austria,1992,1992,AUT-KPO
AUT,OVP,Austrian People's Party,1992,2006,AUT-OVP
AUT,SPO,Austrian Social Democratic Party,1992,2006,AUT-SPO
BEL,AGA,Flemish Environmentalist Party (Agalev),1992,1992,BEL-AGA
BEL,CD&V,Christian Democratic & Flemish,2006,2006,BEL-CD&V
BEL,CDH,Humanist Democratic Centre,2006,2006,BEL-CDH
BEL,CVP,Flemish Cristian People's Party,1992,1992,BEL-CVP
BEL,Eco,Ecolo,1992,2006,BEL-Eco
BEL,FB,Flemish Nationalist Party,1992,1992,BEL-FB
BEL,FDF,Francophone Democratic Front,1992,1992,BEL-FDF
BEL,FN,National Front,2006,2006,BEL-FN
BEL,Gro!,Groen!,2006,2006,BEL-Gro!
BEL,MR,Reformist Movement,2006,2006,BEL-MR
BEL,N-VA,New Flemish Alliance,2006,2006,BEL-N-VA
BEL,PRL,Francophone Reform Liberal Party,1992,1992,BEL-PRL
BEL,PS,Socialist Party,1992,2006,BEL-PS
BEL,PSC,Francophone Christian Democrat Party,1992,1992,BEL-PSC
BEL,PVV,Flemish Party of Liberty and Progress,1992,1992,BEL-PVV
BEL,SPSp,SP.A-Spirit,1992,2006,BEL-SPSp
BEL,VB,Flemish Block,2006,2006,BEL-VB
BEL,VLD,Flemish Liberals and Democrats,2006,2006,BEL-VLD
BEL,VU,Flemish People's Union,1992,1992,BEL-VU
BGR,BBB,Bulgarian Business Bloc,2006,2006,BGR-BBB
BGR,BKP,Bulgarian Communist Party,2006,2006,BGR-BKP
BGR,BNDP,Bulgarian national democratic party,2006,2006,BGR-BNDP
BGR,BSDP,Bulgarian social-democratic party,2006,2006,BGR-BSDP
BGR,BSP,Bulgarian Socialist Party,2006,2006,BGR-BSP
BGR,BZNS,Bulgarian Agricultural National Union,2006,2006,BGR-BZNS
BGR,CPB,Citizens' Party for Bulgaria,2006,2006,BGR-CPB
BGR,DPS,Movement for Rights and Freedoms,2006,2006,BGR-DPS
BGR,G,St.George Day Movement,2006,2006,BGR-G
BGR,NDST,National movement 'Simeon II',2006,2006,BGR-NDST
BGR,ODS,Union of Democratic Forces,2006,2006,BGR-ODS
