countrycode,year_first,year_last,name_short,year,vote_share,party_id
AUT,2013,2019,FPÖ,2017,26,10
AUT,2013,2019,GreenAT,2019,13.900000000000002,14
AUT,2013,2019,NEOs,2019,8.1,32
AUT,2017,2019,Pilz,2017,4.3999999999999995,42
AUT,2013,2019,SPÖ,2017,26.900000000000002,53
AUT,2013,2013,Stronach,2013,5.7,58
AUT,2013,2019,ÖVP Kurz,2019,37.5,68
CZE,2013,2017,ANO,2017,29.599999999999998,1
CZE,2010,2017,CSSD,2010,22.1,5
CZE,2010,2017,KDU,2013,6.800000000000001,20
CZE,2013,2017,KSCM,2013,14.899999999999999,21
CZE,2010,2017,ODS,2010,20.200000000000003,34
CZE,2017,2017,Piratska,2017,10.8,43
CZE,2017,2017,STAN,2017,5.2,54
CZE,2017,2017,SpDCZ,2017,10.6,63
CZE,2010,2017,Top09,2010,16.7,60
CZE,2013,2013,Usvit,2013,6.9,62
CZE,2010,2010,VV,2010,10.9,64
DEU,2013,2017,AfD,2017,12.6,2
DEU,2013,2017,CDUCSU,2013,41.5,4
DEU,2013,2017,FDP,2017,10.7,8
DEU,2013,2017,GreenDE,2017,8.9,15
DEU,2013,2017,Linke,2017,9.2,29
DEU,2013,2017,SPD,2013,25.7,52
FRA,2012,2012,BayrouMoDem,2012,9.1,3
FRA,2012,2017,EELV17,2017,4.3,7
FRA,2012,2017,FN,2017,21.3,9
FRA,2012,2017,HollandePS,2012,28.599999999999998,16
FRA,2017,2017,LREMMoDem,2017,24,25
FRA,2012,2017,MelenchonLFI,2017,19.6,18
FRA,2012,2017,SarkozyUMP,2012,27.200000000000003,12
ITA,2018,2018,FdI,2018,4.3,11
ITA,2013,2018,Forza Italia,2013,21.6,13
ITA,2013,2018,LeU,2018,3.8,27
ITA,2013,2018,Lega Salvini,2018,17.4,28
ITA,2013,2018,M5S,2018,32.7,30
ITA,2013,2018,PD,2013,25.4,36
ITA,2013,2013,SC,2013,8.3,48
POL,2019,2019,Konfederacja,2019,6.800000000000001,23
POL,2015,2015,KorWiN,2015,4.8,22
POL,2015,2019,Kukiz15,2015,6.7,24
POL,2015,2015,Nowoczesna,2015,7.6,33
POL,2011,2019,PO,2011,39.2,37
POL,2011,2019,PSL,2011,8.4,39
POL,2011,2019,PiS,2019,43.6,41
POL,2015,2015,RN,2015,2.1,45
POL,2011,2011,RP,2011,10,59
POL,2015,2019,Razem,2015,3.5999999999999996,46
POL,2011,2019,SLD,2011,8.200000000000001,50
POL,2019,2019,Wiosna,2019,2.4,66
POL,2015,2015,ZL,2015,7.5,67
SVK,2012,2016,KDH,2012,8.799999999999999,19
SVK,2010,2016,LSNS,2016,8,26
SVK,2010,2016,Most,2010,8.1,31
SVK,2012,2016,Olano,2016,11,35
SVK,2010,2016,SAS,2010,12.1,47
SVK,2012,2012,SDKU,2012,6.1,49
SVK,2010,2016,SNS,2016,8.6,51
SVK,2016,2016,Siet,2016,5.6000000000000005,55
SVK,2016,2016,Sme Rodina,2016,6.6000000000000005,56
SVK,2012,2016,Smer,2012,44.4,57
ESP,2015,2019,Ciudadanos,2019,15.9,6
ESP,2011,2016,IU,2011,6.9,17
ESP,2011,2019,PP,2011,44.6,38
ESP,2011,2019,PSOE,2011,28.799999999999997,40
ESP,2015,2019,Podemos,2015,20.7,44
ESP,2011,2011,UPYD,2011,4.7,61
ESP,2019,2019,Vox,2019,15.1,65
