country,name_short,name,year_first,year_last,share,share_year,party_id
AUT,BZÖ,Bündnis Zukunft Österreich,2005,,10.7,2008,AUT BZÖ
AUT,FPÖ,Freiheitliche Partei Österreichs,1956,,27.4,2017,AUT FPÖ
AUT,KPÖ,Kommunistische Partei Österreichs,1918,,1,2006,AUT KPÖ
BEL,FN,Front National,1985,2012,2.3,1995,BEL FN
BEL,KPB-PCB,Kommunistische Partij van België,1921,1989,2.3,1981,BEL KPB-PCB
BEL,PVDA,Partij van de Arbeid van België,1979,,8.6,2019,BEL PVDA
BEL,VB,Vlaams Belang,1979,,12,2007,BEL VB
BGR,ATAKA,Ataka,2005,,9.4,2009,BUL ATAKA
BGR,KPB,Bulgarian Communist Party,,,1.5,1994,BUL KPB
BGR,,Bulgarian National Radical Party,,,1.1,1991,BUL BNRP
BGR,NFSB,Nacionalen Front za Spasenie na Bălgaria,2011,,7.3,2014,BUL NFSB
BGR,PG,Prezaredi Balgariya,2014,,5.7,2014,BUL PG
BGR,RZS,"Red, zakonnost i spravedlivost",2005,,4.1,2009,BUL RZS
BGR,Revival,Vazrazhdane,2014,,1.1,2017,BUL Revival
BGR,IMRO,VMRO – Bălgarsko Nacionalno Dviženie,1991,,9.1,2017,BUL IMRO
BGR,Volya,Volya,2007,,4.2,2017,BUL Volya
CHE,AL,Alternative Linke,2010,2018,1.2,2015,SWI AL
CHE,EDU,Eidgenössisch-Demokratische Union,1975,,1.3,1995,SWI EDU
CHE,FPS,Freiheits-Partei der Schweiz,1984,,5.1,1991,SWI FPS
CHE,LEGA,Lega dei Ticinesi,1991,,1.4,1991,SWI LEGA
CHE,PdA,Partei der Arbeit der Schweiz,1944,,1.2,1995,SWI PdA
CHE,POCH,Progressive Organisationen der Schweiz,1969,1993,2.2,1983,SWI POCH
CHE,SD,Schweizer Demokraten (earlier Nationale Aktion für Volk und Heimat),1961,,3.4,1991,SWI SD
CHE,SVP,Schweizerische Volkspartei,1971,,29.4,2015,SWI SVP
CYP,AKEL,Anorthotiko Komma Ergazomenou Laou,1926,,34.7,2001,CYP AKEL
CYP,ELAM,Ethniko Laiko Metopo,2008,,3.7,2016,CYP ELAM
CYP,Evroko,Evropaiko Komma,2005,2016,5.8,2006,CYP Evroko
CYP,ADIK,Fighting Democratic Movement,,2011,2.2,2001,CYP ADIK
CYP,KA,Kinima Allileggyi,2016,,5.2,2016,CYP KA
CYP,NEO,New Horizons,1996,2005,3,2001,CYP NEO
CZE,DSSS,Dělnická strana sociální spravedlnosti,2010,,1.1,2010,CZE DSSS
CZE,KSCM,Komunistická Strana Čech a Moravy,1989,,18.5,2002,CZE KSCM
CZE,SPR–RSČ,Sdružení pro Republiku - Republikánská strana Československa,1989,,8,1996,CZE SPR–RSČ
CZE,SPO,Strana Práv Občanů - Zemanovci,2009,,4.3,2010,CZE SPO
CZE,SPD,Svoboda a Prímá Demokracie,2015,,10.6,2017,CZE SPD
CZE,USVIT,Usvit prime demokracie,2013,,6.9,2013,CZE USVIT
DEU,AfD,Alternative für Deutschland,2013,,12.6,2017,GER AfD
DEU,PDS/Linke,Die Linke,2007,,11.9,2009,GER PDS/Linke
DEU,REP,Die Republikaner,1983,,2.1,1990,GER REP
DEU,NPD,Nationaldemokratische Partei Deutschlands,1964,,1.6,2005,GER NPD
DNK,DKP,Danmarks Kommunistiske Parti,1919,,1.1,1981,DEN DKP
DNK,DF,Dansk Folkeparti,1995,,21.1,2015,DEN DF
DNK,EL,Enhedslistan,1989,,7.8,2015,DEN EL
DNK,FK,Faelles Kurs,1986,2001,2.2,1987,DEN FK
DNK,FRP,Fremskridtspartiet,1972,,9,1988,DEN FRP
DNK,,Nye Borgerlige,2015,,2.4,2019,DEN NB
DNK,,Stram Kurs,2017,,1.8,2019,DEN SK
DNK,VS,Venstresocialisterne,1967,1998,2.7,1981,DEN VS
ESP,HB,Herri Batasuna,1978,2001,1.2,1986,ESP HB
ESP,IU,Izquierda Unida,1986,,10.5,1996,ESP IU
ESP,PCPE,Partido Comunista de los Pueblos de España,1984,,4,1982,ESP PCPE
ESP,PTE-UC,Partido de los Trabajadores de España-Unidad Comunista,1981,1991,1.1,1986,ESP PTE-UC
ESP,Podemos,Podemos,2014,,21.1,2016,ESP Podemos
EST,EKRE,Eesti Konservatiivne Rahvaerakond,2012,,17.8,2019,EST EKRE
FIN,SIN,Blå reform,,,1,2019,FIN SIN
FIN,DV,Demokratiska alternativet,1986,1990,4.2,1987,FIN DV
FIN,SKDL,Demokratiska förbundet för Finlands folk,1944,1990,13.5,1983,FIN SKDL
FIN,PS,Sannfinländarna,1995,,19,2011,FIN PS
FRA,DLF,Debout La France,2008,,1.2,2017,FRA DLF
FRA,FG,Front de Gauche,2008,2018,6.9,2012,FRA FG
FRA,FN,Front National,1972,,14.9,1997,FRA FN
FRA,FI,Le France Insoumise,2016,,11,2017,FRA FI
FRA,LCR,Ligue communiste révolutionnaire,1974,,1.3,2002,FRA LCR
FRA,LO,Lutte Ouvrière,1939,,3.9,1997,FRA LO
FRA,MNR,Mouvement National Républicain,1999,,1.1,2002,FRA MNR
FRA,MPF,Mouvement pour la France ,1994,,2.4,1997,FRA MPF
FRA,PCF,Parti Communiste Francais,1920,,16.2,1981,FRA PCF
GBR,BREXIT,Brexit Party,,,2,2019,UK BREXIT
GBR,BNP,British National Party,1982,,1.9,2010,UK BNP
GBR,UKIP,United Kingdom Independence Party,1993,,12.6,2015,UK UKIP
GRC,XA,Chrysi Avgui,1985,,2.9,2019,GRE XA
GRC,EL,Elliniki Lisi,2016,,3.7,2019,GRE EL
GRC,KKE,Kommounistiko Komma Elladas,1918,,10.9,1981,GRE KKE
GRC,LAE,Laïkí Enótita,2015,,2.9,2015,GRE LAE
GRC,LAOS,Laikos Orthodoxos Synagermos,2000,,5.6,2009,GRE LAOS
GRC,PE,Plefsi Eleftherias,2016,,1.5,2019,GRE PE
GRC,Syriza,Synaspismos Rizospastikis Aristeras,2004,,35.5,2015,GRE Syriza
GRC,SYN,Synaspismós tīs Aristerás tōn Kinīmátōn kai tīs Oikologías,1989,2013,11,1989,GRE SYN
GRC,KKE (Interior),,1968,1987,1.8,1985,GRE KKE (Interior)
HRV,HSP (HSP ADKU),Hrvatska stranka prava,1990,,6.4,2003,CRO HSP (HSP ADKU)
HRV,HSP-AS,Hrvatska stranka prava dr. Ante Starčević,2009,,2.8,2011,CRO HSP-AS
HRV,HDSSB,Hrvatski Demokratski Savez Slavonije i Baranje,2006,,2.9,2011,CRO HDSSB
HRV,ZZ,Živi zid,2011,,6.2,2016,CRO ZZ
HUN,FIDESZ,Fidesz - Magyar Polgäri Szövetség,1988,,52.7,2010,HUN FIDESZ
HUN,JOBBIK,Jobbik Magyarországért Moszgalom,2003,,20.3,2014,HUN JOBBIK
HUN,MIEP,Magyar Igazság és Élet Pártja,1993,,5.5,1998,HUN MIEP
HUN,MM,Magyar Munkáspárt,1989,,4.1,1998,HUN MM
IRL,PBP,People Before Profits Alliance,2005,,3.9,2016,IRE PBP
IRL,SP,Socialist Party,1996,,1.2,2011,IRE SP
IRL,WP,Workers Party of Ireland,1970,,5,1989,IRE WP
