country,name_short,name_english,year_first,year_last,share,share_year,party_id,partyfacts_id
JPN,JSP/SDP,Japan Socialist Party / Social Democratic Party,1946,2005,33.1,1958,3,3
IRL,SF,Sinn Fein (Provisional),2002,2016,13.9,2016,4,4
CHL,PS,Socialist Party of Chile,1932,2017,18.9,1941,6,6
SVK,SOP,Party of Civic Understanding,1998,1998,8,1998,9,9
DEU,Grue,Greens,1983,1987,8.3,1987,10,10
SLV,PDC,Christian Democratic Party,1961,2009,54,1985,11,11
JPN,LP,Liberal Party,2000,2000,11,2000,13,13
FRA,PR,Radical [Socialist] Party,1902,1962,28.5,1906,14,14
MLT,CP,Constitutional Party,1921,1951,54.5,1939,15,15
IND,DMK,Dravidian Progress Federation,2009,2009,3.3,2009,17,17
EST,K-EUR,Constitution Party -- Estonian United People's Party,1995,1999,6.1,1999,18,18
LVA,DPS,"Democratic Party """"Saimnieks""""",1995,1995,15.2,1995,19,19
CHE,SP,Social Democratic Party of Switzerland,1902,2019,30.8,1917,29,29
ITA,PCI,Italian Communist Party,1946,1987,34.4,1976,34,34
BEL,N-VA,New Flemish Alliance,2010,2019,20.3,2014,36,36
HUN,Jobbik,Movement for a Better Hungary,2010,2018,20.2,2014,42,42
NLD,D66,Democrats 66,1971,2017,15.5,1994,45,45
GRC,KKE,Communist Party of Greece,1974,2019,10.9,1981,48,48
BEL,PVV-OVLD,Party of Liberty and Progress -- Open Flemish Liberals and Democrats,1971,2019,15.4,2003,49,49
DNK,KrF/KD,Christian People's Party / Christian Democrats,1975,1975,5.3,1975,53,53
CHL,PPD,Party for Democracy,1989,2017,15.4,2005,54,54
POL,SLD,Democratic Left Alliance,1991,2019,41,2001,57,57
BGR,BC,Blue Coalition,2009,2009,6.8,2009,58,58
PAN,CD,Democratic Change,1999,2019,33.7,2014,59,59
SVK,KDH,Christian Democratic Movement,1994,2012,10.1,1994,63,63
LTU,LSDP,Lithuanian Social Democratic Party,1920,2016,20.6,2004,64,64
POL,ZChN,Christian National Union,1991,1993,8.7,1991,70,70
GTM,PU,Unionist Party,2003,2007,6.2,2003,71,71
HRV,HSS,Croatian Peasant Party,1995,2016,11.3,2000,72,72
LTU,DK,The Way of Courage,2012,2012,8,2012,74,74
HRV,DC,Democratic Centre,2011,2011,0.7,2011,78,78
GRC,EDIK,Union of the Democratic Centre,1974,1977,20.4,1974,82,82
EST,P,Right-wingers,1995,1995,5,1995,83,83
DEU,PDS,Party for Democratic Socialism,1990,2005,8.7,2005,86,86
JPN,JNP,Japan New Party,1993,1993,8.1,1993,88,88
JPN,RWSP,Right Wing Socialist Party,1952,1955,13.9,1955,91,91
SVN,SNS,Slovenian National Party,1992,2008,10,1992,96,96
SVN,DL,Civic List,2011,2011,8.4,2011,98,98
NOR,Fr,Progress Party [Anders Lange’s Party],1973,2017,22.9,2009,101,101
LTU,DP,Labour Party,2004,2016,28.4,2004,102,102
CZE,US/DEU,Freedom Union / Democratic Union,1998,2002,8.6,1998,104,104
EST,MKE,Our Home is Estonia!,1995,1995,5.9,1995,106,106
EST,ERa,People's Union of Estonia,1999,2015,13,2003,110,110
URY,PN,National Party,1916,2019,49.7,1958,118,118
ROU,PSD,Social Democratic Party,1992,2016,45.5,2016,120,120
JPN,P/D/RP,Progressive / Democratic / Reform Party,1946,1953,25.4,1947,136,136
ESP,CiU,Convergence and Unity,1986,1993,5.1,1989,139,139
GBR,NLP,National Liberal Party,1922,1922,10.2,1922,141,141
BGR,BEL,Bulgarian Euro-Left Coalition,1997,1997,5.6,1997,149,149
CAN,NDP,New Democratic Party,1935,2019,30.6,2011,152,152
POL,KLD,Liberal Democratic Congress,1991,1991,7.5,1991,153,153
TUR,GP,Young Party,2002,2002,7.2,2002,159,159
CRI,PUN,National Union Party,1902,1962,74.2,1948,161,161
CHL,PC,Communist Party of Chile,1941,2017,16.2,1973,162,162
NLD,ARP,Anti-Revolutionary Party,1901,1972,27.9,1909,163,163
FRA,MR,Reformers Movement,1973,1973,13.3,1973,167,167
ISR,Mapam,United Workers Party,1949,1965,14.7,1949,169,169
BOL,UN,National Unity Front,2005,2014,7.8,2005,170,170
MKD,LDP,Liberal Democratic Party,1998,2016,8.3,2002,171,171
EST,EME,Estonian Country People's Party,1995,1995,,1995,174,174
LVA,PCTVL,For Human Rights in a United Latvia,2002,2006,19,2002,176,176
CZE,CSSD,Czech Social Democratic Party,1992,2017,32.3,1998,177,177
TUR,MDP,Nationalist Democratic Party,1983,1983,23.3,1983,178,178
NIC,PCN,Conservative Party,1916,1974,100,1916,185,185
LUX,LSAP,Luxembourg Socialist Workers' Party,1918,2013,41.5,1948,186,186
ALB,PDS,Democratic Party of Albania,1991,2017,57.3,1992,190,190
ROU,CDR,Romanian Democratic Convention,1992,2000,30.2,1996,192,192
LTU,TS-LKD,Homeland Union / Homeland Union – Lithuanian Christian Democrats,1992,2016,31.3,1996,193,193
DOM,PRSC,Social Christian Reformist Party,1962,2016,56.5,1966,194,194
SWE,B/C,Farmers' League / Centre Party,1917,2018,25.1,1973,199,199
SVK,SDSS,Social Democratic Party of Slovakia,1994,1998,,1994,200,200
ITA,UdC,Union of the Centre,2013,2013,1.8,2013,201,201
PAN,PPA,Panamenista Party / Authentic Panameñista Party,1964,2019,28.6,1964,202,202
ITA,PI,Pact for Italy,1994,1994,,1994,203,203
SVK,SV,Common Choice,1994,1994,10.4,1994,205,205
IRL,WP,Workers Party,1989,1989,5,1989,208,208
CHL,PH,Humanist Party,2005,2017,4.2,2017,209,209
DEU,CDU/CSU,Christian Democratic Union / Christian Social Union,1949,2017,,1949,211,211
DNK,LA,[New] Liberal Alliance,2015,2015,7.4,2015,212,212
FRA,UDF,Union for French Democracy,1978,2017,21.6,1978,213,213
HRV,HSLS,Croatian Social Liberal Party,1992,2016,17.7,1992,214,214
ROU,ADA,Justice and Truth Alliance,2004,2004,31.3,2004,215,215
MEX,PRD,Party of the Democratic Revolution,1991,2018,25.7,1997,216,216
SVK,ANO,Alliance of the New Citizen,2002,2002,8,2002,217,217
COL,PDA,Alternative Democratic Pole,2006,2010,7.7,2006,218,218
PRY,PPQ,Beloved Fatherland Party,2003,2018,15.9,2003,220,220
CZE,TOP09,Tradition Responsibility Prosperity 09,2010,2017,16.7,2010,223,223
ISL,B,Citizens' Movement,2009,2009,7.2,2009,224,224
BRA,PSDB,Brazilian Social Democracy Party,1990,2018,17.5,1998,225,225
SVK,SDK,Slovak Democratic Coalition,1998,1998,26.3,1998,226,226
TUR,MP,Nation Party,1965,1965,6.3,1965,228,228
SVK,ZRS,Association of Workers of Slovakia,1994,1994,7.3,1994,230,230
CAN,PCP,Progressive Conservative Party of Canada,1945,2000,53.7,1958,232,232
ISR,YB,Israel is Our Home,2006,2019,11.7,2009,235,235
LTU,TT-LDP,Order and Justice – Liberal Democratic Party,2004,2016,12.7,2008,237,237
JPN,LWSP,Left Wing Socialist Party,1952,1955,15.4,1955,239,239
ECU,PSP,Patriotic Society Party,2002,2013,18.6,2006,246,246
ESP,PCE/IU,Communist Party / United Left,1977,2019,10.8,1979,247,247
AUS,LLP,Lang Labour Party,1931,1940,14.4,1934,248,248
FIN,L,Liberal People's Party,1919,1972,12.8,1919,249,249
HRV,HSP,Croatian Party of Rights,1992,2003,7.1,1992,253,253
CHL,PR,Radical Party,1915,1969,30.5,1921,256,256
CRI,PRN,National Restoration Party,2018,2018,18.2,2018,257,257
SVK,MH,Most-Hid,2010,2016,8.1,2010,258,258
ITA,RiI,Italian Renewal,1996,1996,4.3,1996,259,259
BGR,BNS,Bulgarian People's Union,2005,2005,5.2,2005,263,263
BRA,PPS,Socialist People's Party,2006,2006,4.4,2006,267,267
BEL,LP-PL,Liberal Party [Party of Liberty and Progress],1900,1968,27.6,1908,275,275
DNK,DKP,Communist Party of Denmark,1945,1947,12.5,1945,277,277
ITA,DL-M,Democracy is Freedom -- The Daisy,2001,2001,14.5,2001,279,279
BEL,RW,Walloon Rally,1971,1974,6.7,1971,281,281
JPN,NFP,New Frontier Party,1996,1996,28,1996,282,282
PRT,CDU,Unified Democratic Coalition,1987,2019,12.1,1987,284,284
AUS,LNPQ,Liberal National Party of Queensland,2010,2019,9.1,2010,285,285
NIC,PLC,Constitutionalist Liberal Party,1936,2016,53.2,2001,286,286
FRA,CDP,Centre Democracy and Progress,1973,1973,3.8,1973,288,288
PER,SN,National Solidarity Party,2000,2011,4,2000,290,290
BIH,SNSD,Alliance of Independent Social Democrats,1998,2018,22.6,2018,292,292
NLD,PVV,Party for Freedom,2006,2017,15.4,2010,298,298
HUN,MSZMP,Hungarian Socialist Workers' Party,1958,1985,81.7,1958,299,299
LUX,DP,Democratic Party,1945,2013,22.2,1974,300,300
GRC,SYRIZA,Coalition of the Radical Left,2007,2019,35.5,2015,301,301
BEL,KPB-PCB,Communist Party,1936,1949,12.7,1946,302,302
LVA,KDS,Christian Democratic Union,1993,1995,6.4,1995,304,304
TUR,AKP,Justice and Development Party,2002,2018,49.8,2011,306,306
CHE,SVP,Swiss People's Party,1919,2019,29.4,2015,308,308
PRT,PCP,Portuguese Communist Party,1975,1983,18.2,1983,310,310
SVK,Smer,Direction -- Social Democracy,2002,2016,44.4,2012,311,311
DNK,SF,Socialist Peoples Party,1960,2019,14.6,1987,329,329
EST,R,Popular Front,1990,1992,41,1990,331,331
AUS,NAT,Nationalist Party of Australia,1917,1929,54.2,1917,338,338
SVK,KSS,Communist Party of Slovakia,2002,2002,6.3,2002,340,340
SWE,NyD,New Democracy,1991,1991,6.7,1991,343,343
PER,PNP,Peruvian Nationalist Party,2011,2011,25.4,2011,345,345
LTU,TPP,National Resurrection Party,2008,2008,15.1,2008,347,347
SVK,SMK-MKP,Party of the Hungarian Coalition / Party of the Hungarian Community,1994,2006,11.7,2006,349,349
TUR,DYP,True Path Party,1987,2007,27,1991,351,351
MKD,DA,Democratic Alternative,1998,1998,10.7,1998,354,354
BRA,PT,Workers' Party,1986,2018,18.2,2002,356,356
BIH,SBiH,Party for Bosnia and Herzegovina,2000,2010,15.5,2006,357,357
CHE,FDP,Radical Democratic Party,1902,2019,56.1,1914,360,360
VEN,PJ,Justice First,2010,2015,13.2,2015,361,361
COL,PLC,Colombian Liberal Party,1931,2018,100,1937,362,362
ISL,Sj,Independence Party,1923,2017,53.6,1923,363,363
ITA,IPdL,The People of Freedom,2008,2013,38.2,2008,365,365
LVA,LVP,Latvian Unity Party,1995,1995,7.2,1995,373,373
BGR,NDSV,National Movement (Simeon II) for Stability and Progress,2001,2005,42.7,2001,374,374
DNK,SD,Social Democrats,1901,2019,46.1,1935,379,379
PAN,PLN,National Liberal Party,1940,2004,20.8,1956,380,380
DEU,SPD,Social Democratic Party of Germany,1903,2017,45.8,1972,383,383
PRY,ANR-PC,National Republican Association – Colorado Party,1960,2018,100,1960,384,384
MLT,CWP,Christian Workers' Party,1962,1966,9.5,1962,385,385
DDR,BFD,Association of Free Democrats,1990,1990,5.3,1990,389,389
CHL,PDC,Christian Democratic Party,1961,2017,55.8,1965,390,390
LVA,PLL,For a Good Latvia,2010,2010,7.8,2010,393,393
ITA,PRI,Republican Party,1900,1983,6.2,1900,394,394
NIC,MRS,Sandinista Renovation Movement,2006,2006,8.3,2006,395,395
ISR,Rafi,Israeli Workers List,1965,1965,7.9,1965,396,396
FRA,CD,Democratic Centre,1967,1968,14.1,1967,399,399
BEL,PSC-CVP,Francophone Christian Social Party and Flemish Christian People's Party,1946,1965,47.7,1950,405,405
IND,CPI,Communist Party of India,1957,1967,9.9,1962,408,408
SWE,SD,Sweden Democrats,2010,2018,17.5,2018,409,409
VEN,PODEMOS,For Social Democracy,2005,2005,8.2,2005,413,413
LVA,PS,Civic Union,2010,2010,,2010,415,415
MLT,DAP,Democratic Action Party,1947,1950,13.3,1947,420,420
IND,BJP,Indian People's Party,1984,2019,51.9,2014,422,422
AUS,ALP,Australian Labor Party,1901,2019,50.9,1914,424,424
MKD,DPA,Democratic Party of Albanians,2002,2014,10.5,2008,431,431
USA,Dem,Democratic Party,1900,2018,57.7,1964,432,432
FRA,FN,National Front,1986,2017,14.9,1997,433,433
CHL,PRSD,Social Democrat Radical Party,1989,2017,4,2001,437,437
ESP,AP / PP,People's Alliance-Party / People's Party,1977,2019,45.2,2000,441,441
BOL,MAS,Movement for Socialism,2002,2019,61.4,2014,442,442
CHE,LPS,Liberal Party of Switzerland,1902,1914,8.6,1902,444,444
MEX,PVEM,Ecologist Green Party of Mexico,2003,2018,7.7,2003,446,446
NOR,DNA,Norwegian Labour Party,1903,2017,48.3,1957,448,448
AUS,PP,Protectionist Party,1901,1906,44.4,1901,454,454
ISR,SHAS,Sephardi Torah Guardians,1996,2019,13,1999,455,455
SWE,MP,Greens,1988,2018,7.3,2010,456,456
ISL,Graen,Left-Green Movement,1999,2017,21.7,2009,457,457
BRA,PTB,Brazilian Labour Party,1945,2014,16.5,1950,458,458
NLD,CPN,Communist Party of the Netherlands,1946,1952,10.6,1946,459,459
LVA,LPP/LC,Latvian First Party / Latvian Way Party,2006,2010,8.6,2006,461,461
AUT,FPO,Freedom Party of Austria,1949,2019,26.9,1999,463,463
CZE,ODS,Civic Democratic Party,1992,2017,35.4,2006,466,466
SVN,DeSUS,Democratic Party of Retired People of Slovenia,2000,2014,10.2,2014,467,467
POL,ChD,Christian Democracy,1922,1922,9.7,1922,468,468
HUN,DK,Democratic Coalition,2014,2018,5.4,2018,469,469
SVN,SDS,Slovenian Democratic Party,1990,2018,29.3,2008,472,472
SVN,Zares,For Real,2008,2008,9.4,2008,474,474
MLT,GP,Gozo Party,1947,1947,5.2,1947,476,476
FIN,VIHR,Green League,1991,2019,11.5,2019,479,479
BEL,BSP-PSB,Belgian Socialist Party,1946,1977,37.3,1954,480,480
ROU,PNL,National Liberal Party,1911,2016,82.2,1927,481,481
BGR,SDS,Union of Democratic Forces,1990,2014,36.2,1990,482,482
ISR,Kadima,Forward,2006,2009,22.5,2009,484,484
AUS,LPA,Liberal Party of Australia,1946,2019,41.8,1975,486,486
SWE,S,Social Democrats,1902,2018,53.8,1940,487,487
EST,UVE/RP,Union for the Republic / Res Publica Party,2003,2003,24.6,2003,491,491
ISL,Th-Ff,People's Movement,1995,1995,7.2,1995,494,494
FIN,KOK,National Coalition Party,1919,2019,23.1,1987,495,495
PER,AF,Alliance for the Future,2006,2006,13.1,2006,499,499
BEL,PS,Socialist Party [Francophone],1978,2019,15.7,1987,500,500
NOR,H,Conservative Party,1900,2017,40.2,1903,503,503
CRI,PASE,Accessibility without Exclusion,2010,2010,9.2,2010,504,504
FRA,RPR,Rally for the Republic,1978,1997,22.5,1978,509,509
NGA,SDP,Social Democratic Party,1992,1992,49.4,1992,510,510
HRV,IDS,Istrian Democratic Assembly,1995,2011,3.1,1995,513,513
PER,AP,Popular Action,1963,2016,38.9,1980,514,514
GRC,SYN,Coalition of the Left,1989,1996,11,1989,516,516
GTM,PP,Patriotic Party,2007,2015,26.4,2011,524,524
ISL,Sk,Womens Alliance,1983,1991,10.1,1987,525,525
BEL,AGL-Gr,Agalev -- Green,1999,2019,7,1999,528,528
PER,APRA/PAP,American Popular Revolutionary Alliance / Peruvian Aprista Party,1931,2016,50.1,1985,529,529
EST,EK,Estonian Centre Party,1995,2019,26.1,2007,533,533
DNK,KF,Conservative People's Party,1901,2019,24,1901,536,536
BIH,SDP-BiH,Social Democratic Party of Bosnia and Hercegovina,1998,2018,18,2000,537,537
GTM,GANA,Grand National Alliance,2003,2011,24.3,2003,538,538
LUX,CSV,Christian Social People's Party,1945,2013,42.4,1954,539,539
GBR,Lib,Liberal Party,1900,2015,44.5,1906,540,540
