dataset_party_id,partyfacts_id
AFG-nca,8280
AFG-pdpa,8700
AFG-sdp,6641
AFG-ima,6642
AFG-hdk,5184
AFG-tjp,8867
AFG-hi,6643
AFG-nrpa,8233
AFG-hwia,5876
AFG-piupa,8611
AFG-independent,4908
AFG-ji,5183
AFG-jnm,6046
AFG-junbish,6644
AFG-idoa,8282
ALB-usds,838
ALB-independent,2569
ALB-lsi,2297
ALB-pa,840
ALB-ads,594
ALB-pad,594
ALB-pbdn,1636
ALB-pdr,1558
ALB-pds,190
ALB-ppsh,4711
ALB-pkdsh,4715
ALB-prs,819
ALB-psd,838
ALB-pss,1729
DZA-fln,4111
DZA-ffs,4114
DZA-fis,6118
DZA-independent,3563
DZA-mspp,5221
DZA-pt,5622
DZA-pra,8868
DZA-rnd,4113
DZA-rcd,6120
AGO-fda,8671
AGO-independent,2573
AGO-mpla,2298
AGO-unita,2343
ARG-ar,6112
ARG-cc,6159
ARG-pdc,5188
ARG-bf,7743
ARG-independent,2577
ARG-k,8672
ARG-mid,5122
ARG-ne,6088
ARG-pj,623
ARG-lib,5186
ARG-pro,1790
ARG-ucr,1724
ARG-ucrp,8289
ARG-ucd,4182
ARG-upl,8673
ARM-bhk,4205
ARM-hhk,2013
ARM-hhd,2020
ARM-hhs,4365
ARM-independent,2582
ARM-oekhv,2007
AUS-acpnpa,1743
AUS-alp,424
AUS-clp,143
AUS-independent,2586
AUS-lnpq,285
AUS-lpa,486
AUT-bzo,599
AUT-gruene,1659
AUT-fpo,463
AUT-independent,2589
AUT-ovp,1329
AUT-spo,1384
AZE-axc,1992
AZE-independent,2593
AZE-vhp,1994
AZE-yap,1995
AZE-mdp,7050
BHR-independent,5812
BGD-baksal,5790
BGD-cpbml,8680
BGD-jd,2341
BGD-jeb,2340
BGD-jp,7673
BGD-nap,3781
BGD-wpb,7519
BGD-bal,2299
BGD-bnp,3782
BGD-independent,2598
BGD-jsd,3777
BLR-independent,2603
BEL-aglgr,528
BEL-bsppsb,480
BEL-cdh,2338
BEL-cdv,604
BEL-cdvnva,756
BEL-cvp,622
BEL-fdf,698
BEL-ecolo,1563
BEL-independent,2607
BEL-lppl,275
BEL-mr,789
BEL-nva,36
BEL-plp,49
BEL-pvvovld,49
BEL-prl,554
BEL-psc,633
BEL-ps,500
BEL-rw,281
BEL-spirit,7015
BEL-spa,1680
BEL-spaspirit,1586
BEL-vu,1424
BEN-afp,8871
BEN-add,7071
BEN-adp,7051
BEN-fc,6190
BEN-fcbe,2300
BEN-fard,4089
BEN-ipd,8870
BEN-independent,2611
BEN-madep,5900
BEN-mndd,7053
BEN-ncc,3836
BEN-pcb,3828
BEN-rb,3831
BEN-prd,2365
BEN-ps,5921
BEN-psd,2368
BEN-rdlpn,3839
BEN-prpb,5413
BEN-udd,4719
BEN-undp,4091
BEN-unsp,7052
BEN-udbn,8869
BEN-udns,4090
BTN-dpt,3822
BTN-independent,3343
BTN-pdp,3823
BOL-adn,4393
BOL-condepa,4396
