"country_short","country","party","name_short","name_english","party_otherlanguage","party_id","year_first","year_last","n","minister_first","partyfacts_id"
"AFG","Afghanistan","hdk","HDK","People's Democratic Party of Afghanistan",,"AFG-hdk","1973","1991",18,"1973 Niamatullah Pazhwak (Minister of Education)",5184
"AFG","Afghanistan","hi","HI","Hezb-e Islami - Islamic Party",,"AFG-hi","1992","2020",17,"1992 Mohammed Yunis Khalis (Dep. Prime Min.)",6643
"AFG","Afghanistan","hiia","HIIA","Movement of Afghanistan",,"AFG-hiia","1992","1995",4,"1992 Mohammed Yasir (Minister of Construction Affairs)",
"AFG","Afghanistan","hwia","HWIA","Hezb-e Wahdat-e Islami Afghanistan",,"AFG-hwia","1992","2021",23,"1992 Abdul Wahid Sorabi (Minister of Development & Inspection)",5876
"AFG","Afghanistan","idoa","IDOA","Islamic Dawah Organisation of Afghanistan",,"AFG-idoa","1993","2020",11,"1993 Ahmad Shah Ahmadzai (Minister of City Planning)",8282
"AFG","Afghanistan","ima","IMA","Islamic Movement of Afghanistan",,"AFG-ima","1993","2004",6,"1993 Syed Anwari Hussain (Minister of Social Affairs)",6642
"AFG","Afghanistan","independent","INDEPENDENT","independent","independent","AFG-independent","1966","2023",37,"1966 Mohammed Zahir (King)",4908
"AFG","Afghanistan","ji","JI","Islamic Society",,"AFG-ji","1992","2021",22,"1992 Burhanuddin Rabbani (President)",5183
"AFG","Afghanistan","jnm","JNM","National Liberation Front of Afghanistan",,"AFG-jnm","1992","1992",1,"1992 Sibghatullah Mojaddedi (Jehadi Council President)",6046
"AFG","Afghanistan","junbish","JUNBISH","National Islamic Movement of Afghanistan",,"AFG-junbish","1993","2019",11,"1993 Hedayat Amin Arsala (Minister of Foreign Affairs)",6644
"AFG","Afghanistan","nca","NCA","National Coalition of Afghanistan",,"AFG-nca","2003","2021",10,"2003 Abdullah Abdullah (Minister of Foreign Affairs)",8280
"AFG","Afghanistan","nifa","NIFA","National Islamic Front of Afghanistan",,"AFG-nifa","1992","1995",4,"1992 Abdul Hafez Beg (Minister of City Construction)",
"AFG","Afghanistan","nrpa","NRPA","National Revolutionary Party of Afghanistan","Hezb Enqilab Mile","AFG-nrpa","1975","1977",3,"1975 Mohammed Daoud (President)",8233
"AFG","Afghanistan","pdpa","PDPA","Progressive Democratic Party of Afghanistan",,"AFG-pdpa","1966","1967",2,"1966 Maiwandwal Mohammed Hashim (Prime Min.)",8700
"AFG","Afghanistan","piupa","PIUPA","People's Islamic Unity Party of Afghanistan",,"AFG-piupa","2015","2018",4,"2015 Mohammed Mohaqqeq (2nd Dep. CEO)",8611
"AFG","Afghanistan","sdp","SDP","Afghan Social Democratic Party (Afghan Mellat)","Afgan Millat Gund","AFG-sdp","2005","2021",14,"2005 Anwar Ul-Haq Ahady (Minister of Finance)",6641
"AFG","Afghanistan","tjp","TJP","Truth and Justice Party",,"AFG-tjp","2003","2021",8,"2003 Habiba Sorabi (Minister of Women's Affairs)",8867
"AGO","Angola","independent","INDEPENDENT","independent","independent","AGO-independent","1992","2023",27,"1992 Ambrosio De Oliveira Silvestre (Minister of Trade)",2573
"AGO","Angola","mpla","MPLA","People's Movement for the Liberation of Angola",,"AGO-mpla","1975","2023",49,"1975 Mateus Neto (Minister of Agriculture)",2298
