country,partyfacts_id,wikidata_id,name,name_short,name_native
AFG,6641,Q3360918,Afghan Social Democratic Party,,
AFG,8280,Q6971563,National Coalition of Afghanistan,,Etelaf-e Milli
AFG,6642,Q3083533,Islamic Movement of Afghanistan,,حرکت اسلامی افغانستان
AFG,8867,Q5722596,Truth and Justice Party,,
AFG,6643,Q948574,Hezbe Islami,,د افغانستان اسلامي حزب
AFG,8610,Q3366678,Republican Party of Afghanistan,,
AFG,8233,Q18379591,National Revolutionary Party of Afghanistan,,حزب انقلاب ملی
AFG,5876,Q3135114,Hezbe Wahdat,,
AFG,8611,Q7165584,People's Islamic Unity Party of Afghanistan,,حزب وحدت اسلامی مردم افغانستان
AFG,8282,Q840809,Islamic Dawah Organisation of Afghanistan,,
AFG,5183,Q1261999,Jamiat-e Islami,,
AFG,6644,Q3189989,National Islamic Movement of Afghanistan,,
AFG,5881,Q6972799,National Front,,
AFG,5184,Q1186355,People’s Democratic Party of Afghanistan,PDPA,د افغانستان د خلق دموکراټیک ګوند
AFG,8700,Q7248734,Progressive Democratic Party of Afghanistan,,
ALB,8354,Q2576740,Red and Black Alliance,,Aleanca Kuq e Zi
ALB,8377,Q689339,Balli Kombëtar,,Balli Kombëtar
ALB,717,Q3025840,Liberal Democratic Union,,Bashkimi Liberal Demokrat
ALB,6396,Q1881141,Democratic Front of Albania,,
ALB,3697,Q7006952,New Democratic Spirit,,Fryma e Re Demokratike
ALB,2297,Q1123814,Socialist Movement for Integration,LSI,Lëvizja Socialiste për Integrim
ALB,8491,Q28225030,Libra Party,LIBRA,Lista e Barabartë
ALB,840,Q396033,Environmentalist Agrarian Party,,Partia Agrare Ambientaliste
ALB,594,Q1186135,Democratic Alliance Party,,Partia Aleanca Demokratike
ALB,674,Q3088514,Albanian National Front Party,PBK,Partia Balli Kombëtar Shqiptar
ALB,1636,Q1788029,Unity for Human Rights Party,,
ALB,1558,Q3181716,New Democratic Party,,Partia Demokrate e Re
ALB,190,Q845743,Democratic Party of Albania,PD,Partia Demokratike e Shqipërisë
ALB,7013,Q1078268,Christian Democratic Party of Albania,,Partia Demokristiane e Shqipërisë
ALB,3270,Q3301730,"Party for Justice, Integration and Unity",PDIU,"Partia Drejtësi, Integrim dhe Unitet"
ALB,4711,Q161395,Party of Labour of Albania,,Partia e Punës e Shqipërisë
ALB,8378,Q1465719,Albanian Fascist Party,,Partia Fashiste Shqiptare
ALB,4715,Q16830869,Christian Democratic Party of Albania,,Partia Kristian Demokrate e Shqipërisë
ALB,732,Q719839,Legality Movement Party,,Partia Lëvizja e Legalitetit
ALB,819,Q1838820,Republican Party of Albania,,Partia Republikane e Shqipërisë
ALB,838,Q1533055,Social Democratic Party of Albania,PSD,Partia Socialdemokrate e Shqipërisë
ALB,1729,Q642882,Socialist Party of Albania,PS,Partia Socialiste e Shqipërisë
DZA,8564,Q2838049,Green Algeria Alliance,,Alliance de l'Algérie verte
DZA,4111,Q204543,National Liberation Front,FLN,جبهة التحرير الوطني
DZA,4114,Q605960,Socialist Forces Front,,Front des Forces socialistes
DZA,6118,Q734545,Islamic Salvation Front,,الجبهة الإسلامية للإنقاذ
DZA,4098,Q912180,Algerian National Front,,الجبهة الوطنية الجزائرية
DZA,6219,Q1790632,Islamic Renaissance Movement,,
DZA,5221,Q1889454,Movement of Society for Peace,MSP,حركة مجتمع السلم
DZA,5222,Q852320,Movement for National Reform,,
DZA,5622,Q627196,Workers' Party,,
DZA,8868,Q3366402,Party of Algerian Renewal,,
DZA,4113,Q840321,Democratic National Rally,,التجمع الوطني الديمقراطي‎
DZA,6120,Q1627773,Rally for Culture and Democracy,,
DZA,8734,Q97189639,Rally for Hope for Algeria,,
AND,4207,Q6972221,National Democratic Group,AND,
AND,3712,Q2662810,Andorra for Change,APC,Andorra pel Canvi
AND,4900,Q6970351,National Andorran Coalition,CNA,
AND,3713,Q24863,Democrats for Andorra,DA,Demòcrates per Andorra
AND,6433,Q7139360,Parochial Union of Independents Group,,Grup d'Unió Parroquial Independents
AND,3711,Q5255661,Democratic National Initiative,IDN,
AND,6516,Q1567803,New Centre,,Nou Centre
AND,3710,Q16932904,New Democracy,ND,
