partyfacts_id,country_name,name,name_english,wp_title,wp_url
4901,Andorra,Agrupament Canillo – La Massana,Canillo-Massana Grouping,,
3714,Andorra,Argupament Independent per Sant Julia,Independent Group for Sant Julía,,
3873,Anguilla,Anguilla for Good Government,Anguilla for Good Government,Anguilla,https://en.wikipedia.org/wiki/Anguilla
6922,Anguilla,Anguilla People's Party,Anguilla People's Party,Anguilla,https://en.wikipedia.org/wiki/Anguilla
6435,Argentina,Socialista Argentino,Argentine Socialist,Socialist Party (Argentina),https://en.wikipedia.org/wiki/Socialist_Party_(Argentina)
5189,Argentina,Autonomista Liberal,Autonomous Liberal Party,List of heads of state of Argentina,https://en.wikipedia.org/wiki/List_of_heads_of_state_of_Argentina
5185,Argentina,Autonomista,Autonomous Party,History of Argentina,https://en.wikipedia.org/wiki/History_of_Argentina
6297,Argentina,Partido Independiente,Independent Party,List of political parties in Argentina,https://en.wikipedia.org/wiki/List_of_political_parties_in_Argentina
6426,Argentina,Socialista Independiente,Independent Socialist,List of political parties in Argentina,https://en.wikipedia.org/wiki/List_of_political_parties_in_Argentina
6434,Argentina,Concentración Nacional,National Concentration,Francisco Franco,https://en.wikipedia.org/wiki/Francisco_Franco
6562,Argentina,Federación Nacional de Partidos de Centro / Federacion de partidos de Centro,National Federation of Centre Parties / Central Party Federation,Colombia,https://en.wikipedia.org/wiki/Colombia
6088,Argentina,Nuevo Encuentro,New Encounter,Broad Front (Uruguay),https://en.wikipedia.org/wiki/Broad_Front_(Uruguay)
5190,Argentina,Tres Banderas,Party Three Flags,Thirty-Three Orientals,https://en.wikipedia.org/wiki/Thirty-Three_Orientals
6145,Argentina,Unión Cívica Radical Antipersonalista,Radical Civic Union Antipersonnel,,
6296,Argentina,Unión Cívica Radical / Junta Renovadora,Radical Civic Union / Renewal Board,Justicialist Party,https://en.wikipedia.org/wiki/Justicialist_Party
5191,Argentina,UCR Bloquista,UCR Bloquista,1989 Argentine general election,https://en.wikipedia.org/wiki/1989_Argentine_general_election
5123,Argentina,UCR Lencinista,UCR Lencinista,,
6237,Armenia,Hayastani Demokratakan Kusaktsutyun,Democratic Party of Armenia,Democratic Party of Armenia,https://en.wikipedia.org/wiki/Democratic_Party_of_Armenia
6164,Armenia,Law and Unity Bloc,Law and Unity Bloc,Eastern Bloc emigration and defection,https://en.wikipedia.org/wiki/Eastern_Bloc_emigration_and_defection
6941,Aruba,Union Nacional Arubana,Aruba National Union,,
6938,Aruba,Acción Democratico Nacional,Aruban Democratic Party,Liberalism by country,https://en.wikipedia.org/wiki/Liberalism_by_country
6940,Aruba,Partido Patriotico Nobo,New Patriotic Party,List of political parties in the Netherlands Antilles,https://en.wikipedia.org/wiki/List_of_political_parties_in_the_Netherlands_Antilles
134,Australia,Communist,Communist,Communist party,https://en.wikipedia.org/wiki/Communist_party
303,Australia,Farmers and Settlers (NSW),Farmers and Settlers (NSW),National Party of Australia – NSW,https://en.wikipedia.org/wiki/National_Party_of_Australia_%E2%80%93_NSW
550,Australia,Independent Protectionist Party (Vic),Independent Protectionist Party (Vic),Liberal Party of Australia,https://en.wikipedia.org/wiki/Liberal_Party_of_Australia
754,Australia,Independet Nationalist,Independet Nationalist,Political abuse of psychiatry in the Soviet Union,https://en.wikipedia.org/wiki/Political_abuse_of_psychiatry_in_the_Soviet_Union
1781,Australia,Liberal Country Party (Vic),Liberal Country Party (Vic),Liberal Democratic Party (Australia),https://en.wikipedia.org/wiki/Liberal_Democratic_Party_(Australia)
6914,Australia,Ministerial (Queensland),Ministerial (Queensland),Premier of Queensland,https://en.wikipedia.org/wiki/Premier_of_Queensland
1244,Australia,Nationalist,Nationalist,Nationalist Party (Australia),https://en.wikipedia.org/wiki/Nationalist_Party_(Australia)
151,Australia,Nationalist and Farmers (NSW),Nationalist and Farmers (NSW),National Party of Australia – NSW,https://en.wikipedia.org/wiki/National_Party_of_Australia_%E2%80%93_NSW
782,Australia,Queensland Country Party,Queensland Country Party,Liberal National Party of Queensland,https://en.wikipedia.org/wiki/Liberal_National_Party_of_Queensland
1814,Austria,Die Neutralen - Bürgerinitiative,Citizens' Initiative for the retention of neutrality,,
1934,Austria,Vereinigte tschechoslowakische Parteien,Czechoslovakians,,
2990,Austria,"EU-STOP – (EU-Austritt, Direkte Demokratie, Neutralität, EU-Stop)",EU-STOP,2014 European Parliament election in Austria,https://en.wikipedia.org/wiki/2014_European_Parliament_election_in_Austria
6168,Austria,Nationaldemokratische Partei,National Democratic Party,National Democratic Party of Germany,https://en.wikipedia.org/wiki/National_Democratic_Party_of_Germany
6235,Austria,Nationaler Wirtschaftsblock,National Economic Bloc,,
1678,Austria,Nein – Bürgerinitiative gegen die EU Mitgliedschaft,No -- Citizens' Initiative against EU membership,,
5690,Austria-Hungary,Agrarier,Agrarians (Czech),,
5691,Austria-Hungary,Agrarier,Agrarians (German),,
5444,Austria-Hungary,Verfassungstreue Großgrundbesitzer,German Constitutional Party,,
5689,Austria-Hungary,Jungruthenen,Jungruthian,,
5443,Austria-Hungary,Polenklub,Polish Club,Shimon Sofer,https://en.wikipedia.org/wiki/Shimon_Sofer
5688,Austria-Hungary,Volkspartei,Polish People's Party,2019 European Parliament election,https://en.wikipedia.org/wiki/2019_European_Parliament_election
1990,Azerbaijan,Azerbaycan Müsteqil Demokrat Partiyasi,Azerbaijan Independence Democrat Party,,
1991,Azerbaijan,Azerbaycan Milli Istiqlal Partiyasi,Azerbaijan National Independence Party,Politics of Azerbaijan,https://en.wikipedia.org/wiki/Politics_of_Azerbaijan
1994,Azerbaijan,Vatandas Hamrayliyi Partiyasi,Civil Solidarity Party,Civic Solidarity Party,https://en.wikipedia.org/wiki/Civic_Solidarity_Party
5994,Bahrain,National Unity Gathering,National Unity Gathering,National Assembly (Bahrain),https://en.wikipedia.org/wiki/National_Assembly_(Bahrain)
6188,Bangladesh,Combined Opposition Party,Combined Opposition Party,Bangladesh Nationalist Party,https://en.wikipedia.org/wiki/Bangladesh_Nationalist_Party
6191,Belarus,People's Accord Party,People's Accord Party,Belovezha Accords,https://en.wikipedia.org/wiki/Belovezha_Accords
826,Belgium,Kartel Liberale en Socialistische,Cartel of Liberals and Socialists,,
756,Belgium,Christen-Democratisch & Vlaams / Nieuw-Vlaams Alliantie,Christian-Democrat and Flemish / New Flemish Alliance,Political parties in Belgium,https://en.wikipedia.org/wiki/Political_parties_in_Belgium
3880,Belgium,Partisans de Daens (Parti démocrate-chrétien) -- Daensisten (Christene volkspartij),Daensist Partisans (Christian Democrat Party),,
1944,Belgium,Anciens combattants,Ex-Servicemen,World Veterans Federation,https://en.wikipedia.org/wiki/World_Veterans_Federation
1945,Belgium,Classes moyennes,Middle Class Party,Luxembourg,https://en.wikipedia.org/wiki/Luxembourg
3672,Belgium,Cartel Van den Boeynants,Van de Boeynants Cartel,,
4397,Bolivia,Conciencia de Patria Movimiento Patriótico,Conscience of Fatherland - Patriotic Movement,List of political parties in Bolivia,https://en.wikipedia.org/wiki/List_of_political_parties_in_Bolivia
1700,Bolivia,Plan Progreso para Bolivia – Convergencia Nacional,Plan Progress for Bolivia -- National Convergence,Plan Progress for Bolivia – National Convergence,https://en.wikipedia.org/wiki/Plan_Progress_for_Bolivia_%E2%80%93_National_Convergence
715,Bolivia,Alianza Social,Social Alliance,Social Democratic Alliance,https://en.wikipedia.org/wiki/Social_Democratic_Alliance
4857,Bolivia,Partido Social Cristiano,Social Christian Party,Christian Democratic Party (Bolivia),https://en.wikipedia.org/wiki/Christian_Democratic_Party_(Bolivia)
4856,Bolivia,Izquierda Unida,United Left,,
1153,Bosnia and Herzegovina,Savez reformskih snaga Jugoslavije,Alliance of Reform Forces of Yugoslavia,Union of Reform Forces of Yugoslavia,https://en.wikipedia.org/wiki/Union_of_Reform_Forces_of_Yugoslavia
1340,Bosnia and Herzegovina,Koalicija za cjelovitu i demokratsku Bosnu i Hecegovinu,Coalition for a United and Democratic Bosnia and Herzegovina,,
1,Bosnia and Herzegovina,Savez komunista Bosne i Hercegovine,League of Communists of Bosnia and Herzegovina,League of Communists of Bosnia and Herzegovina,https://en.wikipedia.org/wiki/League_of_Communists_of_Bosnia_and_Herzegovina
1721,Bosnia and Herzegovina,Nova hrvatska inicijativa,New Croatian Initiative,Croatian Democratic Union of Bosnia and Herzegovina,https://en.wikipedia.org/wiki/Croatian_Democratic_Union_of_Bosnia_and_Herzegovina
6995,British Virgin Islands,Concerned Citizens' Movement,Concerned Citizens' Movement,List of political parties in the British Virgin Islands,https://en.wikipedia.org/wiki/List_of_political_parties_in_the_British_Virgin_Islands
6994,British Virgin Islands,Concerned Citizens' Movement,Concerned Citizens' Movement,List of political parties in the British Virgin Islands,https://en.wikipedia.org/wiki/List_of_political_parties_in_the_British_Virgin_Islands
6992,British Virgin Islands,Independent People's Movement,Independent People's Movement,Women's liberation movement,https://en.wikipedia.org/wiki/Women%27s_liberation_movement
6990,British Virgin Islands,People's Own Party,People's Own Party,Virgin Islands Party,https://en.wikipedia.org/wiki/Virgin_Islands_Party
6988,British Virgin Islands,People's Party,People's Party,Virgin Islands Party,https://en.wikipedia.org/wiki/Virgin_Islands_Party
6993,British Virgin Islands,Progressive People's Democratic Party,Progressive People's Democratic Party,National Democratic Party (British Virgin Islands),https://en.wikipedia.org/wiki/National_Democratic_Party_(British_Virgin_Islands)
6987,British Virgin Islands,United Party / BVI United Party,United Party / BVI United Party,National Democratic Party (British Virgin Islands),https://en.wikipedia.org/wiki/National_Democratic_Party_(British_Virgin_Islands)
6991,British Virgin Islands,Virgin Islands National Movement,Virgin Islands National Movement,"Saint John, U.S. Virgin Islands","https://en.wikipedia.org/wiki/Saint_John,_U.S._Virgin_Islands"
4095,Bulgaria,Center-svoboda i dostojnstvo,Center-Freedom and Dignity,,
6397,Bulgaria,Vnatrena Makedonska Revol. Org. / Dem. Partija,Internal Macedonian Revolutionary Organization,,
222,Bulgaria,Tsarstvo Balgariya Federatsiya,Kingdom of Bulgaria Confederation,,
6753,Bulgaria,Liberal Concentration,Liberal Concentration,Liberal democracy,https://en.wikipedia.org/wiki/Liberal_democracy
2021,Bulgaria,Sayuz 'Nov izbor','New Choice' Union,,
2023,Bulgaria,Patriotichen Sayuz,Patriotic Union,,
2024,Bulgaria,People's Voice,People's Voice,People's Republic of Bulgaria,https://en.wikipedia.org/wiki/People%27s_Republic_of_Bulgaria
5848,Bulgaria,Koalitsiya Simeon II,Simeon II Coalition,,
709,Bulgaria,Obedinenie za Tsarya,Union for the King,,
2026,Bulgaria,Suyuz na Demokratichniti Sili – Liberali,Union of Democratic Forces -- Liberal,,
6415,Burkina Faso,Front Popular,Front Popular,Republican Front (Burkina Faso),https://en.wikipedia.org/wiki/Republican_Front_(Burkina_Faso)
6414,Burkina Faso,Nationalist Revolutionary Movement,Nationalist Revolutionary Movement,List of active rebel groups,https://en.wikipedia.org/wiki/List_of_active_rebel_groups
6416,Burkina Faso,Organisation pour la Démocratie Populaire-MT,Organization for People's Democracy-Labor Movement,Organization for Popular Democracy – Labour Movement,https://en.wikipedia.org/wiki/Organization_for_Popular_Democracy_%E2%80%93_Labour_Movement
6889,Cambodia,KanapakKhme r Eisan Mean Chey,Victorious North-East Party,,
6942,Cayman Islands,Democratic Alliance,Democratic Alliance,Legislative Assembly of the Cayman Islands,https://en.wikipedia.org/wiki/Legislative_Assembly_of_the_Cayman_Islands
6929,Cayman Islands,National Team,National Team,Cayman Islands national football team,https://en.wikipedia.org/wiki/Cayman_Islands_national_football_team
5146,Cayman Islands,People’s National Alliance,People’s National Alliance,History of the Cayman Islands,https://en.wikipedia.org/wiki/History_of_the_Cayman_Islands
6944,Cayman Islands,Progress with Dignity Team,Progress with Dignity Team,Bay of Pigs Invasion,https://en.wikipedia.org/wiki/Bay_of_Pigs_Invasion
6943,Cayman Islands,Team Cayman,Team Cayman,Porsche Boxster/Cayman,https://en.wikipedia.org/wiki/Porsche_Boxster/Cayman
6945,Cayman Islands,Team for National Unity,Team for National Unity,Sergio Fedee,https://en.wikipedia.org/wiki/Sergio_Fedee
6194,Central African Republic,Concertation des Forces Démocratiques,Democratic Forces,,
5114,Colombia,Unión Cristiana,Christian Union,Centrist Democrat International,https://en.wikipedia.org/wiki/Centrist_Democrat_International
4854,Colombia,Parlido Comunista de Colombia,Columbian Communist Party,,
1774,Colombia,Movimiento Independiente de Renovación Absoluta,Independent Absolute Renovation Movement,Independent Movement of Absolute Renovation,https://en.wikipedia.org/wiki/Independent_Movement_of_Absolute_Renovation
710,Colombia,Movimiento Apertura Liberal,Liberal Opening Movement,Liberal Opening Movement,https://en.wikipedia.org/wiki/Liberal_Opening_Movement
5113,Colombia,Movimiento Nacional Conservador,National Conservative Movement,2014 Colombian presidential election,https://en.wikipedia.org/wiki/2014_Colombian_presidential_election
4855,Colombia,Alianza Nacional Popular,National Popular Alliance,National Popular Alliance,https://en.wikipedia.org/wiki/National_Popular_Alliance
4853,Colombia,Movimiento de Salvación Nacional,National Salvation Movement,Nicaraguan Liberal Alliance,https://en.wikipedia.org/wiki/Nicaraguan_Liberal_Alliance
5295,Comoros,Forum pour le Redressement National,National Recovery,,
5710,Comoros,Parti Orange,Orange Party,Africa Liberal Network,https://en.wikipedia.org/wiki/Africa_Liberal_Network
6693,Comoros,Parti Umma,Umma Party,Islam and democracy,https://en.wikipedia.org/wiki/Islam_and_democracy
4724,Congo,Democratic Union for the Defence of African Interests,Democratic Union for the Defence of African Interests,History of the Democratic Republic of the Congo,https://en.wikipedia.org/wiki/History_of_the_Democratic_Republic_of_the_Congo
6698,Costa Rica,Acostista,Acostista,1919 Costa Rican general election,https://en.wikipedia.org/wiki/1919_Costa_Rican_general_election
6697,Costa Rica,Agrupación,Agrupación,Agrupación de Fuerzas Especiales Antiterroristas Urbanas,https://en.wikipedia.org/wiki/Agrupaci%C3%B3n_de_Fuerzas_Especiales_Antiterroristas_Urbanas
6701,Costa Rica,Constitucional aguilista,Constitutional Aguilista,1921 Costa Rican parliamentary election,https://en.wikipedia.org/wiki/1921_Costa_Rican_parliamentary_election
6703,Costa Rica,Republicano constitucional,Constitutional Republican,2017 Venezuelan constitutional crisis,https://en.wikipedia.org/wiki/2017_Venezuelan_constitutional_crisis
4880,Costa Rica,Frente Popular Costarricense,Costa Rican Popular Front,Politics of Costa Rica,https://en.wikipedia.org/wiki/Politics_of_Costa_Rica
6696,Costa Rica,Fúsion,Fúsion,WNS Global Services,https://en.wikipedia.org/wiki/WNS_Global_Services
6700,Costa Rica,Agrícola Independiente,Independent Agriculture,Guatemala,https://en.wikipedia.org/wiki/Guatemala
