country,partyfacts_id,name_short,name,name_english,left_right,year_first,year_last,share,share_year,tags
AFG,8867,TJP,Hezb-e-Haq-wa-Adalat,Truth and Justice Party,-0.01,2011,2018,,,"tags position: centre
tags ideology: [ multiculturalism ] // [ anti-corruption ] // reformism // [ eurasianism ]
tags used: 2"
AFG,8233,NRP,Hezb Enqilab Mile,National Revolutionary Party,-0.45,1974,1978,,,"tags position: big tent
tags ideology: [ pashtun nationalism ] // [ pashtunization ] // [ authoritarianism ] // republicanism // progressivism // secularism
tags used: 4"
AFG,6644,Junbish,Junbish-i-Milli Islami Afghanistan,National Islamic Movement of Afghanistan,-0.04,1992,2018,4,2010,"tags position: centre-left // centre-right
tags ideology: secularism
tags used: 3"
AFG,5184,HDK,People's Democratic Party of Afghanistan,People's Democratic Party of Afghanistan,-1.35,1965,1992,100,1988,"tags position: left-wing
tags ideology: left-wing nationalism // progressivism // secularism // socialism // marxism-leninism
tags used: 6"
ALB,8377,BK,Balli Kombëtar,National Front,0.88,1942,1945,,,"tags position:
tags ideology: [ albanian nationalism ] // [ greater albania ] // anti-communism // republicanism // conservatism // big tent // [ agrarian socialism ] // monarchism
tags used: 5"
ALB,717,BLD,Bashkimi Liberal Demokrat,Liberal Democratic Union,-0.17,1995,2018,4,1996,"tags position: centre
tags ideology: liberalism // social democracy
tags used: 3"
ALB,7075,UVC,Bashkimi për Fitore,Union for Victory Coalition,0.27,2001,2005,37.1,2001,"tags position: centre // centre-right
tags ideology: liberalism // social democracy // liberal conservatism // conservatism // national conservatism // economic liberalism // [ atlanticism ] // pro-europeanism // anti-communism // [ albanian nationalism ] // monarchism
tags used: 11"
ALB,6396,FDSH,Fronti Demokratik i Shqipërisë,Democratic Front of Albania,-2.25,1945,1987,100,1987,"tags position: far-left
tags ideology: communism // marxism-leninism // [ stalinism ] // [ hoxhaism ] // [ anti-revisionism ]
tags used: 3"
ALB,3697,FRD,Fryma e Re Demokratike,New Democratic Spirit,0.46,2012,2018,1.7,2013,"tags position: centre-right
tags ideology: liberal conservatism // pro-europeanism
tags used: 3"
ALB,2297,LSI,Lëvizja Socialiste për Intigrim,Socialist Movement for Integration,-0.53,2004,2018,10.5,2013,"tags position: centre-left
tags ideology: social democracy // pro-europeanism
tags used: 3"
ALB,8491,LIBRA,Lista e Barabartë,Libra Party,-0.16,2016,2018,1.3,2017,"tags position: centre // centre-left
tags ideology: social liberalism // civic nationalism // pro-europeanism
tags used: 5"
ALB,840,PA,Partia Agrare,Agrarian Party,0.13,1991,2018,2.6,2001,"tags position: centre
tags ideology: agrarianism
tags used: 2"
ALB,594,PAD,Partia Aleanca Demokratike,Democratic Alliance Party,0.09,1992,2018,2.7,1997,"tags position: centre
tags ideology: liberalism
tags used: 2"
ALB,674,BKS,Partia Balli Kombëtar Shqiptar,Albanian National Front Party,2.32,1991,2018,5,1996,"tags position: far-right
tags ideology: [ greater albania ] // [ albanian nationalism ] // anti-communism // national conservatism // right-wing populism // social conservatism
tags used: 5"
ALB,1636,PBDN,Partia Bashkimi per te Drejtat e Njeriut,Unity for Human Rights Party,-0.11,1991,2018,2.5,2005,"tags position: centre
tags ideology: [ ethnic party ] // social liberalism // civic nationalism // pro-europeanism
tags used: 4"
ALB,1558,PDR,Partia Demokrate e Re,New Democratic Party,0.66,1999,2009,3.7,2005,"tags position: centre-right
tags ideology: conservatism // liberal conservatism
tags used: 3"
ALB,190,PDS,Partia Demokratike e Shqipërisë,Democratic Party of Albania,0.47,1990,2018,62.1,1992,"tags position: centre-right
tags ideology: [ politics of albania ] // liberal conservatism // pro-europeanism
tags used: 3"
ALB,7013,PDK,Partia Demokristiane e Shqipërisë,Demochristian Party of Albania,0.54,1991,2018,1,1996,"tags position: centre-right
tags ideology: christian democracy
tags used: 2"
ALB,3270,PDIU,"Partia Drejtësi, Integrim dhe Unitet","Party for Justice, Integration and Unity",1.25,2011,2018,2.6,2013,"tags position: right-wing
tags ideology: [ albanian nationalism ] // social conservatism
tags used: 2"
ALB,4711,PPSH,Partia e Punës e Shqipërisë,Party of Labour / Albanian Workers' Party,-2.25,1941,1991,100,1974,"tags position: far-left
tags ideology: communism // marxism-leninism // [ stalinism ] // [ hoxhaism ] // [ anti-revisionism ]
tags used: 3"
ALB,732,PLL,Partia Lëvizja e Legalitetit,Movement of Legality Party,1.23,1991,2018,3.3,1997,"tags position: right-wing
tags ideology: social conservatism // monarchism
tags used: 3"
ALB,819,PRS,Partia Republikane e Shqipërisë,Republican Party of Albania,1.11,1991,2018,5.7,1996,"tags position: right-wing
tags ideology: national conservatism // social conservatism // economic liberalism // [ atlanticism ] // pro-europeanism
tags used: 5"
ALB,838,PSD,Partia Socialdemokrate e Shqipërisë,Social Democratic Party of Albania,-0.53,1991,2018,4.4,1992,"tags position: centre-left
tags ideology: social democracy // pro-europeanism
tags used: 3"
ALB,1729,PSS,Partia Socialiste e Shqipërisë,Socialist Party of Albania,-0.67,1991,2018,43.9,2001,"tags position: centre-left // left-wing
tags ideology: social democracy // pro-europeanism
tags used: 4"
DZA,4114,FFS,Front des Forces socialistes,Socialist Forces Front,-0.61,1963,2018,2.5,2009,"tags position: centre-left
tags ideology: social democracy // [ algerian nationalism ] // [ berberism ] // secularism
tags used: 3"
DZA,4098,FNA,Front National Algérien,Algerian National Front,1.38,1990,2018,4.2,2007,"tags position: right-wing
tags ideology: national conservatism
tags used: 2"
DZA,6219,MRI,Mouvement de la Renaissance Islamique,Movement of the Islamic Renaissance,0.87,1990,2018,8.9,1997,"tags position: centre-right // right-wing
tags ideology: [ conservative democracy ] // [ islam and democracy ]
tags used: 2"
DZA,5221,MSPP,Mouvement de la société pour la paix / Hamas,Movement for the Society of Peace,0.97,1990,2018,18.2,1997,"tags position:
tags ideology: [ sunni islam ] // [ islamism ] // [ islam and democracy ] // social conservatism // economic liberalism
tags used: 2"
DZA,5622,PT,Parti des Travailleurs,Workers' Party,-1.81,1990,2018,5.1,2007,"tags position: far-left
tags ideology: communism // [ trotskyism ] // [ proletarian internationalism ]
tags used: 2"
DZA,4113,RND,Rassemblement National Démocratique,National Rally for Democracy,0.39,1997,2018,6.9,2009,"tags position: centre // centre-right
tags ideology: populism // economic liberalism // [ international crisis group ]
tags used: 4"
DZA,6120,RCD,Rassemblement pour la Culture et la Démocratie,Rally for Culture and Democracy,-0.12,1998,2012,5,1997,"tags position: centre // centre-left
tags ideology: liberalism // social liberalism // [ berberism ] // [ algerian nationalism ] // secularism
tags used: 5"
AND,3712,APC,Andorra pel Canvi,Andorra for Change,0.4,2009,2011,12.3,2009,"tags position: centre // centre-right
tags ideology: economic liberalism // [ fiscal conservatism ]
tags used: 3"
AND,3713,DA,Demòcrates per Andorra,Democrats for Andorra,0.54,2011,2018,49.1,2011,"tags position: centre-right
tags ideology: liberal conservatism
tags used: 2"
AND,6433,GUPI,Grup d'Unió Parroquial Independents,Parochial Union of Independents Group,-0.56,2003,2013,20.8,2009,"tags position: centre-left
tags ideology: progressivism // [ localism ]
tags used: 2"
AND,6516,NC,Nou Centre,New Centre,0.69,2005,2011,10.7,2005,"tags position: centre-right
tags ideology: christian democracy // conservatism
tags used: 3"
AND,3675,PS,Partit Socialdemòcratica,Social Democratic Party,-0.61,2001,2018,36.9,2005,"tags position: centre-left
tags ideology: social democracy
tags used: 2"
AND,3674,RD,Renovació Democràtica,Democratic Renewal,-0.19,2005,2011,6.2,2005,"tags position: centre // centre-left
tags ideology: social liberalism
tags used: 3"
AND,5875,SDP,Socialdemocràcia i Progrés,Social Democracy and Progress,-0.61,2015,2018,10.6,2015,"tags position: centre-left
tags ideology: social democracy
tags used: 2"
AND,3708,UL,Unió Laurediana,Lauredian Union,0.73,2001,2011,4.4,2011,"tags position: centre-right
tags ideology: [ localism ] // conservatism
tags used: 2"
AND,3673,UL / PLA,Uniò Liberal / Partit Liberal d'Andorra,Liberal Union / Liberal Party of Andorra,0.57,1992,2018,42.1,2001,"tags position: centre-right
tags ideology: conservative liberalism // euroscepticism
tags used: 3"
AND,3676,VA,Verds d'Andorra,Greens of Andorra,-0.81,2003,2018,3.5,2005,"tags position: centre-left // left-wing
tags ideology: [ eco-socialism ] // green politics
tags used: 3"
AGO,3556,CASA — CE,Convergência Ampla de Salvação de Angola — Coligação Eleitoral,Broad Convergence for the Salvation of Angola — Electoral Coalition,-0.35,2012,2018,6,2012,"tags position: centre-left
tags ideology: social democracy // [ liberal democracy ] // social liberalism // federalism
tags used: 4"
AGO,5131,FNLA,Frente Nacional de Libertação de Angola,National Liberation Front of Angola,0.61,1954,2012,2.4,1992,"tags position: centre-right
tags ideology: civic nationalism // christian democracy // conservatism
tags used: 4"
AGO,2298,MPLA,Movimento Popular de Libertação de Angola — Partido do Trabalho,People's Movement for the Liberation of Angola — Labour Party,-1.31,1956,2018,81.6,2008,"tags position: centre-left // left-wing // far-left
tags ideology: social democracy // democratic socialism // communism // marxism-leninism // left-wing nationalism
tags used: 8"
AGO,2342,PRS,Partido de Renovação Social,Social Renewal Party,-0.56,1990,2018,3.2,2008,"tags position: centre-left
tags ideology: federalism // progressivism
tags used: 3"
AGO,2343,UNITA,União Nacional para a Independência Total de Angola,National Union for the Total Independence of Angola,0.02,1966,2018,18.7,2012,"tags position: centre // centre-right // far-left
tags ideology: big tent // nationalism // [ maoism ]
tags used: 5"
AIA,3871,APP,Anguilla Progressive Party,Anguilla Progressive Party,0.73,2005,2010,14.7,2010,"tags position: centre-right
tags ideology: conservatism
tags used: 2"
AIA,6432,AUF,Anguilla United Front,Anguilla United Front,0.37,2000,2018,39.4,2010,"tags position: centre // centre-right
tags ideology: conservative liberalism
tags used: 3"
