dataset_party_id,partyfacts_id
8021,NA
8010,NA
8002,NA
8028,732
8030,1445
8023,2568
8022,NA
8001,NA
8032,NA
8012,NA
8011,NA
8006,594
8031,NA
8008,NA
8007,NA
8009,NA
8026,NA
8015,1980
8027,1558
8014,NA
8003,NA
8005,819
8013,NA
8024,838
8004,NA
8025,2297
8029,1636
12013,NA
12001,NA
12005,4114
12010,4098
12014,NA
12003,NA
12007,NA
12009,NA
12004,NA
12008,NA
12012,NA
12006,4113
12002,NA
12011,NA
20002,NA
20006,NA
20001,3673
20005,3675
20004,NA
20003,NA
32001,NA
32002,NA
32006,NA
32004,NA
32003,NA
32007,NA
32005,NA
32013,NA
32014,NA
32009,NA
32010,NA
32012,623
32011,NA
32008,NA
32015,1863
51014,NA
51006,NA
51013,NA
51010,NA
51011,NA
51008,NA
51012,NA
51031,NA
51003,NA
51004,NA
51016,NA
51002,NA
51017,NA
51030,NA
51007,NA
51032,NA
51023,NA
51019,NA
51020,NA
51021,NA
51005,NA
51022,NA
51024,NA
51001,NA
51026,NA
51025,NA
51027,NA
51028,NA
51018,NA
51009,NA
51029,NA
51015,NA
36005,990
36001,424
36010,323
36006,143
36009,1263
36007,2586
36002,486
36003,1743
36008,1162
36012,1833
36011,2588
36004,1209
40003,463
40006,996
40002,1329
40001,1384
40007,1500
40004,1659
40008,599
40009,1708
40005,605
40010,1857
31005,NA
31014,NA
31010,NA
31004,NA
31030,NA
31012,NA
31013,NA
31003,NA
31011,NA
31031,NA
31006,NA
31022,NA
31015,NA
31024,NA
31027,NA
31017,NA
31019,NA
31026,NA
31021,NA
31007,NA
31018,NA
31008,NA
31001,NA
31028,NA
31002,NA
31029,NA
31020,NA
31023,NA
31009,NA
31025,NA
50004,2340
50001,2299
50002,3782
50003,2341
50005,2597
112043,NA
112023,NA
112026,NA
112020,NA
112019,NA
112028,NA
112025,NA
112030,NA
112031,NA
112015,NA
112046,NA
112050,NA
112013,NA
112010,NA
112014,NA
112008,NA
112007,NA
112011,NA
112006,NA
112003,NA
112035,NA
112040,NA
112016,NA
112039,NA
112024,NA
112034,NA
112051,NA
112049,NA
112044,NA
112041,NA
112037,NA
112045,NA
112002,NA
112038,NA
112042,NA
112033,NA
112009,NA
112001,NA
112032,NA
112048,NA
112017,NA
112004,NA
112012,NA
112047,NA
112036,NA
112005,NA
56001,NA
56016,NA
56020,NA
56028,NA
56002,NA
56021,NA
56014,NA
56027,NA
56032,NA
56025,NA
56039,NA
56033,NA
56036,NA
56034,NA
56038,NA
56010,NA
56013,NA
56011,NA
56012,NA
56022,NA
56017,NA
56008,NA
56018,NA
56023,NA
56026,NA
56019,NA
56035,NA
56030,NA
56004,NA
56009,NA
56031,NA
