wave,year,country,party,n,share
2,1994,76,76001,154,28.4
2,1994,76,76002,189,34.8
2,1994,76,76003,41,7.6
2,1994,76,76004,66,12.2
2,1994,76,76006,25,4.6
2,1994,76,76007,15,2.8
2,1994,76,76011,24,4.4
2,1994,76,76021,29,5.3
2,1994,112,112034,255,33.1
2,1994,112,112035,211,27.4
2,1994,112,112036,83,10.8
2,1994,112,112037,126,16.3
2,1994,112,112038,8,1
2,1994,112,112039,16,2.1
2,1994,112,112040,54,7
2,1994,112,112041,8,1
2,1994,112,112042,10,1.3
2,1994,152,152001,45,4.2
2,1994,152,152002,117,10.8
2,1994,152,152005,30,2.8
2,1994,152,152007,164,15.1
2,1994,152,152009,40,3.7
2,1994,152,152010,687,63.4
2,1994,203,203036,291,32.1
2,1994,203,203037,4,0.4
2,1994,203,203038,50,5.5
2,1994,203,203039,52,5.7
2,1994,203,203040,63,6.9
2,1994,203,203041,132,14.6
2,1994,203,203044,1,0.1
2,1994,203,203045,84,9.3
2,1994,203,203046,100,11
2,1994,203,203047,78,8.6
2,1994,203,203048,1,0.1
2,1994,203,203049,1,0.1
2,1994,203,203050,2,0.2
2,1994,203,203051,5,0.6
2,1994,203,203052,1,0.1
2,1994,203,203053,18,2
2,1994,203,203054,17,1.9
2,1994,203,203055,7,0.8
2,1994,356,356001,77,4.6
2,1994,356,356016,418,25
2,1994,356,356037,42,2.5
2,1994,356,356038,58,3.5
2,1994,356,356042,1,0.1
2,1994,356,356054,1,0.1
2,1994,356,356057,8,0.5
2,1994,356,356067,310,18.6
2,1994,356,356068,469,28.1
2,1994,356,356069,101,6
2,1994,356,356070,94,5.6
2,1994,356,356071,48,2.9
2,1994,356,356072,5,0.3
2,1994,356,356073,2,0.1
2,1994,356,356076,1,0.1
2,1994,356,356077,2,0.1
2,1994,356,356100,34,2
2,1994,392,392001,371,54.9
2,1994,392,392003,40,5.9
2,1994,392,392004,16,2.4
2,1994,392,392014,2,0.3
2,1994,392,392015,4,0.6
2,1994,392,392021,225,33.3
2,1994,392,392022,18,2.7
2,1994,484,484001,531,41.8
2,1994,484,484002,250,19.7
2,1994,484,484003,189,14.9
2,1994,484,484009,9,0.7
2,1994,484,484012,55,4.3
2,1994,484,484013,23,1.8
2,1994,484,484014,2,0.2
2,1994,484,484015,143,11.3
2,1994,484,484016,68,5.4
2,1994,566,566019,228,53.4
2,1994,566,566020,199,46.6
2,1994,616,616023,195,26.2
2,1994,616,616024,70,9.4
2,1994,616,616025,17,2.3
2,1994,616,616026,26,3.5
2,1994,616,616027,9,1.2
2,1994,616,616028,319,42.9
2,1994,616,616029,18,2.4
2,1994,616,616030,89,12
2,1994,703,703001,27,5.9
2,1994,703,703004,49,10.7
2,1994,703,703006,129,28
2,1994,703,703012,35,7.6
2,1994,703,703017,19,4.1
2,1994,703,703018,77,16.7
2,1994,703,703025,6,1.3
