id,country,name_short,name,name_english,name_source,year_first,year_last,share_max,share_year,waves
8001,ALB,,Partia Socialiste,Socialist Party,AL: Partia Socialiste - Socialist Party,1994,2004,43,1998,3 4
8002,ALB,,Partia Demokratike,Democratic Party,AL: Partia Demokratike - Democratic Party,1994,2004,31.1,2004,3 4
8004,ALB,,Partia Social Demokrate,The Social Democrat Party,AL: Partia Social Demokrate - The Social Democrat Party,1994,2004,11.1,1998,3 4
8005,ALB,,Partia Republikane,The Republican Party,AL: Partia Republikane - The Republican Party,1994,2004,4.9,1998,3 4
8006,ALB,,Partia e Alencas Demokratike,The Democratic Alliance Party,AL: Partia e Alencas Demokratike - The Democratic Alliance Party,1994,2004,5.1,1998,3 4
12001,DZA,FLN,Front de libération Nationale,,DZ: FLN ((Front de libération Nationale),2000,2014,51.9,2004,4 6
12003,DZA,,Hamas,,DZ: Hamas,2000,2004,15.9,2004,4
12005,DZA,FFS,Front des forces socialistes,,DZ: FFS (Front des forces socialistes),2000,2014,9.8,2014,4 6
12006,DZA,RND,Rassemblement national démocratique,,DZ: RND (Rassemblement national démocratique),2000,2014,18.8,2014,4 6
12007,DZA,HMS,Mouvement de la société pour la paix,,DZ: HMS (Mouvement de la société pour la paix),2010,2014,11.5,2014,6
12008,DZA,PT,Parti des travailleurs,,DZ: PT (Parti des travailleurs),2010,2014,11.2,2014,6
12010,DZA,FNA,Front national algérien,,DZ: FNA (Front national algérien),2010,2014,2.6,2014,6
20001,AND,,Partit Liberal,,AD: Partit Liberal,2005,2009,23.1,2009,5
20005,AND,,Partit Socialdemòcrata,,AD: Partit Socialdemòcrata,2005,2009,46.1,2009,5
20006,AND,,Els Verds d´Andorra,,AD: Els Verds d´Andorra,2005,2009,20.3,2009,5
31001,AZE,,,New Azerbaijan Party,AZ: New Azerbaijan Party,2010,2014,95.1,2014,6
32006,ARG,,Frepaso,,AR: Frepaso,1994,1998,20.2,1998,3
32009,ARG,,,"Compromise for change, Macri Party","AR: Compromise for change, Macri Party",2005,2009,10,2009,5
32012,ARG,,,Justicialista Party,AR: Justicialista Party,1994,2004,45.8,2004,3 4
36001,AUS,,Australian Labour Party,Australian Labour Party,AU: Australian Labour Party,1994,2014,35.5,1998,3 5 6
36002,AUS,,Liberal Party,Liberal Party,AU: Liberal Party,1994,2014,47.5,2009,3 5 6
36003,AUS,,National Party,National Party,AU: National Party,1994,2014,5.7,2014,3 5 6
36004,AUS,,The Greens,The Greens,AU: The Greens,1994,2014,13.6,2014,3 5 6
36005,AUS,,Australian Democrats,Australian Democrats,AU: Australian Democrats,1994,2014,7.2,1998,3 5 6
36008,AUS,,One Nation,One Nation,AU: One Nation,2005,2014,1.9,2009,5 6
36009,AUS,,Family First,Family First,AU: Family First,2005,2014,3.6,2009,5 6
50001,BGD,,,Awami League,BD: Awami League,1994,2004,58.7,1998,3 4
50002,BGD,BNP,,Bangladesh National Party,BD: Bangladesh National Party (BNP),1994,2004,32.8,2004,3 4
50003,BGD,,,Jatiya Party,BD: Jatiya Party,1994,2004,13.1,2004,3 4
50004,BGD,,Jamat,,BD: Jamat,1994,2004,5.5,2004,3 4
51001,ARM,HHS,Hayots Hamazgayin Shargzum,Pan-Armenian National Movement,AM: Pan-Armenian National Movement - Hayots Hamazgayin Shargzum (HHSh),1994,1998,21.3,1998,3
51002,ARM,HHD,Hay Heghapokhakan Dashnaktsutyun,Armenian Revolutionary Federation,AM: Armenian Revolutionary Federation - Hay Heghapokhakan Dashnaktsutyun (HHD),1994,2014,16,1998,3 6
51003,ARM,HKK,Hayastani Komunistakan Kusaktsutyun,Armenian Communist Party,AM: Armenian Communist Party - Hayastani Komunistakan Kusaktsutyun (HKK),1994,2014,23.5,1998,3 6
51005,ARM,AGzM,Azgayin Gzoghovrdakan Miutyun,National Unity,AM: National Unity - Azgayin Gzoghovrdakan Miutyun (AGzM),1994,2014,11,1998,3 6
